Αφρική	África
Άντριου Τζόνσον	Andrew Johnson
Θερινοί Ολυμπιακοί Αγώνες 2016	Juegos Olímpicos de Río de Janeiro 2016
Σπέτσια Κάλτσιο 1906	Spezia Calcio 1906
19P/Μπορελλύ	19P/Borrelly
Πιερ Ελλιό Τρυντώ	Pierre Elliott Trudeau
Κβάμε Νκρούμαχ	Kwame Nkrumah
Τέρνι	Terni
Τερνάνα Κάλτσιο	Ternana Calcio
ΑΣ Βαρέζε 1910	Associazione Sportiva Varese 1910
Ελλάς Βερόνα	Hellas Verona Football Club
Γίντις	Yidis
Βιτσέντζα Κάλτσιο	Vicenza Calcio
Χονγκ Κονγκ	Hong Kong
Μαϊάμι	Miami
Καράτσι	Karachi
Πόλεμος της Κορέας	Guerra de Corea
Βοώτης	Boötes
Αραβοϊσραηλινή σύγκρουση	Conflicto árabe-israelí
Χρυσές Σφαίρες του 2011	Anexo:Premios Globo de Oro de 2011
Λάγος	Lagos
Δράκων (αστερισμός)	Draco (constelación)
Αμερικανικός Εμφύλιος Πόλεμος	Guerra de Secesión
Ρίο ντε Τζανέιρο	Río de Janeiro
Ιχθύες (αστερισμός)	Piscis (constelación)
Βρετανική Αυτοκρατορία	Imperio británico
Ρεάλ Μαδρίτης	Real Madrid Club de Fútbol
Ψυχρός πόλεμος	Guerra Fría
Σεούλ	Seúl
Διεθνές Αεροδρόμιο Τζον Κένεντι	Aeropuerto Internacional John F. Kennedy
Σαγκάη	Shanghái
Αθλέτικ Μπιλμπάο	Athletic Club
Πολιτιστική Επανάσταση	Revolución Cultural
Διεθνές Αεροδρόμιο Χίθροου	Aeropuerto de Londres-Heathrow
Μπιλμπάο	Bilbao
Παγκόσμια οικονομική ύφεση 1929	Gran Depresión
Ατλέτικο Μαδρίτης	Club Atlético de Madrid
Διεθνές Αεροδρόμιο Γκάτγουικ	Aeropuerto de Londres-Gatwick
Ουώλτ Ντίσνεϋ	Walt Disney
Μεταρρύθμιση Μεϊτζί	Restauración Meiji
Διεθνές Αεροδρόμιο Λούτον	Aeropuerto de Londres-Luton
Σεβίλλη	Sevilla
Ρεάλ Μπέτις	Real Betis Balompié
Διεθνές Αεροδρόμιο Μπρίστολ	Aeropuerto Internacional de Brístol
Ρωσική Επανάσταση	Revolución rusa
Δυναστεία Τσινγκ	Dinastía Qing
Συνθήκη των Βερσαλλιών	Tratado de Versalles (1919)
Αρχιμήδης	Arquímedes
Πόλεμος του Βιετνάμ	Guerra de Vietnam
Τόμας Έντισον	Thomas Alva Edison
Βίγο	Vigo
Ευκλείδης	Euclides
Αλβανική γλώσσα	Idioma albanés
Θέλτα Βίγο	Real Club Celta de Vigo
Μάικλ Φαραντέι	Michael Faraday
Βασκική γλώσσα	Euskera
Ενρίκο Φέρμι	Enrico Fermi
Α Κορούνια	La Coruña
Ντεπορτίβο Λα Κορούνια	Real Club Deportivo de La Coruña
Λεονάρντο της Πίζας	Leonardo de Pisa
British Airways	British Airways
Domain Name System	Domain Name System
Χένρυ Φορντ	Henry Ford
Ζοζέφ Φουριέ	Jean-Baptiste Joseph Fourier
Πρωτόκολλο Μεταφοράς Υπερκειμένου	Hypertext Transfer Protocol
Γαληνός	Galeno
ΡΚΝ Εσπανιόλ Βαρκελώνης	Real Club Deportivo Español
Ενρίκε Καπρίλες Ραδόνσκι	Henrique Capriles
Αρμενική γλώσσα	Idioma armenio
Κρυπτογραφία	Criptografía
Internet Protocol	Internet Protocol
Ουκρανική γλώσσα	Idioma ucraniano
Byte	Byte
Χετάφε	Getafe
Transmission Control Protocol	Transmission Control Protocol
Bit	Bit
Χετάφε ΚΦ	Getafe Club de Fútbol
Γρανάδα	Granada
HTML	HTML
Γρανάδα ΚΦ	Granada Club de Fútbol
Ωγκυστέν-Λουί Κωσύ	Augustin Louis Cauchy
ASCII	ASCII
Βαλένθια	Valencia
Unicode	Unicode
Μαυροβουνιακή γλώσσα	Idioma montenegrino
Λεβάντε Ουνιόν Ντεπορτίβα	Levante Unión Deportiva
Πάλμα ντε Μαγιόρκα	Palma de Mallorca
Προπέρτιος	Propercio
Μαγιόρκα	Mallorca
Καμηλοπάρδαλις	Camelopardalis
Ρεάλ Μαγιόρκα	Real Club Deportivo Mallorca
Εθνόσημο της Βενεζουέλας	Escudo de Venezuela
Δοράς	Dorado (constelación)
Κήτος (αστερισμός)	Cetus
Παρθένος (αστερισμός)	Virgo (constelación)
Κένταυρος (αστερισμός)	Centaurus
Καρκίνος (αστερισμός)	Cáncer (constelación)
Μάλαγα	Málaga
Λέων (αστερισμός)	Leo (constelación)
Μάλαγα ΚΦ	Málaga Club de Fútbol
Ωρίων (αστερισμός)	Orión (constelación)
Πήγασος (αστερισμός)	Pegaso (constelación)
Σκορπιός (αστερισμός)	Escorpio (constelación)
Τοξότης (αστερισμός)	Sagitario (constelación)
Γκάι Αουλέντι	Gae Aulenti
Στίβεν Σπίλμπεργκ	Steven Spielberg
Ευρωπαϊκή Επιτροπή	Comisión Europea
Πρόεδρος της Ευρωπαϊκής Επιτροπής	Presidente de la Comisión Europea
Ευρωπαϊκό Συμβούλιο	Consejo Europeo
Ευρωπαϊκό Κοινοβούλιο	Parlamento Europeo
Συμβούλιο της Ευρωπαϊκής Ένωσης	Consejo de la Unión Europea
Ευρωπαϊκό Ελεγκτικό Συνέδριο	Tribunal de Cuentas de la Unión Europea
Ευρωπαϊκή Κεντρική Τράπεζα	Banco Central Europeo
Οφιούχος (αστερισμός)	Ofiuco
Συμβούλιο της Ευρώπης	Consejo de Europa
Όφις (αστερισμός)	Serpens
Κάμινος (αστερισμός)	Fornax
Μεγάλη Άρκτος	Osa Mayor
Ευρωπαϊκή Κοινότητα Ατομικής Ενέργειας	Comunidad Europea de la Energía Atómica
Κύκνος (αστερισμός)	Cygnus (constelación)
Δίδυμοι (αστερισμός)	Géminis (constelación)
Μαριόν Κοτιγιάρ	Marion Cotillard
Αστερισμός	Constelación
Ευρωπαϊκός Οικονομικός Χώρος	Espacio Económico Europeo
Γουτεμβέργιος	Johannes Gutenberg
Τζέιμς Πρέσκοτ Τζάουλ	James Prescott Joule
Γιοχάνες Κέπλερ	Johannes Kepler
Κανκούν	Cancún
Γουαδαλαχάρα (αποσαφήνιση)	Guadalajara
Bundesautobahn 1	Bundesautobahn 1
Αβιλιάνα	Avigliana
Μαξ Πλανκ	Max Planck
Γουαδαλαχάρα (Μεξικό)	Guadalajara (México)
Σουηδική γλώσσα	Idioma sueco
Δανική γλώσσα	Idioma danés
Νίκολα Τέσλα	Nikola Tesla
Αλ Χουαρίζμι	Al-Juarismi
Τζέιμς Βατ	James Watt
Νορβηγική γλώσσα	Idioma noruego
Γκότφριντ Βίλχελμ Λάιμπνιτς	Gottfried Leibniz
Νόαμ Τσόμσκι	Noam Chomsky
Λουξεμβουργιανή γλώσσα	Idioma luxemburgués
Πουτίγκα	Budín
Τσεχική γλώσσα	Idioma checo
Σλοβακική γλώσσα	Idioma eslovaco
Μπέρι	Zona de Bheri
Καρλ Μαρξ	Karl Marx
Σλοβενική γλώσσα	Idioma esloveno
Ουγγρική γλώσσα	Idioma húngaro
Βολταίρος	Voltaire
Εσθονική γλώσσα	Idioma estonio
Μωυσής	Moisés
Λετονική γλώσσα	Idioma letón
Γνώση	Conocimiento
Λιθουανική γλώσσα	Idioma lituano
Νταουλαγκίρι (ζώνη)	Zona de Dhawalagiri
Ινδουισμός	Hinduismo
Λευκορωσική γλώσσα	Idioma bielorruso
Χοσέ Μουχίκα	José Mujica
Τζέιμς Κλερκ Μάξγουελ	James Clerk Maxwell
Ταμπαρέ Βάσκες	Tabaré Vázquez
Μαστός	Mama
Ντμίτρι Μεντελέγιεφ	Dmitri Mendeléyev
Κενενίσα Μπεκέλε	Kenenisa Bekele
Άτομο	Átomo
Έρνεστ Ράδερφορντ	Ernest Rutherford
Βίντερτουρ	Winterthur
Φως	Luz
Ελληνική γλώσσα	Idioma griego
Έρβιν Σρέντινγκερ	Erwin Schrödinger
Γκαντάκι	Zona de Gandaki
Μυθολογία	Mitología
Λειτουργικό σύστημα	Sistema operativo
Τατζ Μαχάλ	Taj Mahal
Ιρλανδική γλώσσα	Idioma irlandés
Γλώσσα προγραμματισμού	Lenguaje de programación
Πιγκουίνος	Spheniscidae
Φονταμενταλισμός	Fundamentalismo
Ηλεκτρονικό ταχυδρομείο	Correo electrónico
Μονοθεϊσμός	Monoteísmo
Γιόσιπ Μπροζ Τίτο	Josip Broz Tito
Πολυθεϊσμός	Politeísmo
Καρνάλι	Zona de Karnali
Ψυχή	Alma
Μαλτεζική γλώσσα	Idioma maltés
Περσική γλώσσα	Idioma persa
Λουμπίνι	Zona de Lumbini
Θρησκεία	Religión
Κορεατική γλώσσα	Idioma coreano
Μαχακάλι	Zona de Mahakali
Αβραάμ	Abraham
Γένεση (βιβλίο)	Génesis
Ράπτι	Zona de Rapti
Εμπάιρ Στέιτ Μπίλντινγκ	Edificio Empire State
Έξοδος (βιβλίο)	Éxodo
Ρενέ Ντεκάρτ	René Descartes
Σέτι	Zona de Seti
Βιετναμέζικη γλώσσα	Idioma vietnamita
Απόστολος Παύλος	Pablo de Tarso
Άγαλμα της Ελευθερίας	Estatua de la Libertad
Κλάιβ Στέιπλς Λιούις	C. S. Lewis
Χμερ γλώσσα	Idioma camboyano
Λαοτινή γλώσσα	Idioma lao
Στρατός Ξηράς των ΗΠΑ	Ejército de los Estados Unidos
Σίγκμουντ Φρόυντ	Sigmund Freud
Στρατιωτική Ακαδημία των ΗΠΑ	Academia Militar de los Estados Unidos
Κατηγορία:Αστερισμοί	Categoría:Constelaciones
Τζαϊνισμός	Jainismo
Γκέοργκ Βίλχελμ Φρήντριχ Χέγκελ	Georg Wilhelm Friedrich Hegel
Καβούρ	Cavour (Italia)
Κατάλογος των αστερισμών	Anexo:Constelaciones
Μογγολική γλώσσα	Idioma mongol
Μπακού	Bakú
Πρύμνη (αστερισμός)	Puppis
Βωμός (αστερισμός)	Ara (constelación)
Κιργιζική γλώσσα	Idioma kirguís
Ανδρομέδα (αστερισμός)	Andrómeda (constelación)
Αργώ (αστερισμός)	Argo Navis
Μνημείο Παγκόσμιας Κληρονομιάς	Patrimonio de la Humanidad
Τατζίκ γλώσσα	Idioma tayiko
Ουζμπεκική γλώσσα	Idioma uzbeko
Σαλάτα	Ensalada
Ιουδαϊσμός	Judaísmo
Θίμφου	Timbu
Αμπού Μένα	Abu Mena
Μπαντάρ Σερί Μπεγκαβάν	Bandar Seri Begawan
Κρατήρ	Crater (constelación)
Κόμη Βερενίκης	Coma Berenices
Γλύπτης (αστερισμός)	Sculptor
Εβραϊκή γλώσσα	Idioma hebreo
Τράπεζα (αστερισμός)	Mensa (constelación)
Αζερική γλώσσα	Idioma azerí
Ιμπν Χαλντούν	Ibn Jaldún
Σλαβομακεδονική γλώσσα	Idioma macedonio
Σερβική γλώσσα	Idioma serbio
Δελφίν (αστερισμός)	Delphinus (constelación)
Βοσνιακή γλώσσα	Idioma bosnio
Μικρός Κύων	Canis Minor
Γαλικιανή γλώσσα	Idioma gallego
Ουαλική γλώσσα	Idioma galés
Ντίλι	Dili
Ιμμάνουελ Καντ	Immanuel Kant
Σκωτική Γαελική γλώσσα	Gaélico escocés
Σιχισμός	Sijismo
Τζων Μέυναρντ Κέυνς	John Maynard Keynes
Τιντορέττο	Tintoretto
Γερμανικοί Σιδηρόδρομοι	Deutsche Bahn
Lufthansa	Lufthansa
Βιεντιάν	Vientián
Γκυ ντε Μωπασσάν	Guy de Maupassant
Συμπεριφορά	Comportamiento
Λάο Τσε	Lao-Tsé
Gmail	Gmail
Φλαμανδική Περιοχή	Región Flamenca
Google Drive	Google Drive
Ιάκωβος Πάλμα (πρεσβύτερος)	Palma el Viejo
Μαλέ	Malé
Picasa	Picasa
Γιόγκα	Yoga
Τζων Λοκ	John Locke
Τζιανφράνκο Τζόλα	Gianfranco Zola
Φρίντριχ Νίτσε	Friedrich Nietzsche
Βομβαρδισμός του Google	Google bomb
Μπισκέκ	Biskek
Ζαν-Πωλ Σαρτρ	Jean-Paul Sartre
Ντουσαμπέ	Dusambé
Google Αναζήτηση	Buscador de Google
Ήπαρ	Hígado
Σπλήνας	Bazo
Σίμα Τσιεν	Sima Qian
Νεφρός	Riñón
Άνταμ Σμιθ	Adam Smith
Όρχεις	Testículo
Ουρήθρα	Uretra
Μαξ Βέμπερ	Max Weber
Λούντβιχ Βίτγκενσταϊν	Ludwig Wittgenstein
BASF	BASF
Νίντζα	Ninja
Νευρικό σύστημα	Sistema nervioso
Μπαρνέτ ΦΚ	Barnet Football Club
Συναίσθημα	Emoción
Ψυχολογία	Psicología
Σκέψη	Pensamiento
Στίβενεϊτζ ΦΚ	Stevenage Football Club
Τιμπουκτού	Tombuctú
Ωκεανός	Océano
Θωμάς Ακινάτης	Tomás de Aquino
Βασίλισσα Βικτωρία	Victoria del Reino Unido
Πάολο Βερονέζε	Paolo Veronese
Σιντάρτα Γκαουτάμα	Buda Gautama
Δάσος της βροχής	Selva
Πιτ Σάμπρας	Pete Sampras
Πρέμιερ Λιγκ	Premier League
Διαλεκτική	Dialéctica
Μωάμεθ	Mahoma
Ηθική	Ética
Γνωσιολογία	Epistemología
Ελεύθερη θέληση	Libre albedrío
IPod	IPod
Σκίουρος	Sciuridae
Σατσίν Τεντουλκάρ	Sachin Tendulkar
Ιπτάμενος Σκίουρος	Pteromyini
Ποδοσφαιρική Ομοσπονδία Αγγλίας	La Asociación del Fútbol
Πραγματικότητα	Realidad
Αμπντούλ Καλάμ	Abdul Kalam
BBC	BBC
Τόνι Μπλερ	Tony Blair
Αλ-Γκαζαλί	Al-Ghazali
Κατρίνα Καΐφ	Katrina Kaif
Μαρτίνος Λούθηρος	Martín Lutero
Αμιτάμπ Μπατσάν	Amitabh Bachchan
Πινερόλο	Pinerolo
Τζέιμς Κάλαχαν	James Callaghan
Μπούργος	Burgos
Κομφουκιανισμός	Confucianismo
Τζέραλντ Φορντ	Gerald Ford
Χειμερινοί Ολυμπιακοί Αγώνες 1924	Juegos Olímpicos de Chamonix 1924
Honda	Honda
Σιίτες	Chiismo
Ρίτσαρντ Νίξον	Richard Nixon
ITunes	ITunes
Καθολική Εκκλησία	Iglesia católica
ITunes Store	ITunes Store
Χειμερινοί Ολυμπιακοί Αγώνες 1932	Juegos Olímpicos de Lake Placid 1932
Ταοϊσμός	Taoísmo
Χειμερινοί Ολυμπιακοί Αγώνες 1936	Juegos Olímpicos de Garmisch-Partenkirchen 1936
Ζωροαστρισμός	Zoroastrismo
Σούφι	Sufismo
Ανθρώπινο κρανίο	Cabeza ósea
Νωτιαίος μυελός	Médula espinal
Χειμερινοί Ολυμπιακοί Αγώνες 1940	Juegos Olímpicos de Garmisch-Partenkirchen 1940
Φλέβα	Vena
Μπενγκάλι γλώσσα	Idioma bengalí
Μήτρα	Útero
Χειμερινοί Ολυμπιακοί Αγώνες 1944	Juegos Olímpicos de Cortina d'Ampezzo 1944
Γλώσσα (ανατομία)	Lengua (anatomía)
Τσέλσι ΦΚ	Chelsea Football Club
Άρσεναλ	Arsenal Football Club
Πάγκρεας	Páncreas
Tame Impala	Tame Impala
Νεύρο	Nervio
Ανθρώπινος σκελετός	Esqueleto humano
Χειμερινοί Ολυμπιακοί Αγώνες 1952	Juegos Olímpicos de Oslo 1952
Φιλελεύθεροι Δημοκράτες	Liberal Demócratas (Reino Unido)
Προστάτης	Próstata
Συντηρητικό Κόμμα (Ηνωμένο Βασίλειο)	Partido Conservador (Reino Unido)
Εργατικό Κόμμα (Ηνωμένο Βασίλειο)	Partido Laborista (Reino Unido)
Ωοθήκη	Ovario
Χειμερινοί Ολυμπιακοί Αγώνες 1956	Juegos Olímpicos de Cortina d'Ampezzo 1956
Αυχένας	Cuello
Χειμερινοί Ολυμπιακοί Αγώνες 1960	Juegos Olímpicos de Squaw Valley 1960
Στόμα	Boca
Χειμερινοί Ολυμπιακοί Αγώνες 1964	Juegos Olímpicos de Innsbruck 1964
Λάρυγγας	Laringe
Έντερο	Intestino
Λίντον Τζόνσον	Lyndon B. Johnson
Χειμερινοί Ολυμπιακοί Αγώνες 1968	Juegos Olímpicos de Grenoble 1968
Άρθρωση	Articulación (anatomía)
Θώρακας	Tórax
Χειμερινοί Ολυμπιακοί Αγώνες 1972	Juegos Olímpicos de Sapporo 1972
Αδένας	Glándula
Νήσοι Φώκλαντ	Islas Malvinas
Γαστρεντερικό σύστημα	Aparato digestivo
Χειμερινοί Ολυμπιακοί Αγώνες 1976	Juegos Olímpicos de Innsbruck 1976
Χειμερινοί Ολυμπιακοί Αγώνες 1980	Juegos Olímpicos de Lake Placid 1980
Ίπσουιτς Τάουν	Ipswich Town Football Club
Διάφραγμα (μυς)	Diafragma (anatomía)
Αρτηρία	Arteria
Σκωληκοειδής απόφυση	Apéndice vermiforme
Χειμερινοί Ολυμπιακοί Αγώνες 1984	Juegos Olímpicos de Sarajevo 1984
Χειμερινοί Ολυμπιακοί Αγώνες 1988	Juegos Olímpicos de Calgary 1988
A	A
Χειμερινοί Ολυμπιακοί Αγώνες 1992	Juegos Olímpicos de Albertville 1992
Πυρήνας (υπολογιστές)	Núcleo (informática)
Χειμερινοί Ολυμπιακοί Αγώνες 1994	Juegos Olímpicos de Lillehammer 1994
Χειμερινοί Ολυμπιακοί Αγώνες 1998	Juegos Olímpicos de Nagano 1998
Χειμερινοί Ολυμπιακοί Αγώνες 2002	Juegos Olímpicos de Salt Lake City 2002
Πράσινο Κόμμα της Αγγλίας και της Ουαλίας	Partido Verde de Inglaterra y Gales
Μίχαελ Σουμάχερ	Michael Schumacher
Χειμερινοί Ολυμπιακοί Αγώνες 2006	Juegos Olímpicos de Turín 2006
Λιούις Χάμιλτον	Lewis Hamilton
Χειμερινοί Ολυμπιακοί Αγώνες 2010	Juegos Olímpicos de Vancouver 2010
Νήσος του Μαν	Isla de Man
Χειμερινοί Ολυμπιακοί Αγώνες 2014	Juegos Olímpicos de Sochi 2014
Νήσος Γουάιτ	Isla de Wight
Χειμερινοί Ολυμπιακοί Αγώνες 2018	Juegos Olímpicos de Pyeongchang 2018
Ελισάβετ Β΄ του Ηνωμένου Βασιλείου	Isabel II del Reino Unido
Δυναστεία Τανγκ	Dinastía Tang
Τάιμς της Νέας Υόρκης	The New York Times
Νταϊάνα, πριγκίπισσα της Ουαλίας	Diana de Gales
Τροχαία ατυχήματα	Accidente de tráfico
ß	ß
Λοιμώδης Περιτονίτιδα Γάτας (FIP)	Peritonitis infecciosa felina
Διεθνές Αεροδρόμιο Σκίπχολ	Aeropuerto de Ámsterdam-Schiphol
Χένρι Πέρσελ	Henry Purcell
Τζον Φιτζέραλντ Κένεντι	John F. Kennedy
B	B
Ονορέ ντε Μπαλζάκ	Honoré de Balzac
Σπέρμα	Semen
Τζοακίνο Ροσσίνι	Gioachino Rossini
Κλασική μουσική	Música clásica
Νουμεά	Numea
Συμφωνία (μουσική)	Sinfonía
G	G
U	U
Z	Z
Μπλουζ	Blues
Φλαμένκο	Flamenco
F	F
J	J
Φένλο	Venlo
Αλφάβητο	Alfabeto
Γράμμα	Letra
Ρέγκε	Reggae
Σαξόφωνο	Saxofón
Μπάαρλε-Νάσσαου	Baarle-Nassau
T	T
C	C
Αϊντχόφεν	Eindhoven
R	R
D	D
Άλφα	Α
Ωμέγα	Ω
I	I
Πέστο	Pesto
Άαλσμιρ	Aalsmeer
Μπέρχεν	Bergen (Países Bajos)
Μι	Μ
Δυναστεία Μινγκ	Dinastía Ming
E	E
Ντεν Χέλντερ	Den Helder
H	H
Ντουάιτ Αϊζενχάουερ	Dwight D. Eisenhower
Χάαρλεμ	Haarlem
K	K
L	L
M	M
Φάντα	Fanta
N	N
O	O
P	P
Q	Q
S (γράμμα)	S
Ρόναλντ Ρήγκαν	Ronald Reagan
V	V
W	W
X	X
Y	Y
Αυτοκράτορας Χονγκ-τσι	Hongzhi
Ολλανδική Βικιπαίδεια	Wikipedia en neerlandés
Φι	Φ
Ραφαέλ Ναδάλ	Rafael Nadal
Σουητώνιος	Suetonio
Κλίνγκον γλώσσα	Idioma klingon
LibreOffice	LibreOffice
Διαγωνισμός Τραγουδιού Eurovision 2002	Festival de la Canción de Eurovisión 2002
Διαγωνισμός Τραγουδιού Eurovision 2003	Festival de la Canción de Eurovisión 2003
Διαγωνισμός Τραγουδιού Eurovision 2004	Festival de la Canción de Eurovisión 2004
Διαγωνισμός Τραγουδιού Eurovision 2005	Festival de la Canción de Eurovisión 2005
Διαγωνισμός Τραγουδιού Eurovision 2006	Festival de la Canción de Eurovisión 2006
Διαγωνισμός Τραγουδιού Eurovision 2007	Festival de la Canción de Eurovisión 2007
Διαγωνισμός Τραγουδιού Eurovision 2008	Festival de la Canción de Eurovisión 2008
Διαγωνισμός Τραγουδιού Eurovision 2009	Festival de la Canción de Eurovisión 2009
Διαγωνισμός Τραγουδιού Eurovision 2010	Festival de la Canción de Eurovisión 2010
Διαγωνισμός Τραγουδιού Eurovision 2011	Festival de la Canción de Eurovisión 2011
Διαγωνισμός Τραγουδιού Eurovision 2012	Festival de la Canción de Eurovisión 2012
Διαγωνισμός Τραγουδιού Eurovision 2013	Festival de la Canción de Eurovisión 2013
Ζουλού γλώσσα	Idioma zulú
Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung
Αρανική διάλεκτος	Aranés
Ζαζαϊκή γλώσσα	Zazaki
Ραούλ Γκάντι	Rahul Gandhi
Κουρασάο (λικέρ)	Curaçao (licor)
Πλάσμα (φυσική)	Plasma (estado de la materia)
Σήραγγα της Μάγχης	Eurotúnel
Χόλι	Holi
Πυθαγόρας	Pitágoras
Παμπλόνα	Pamplona
Κολοσσαίο	Coliseo
Κλαμπ Ατλέτικο Οσασούνα	Club Atlético Osasuna
Μανουέλ Βαλλς	Manuel Valls (político)
Παρθενώνας	Partenón
Φτώχεια	Pobreza
Ράγιο Βαγιεκάνο	Rayo Vallecano de Madrid
Σαραγόσα	Zaragoza
Ρεάλ Σαραγόσα	Real Zaragoza
Σαν Σεμπαστιάν	San Sebastián
Ρεάλ Σοσιεδάδ	Real Sociedad de Fútbol
Ρεάλ Βαγιαδολίδ	Real Valladolid Club de Fútbol
Σεβίλλη ΦΚ	Sevilla Fútbol Club
Βαλένθια ΚΦ	Valencia Club de Fútbol
Καρδιολογία	Cardiología
ΑΝ Αλκορκόν	Agrupación Deportiva Alcorcón
Μπαντούνγκ	Bandung
Τζον Μακέιν	John McCain
Αλμερία	Almería
Λέων Μικρός	Leo Minor
Στέφανος Βόρειος	Corona Borealis
Ουνιόν Ντεπορτίβα Αλμερία	Unión Deportiva Almería
Νότιος Ιχθύς	Piscis Austrinus
Νότιος Στέφανος	Corona Australis
Ύδρος	Hydrus
Τρίγωνον Νότιον	Triangulum Australe
Περιστερά	Columba (constelación)
Μονόκερως (αστερισμός)	Monoceros
Σαύρα (αστερισμός)	Lacerta
Ηριδανός (αστερισμός)	Constelación de Eridanus
Μυία (αστερισμός)	Musca
Ιχθύς Ιπτάμενος	Volans
Ιππάριον	Equuleus
Φοίνιξ (αστερισμός)	Fénix (constelación)
Λυγξ (αστερισμός)	Lince (constelación)
Λαγωός	Lepus (constelación)
Ηρακλής (αστερισμός)	Hércules (constelación)
Ινδός (αστερισμός)	Indus (constelación)
Κύνες Θηρευτικοί	Canes Venatici
Χαμαιλέων (αστερισμός)	Chamaeleon
Κασσιόπη (αστερισμός)	Cassiopeia (constelación)
Μπαρτσελόνα Β	Fútbol Club Barcelona @@@u0026B"
Κηφεύς	Cepheus (constelación)
Τρόπις (αστερισμός)	Carina
Πυξίς	Brújula (constelación)
Ηνίοχος (αστερισμός)	Auriga (constelación)
Μικρά Άρκτος	Osa Menor
Αικατερίνη, Δούκισσα του Κέιμπριτζ	Catalina de Cambridge
Αντλία (αστερισμός)	Antlia
Λύρα (αστερισμός)	Lyra
Οκρίβας	Pictor
Γλυφείον (αστερισμός)	Caelum
Άιρτον Σένα	Ayrton Senna
Μικροσκόπιον (αστερισμός)	Microscopium
Αλέν Προστ	Alain Prost
Επαρχία Φράιζινγκ	Distrito de Frisinga
Δίκτυον	Reticulum
ΦΚ Κόρδοβα	Córdoba Club de Fútbol
Οκτάς	Octans
Πτηνόν	Apus
Διαβήτης (αστερισμός)	Circinus
Έλτσε	Elche
Τζένσον Μπάτον	Jenson Button
Περσεύς (αστερισμός)	Perseus
Έλτσε ΚΦ	Elche Club de Fútbol
Βέλος (αστερισμός)	Sagita
Φερνάντο Αλόνσο	Fernando Alonso
Ταώς (αστερισμός)	Pavo (constelación)
Κόραξ	Corvus (constelación)
Αλώπηξ (αστερισμός)	Vulpecula
Ντέιβιντ Μπέκαμ	David Beckham
Ιστία	Vela (constelación)
Ράιαν Γκιγκς	Ryan Giggs
Εξάς	Sextans
Ασπίς (αστερισμός)	Scutum (constelación)
Αιγόκερως (αστερισμός)	Capricornus
Μέγας Κύων	Canis Maior
Σταυρός του Νότου	Crux
Τηλεσκόπιον	Telescopium
Άνω Παλατινάτο	Alto Palatinado
Κάτω Βαυαρία	Niederbayern
Άνω Βαυαρία	Alta Baviera
Γερανός (αστερισμός)	Grus (constelación)
Τρίγωνον	Triangulum
Σασκατούν	Saskatoon
Τουκάνα	Tucana
Ταύρος (αστερισμός)	Tauro (constelación)
Λύκος (αστερισμός)	Lobo (constelación)
Ωρολόγιον (αστερισμός)	Horologium
Υδροχόος (αστερισμός)	Acuario (constelación)
Ύδρα (αστερισμός)	Hidra (constelación)
Ζυγός (αστερισμός)	Libra (constelación)
Γνώμων (αστερισμός)	Norma (constelación)
Κριός (αστερισμός)	Aries (constelación)
Αετός (αστερισμός)	Aquila (constelación)
Κατηγορία:Δράκων (αστερισμός)	Categoría:Constelación de Draco
Βασιλομήτωρ Ελισάβετ του Ηνωμένου Βασιλείου	Isabel Bowes-Lyon
Κατηγορία:Παρθένος (αστερισμός)	Categoría:Constelación de Virgo
Football Manager	Football Manager
Κατηγορία:Κένταυρος (αστερισμός)	Categoría:Constelación de Centaurus
Κατηγορία:Λέων (αστερισμός)	Categoría:Constelación de Leo
Κόμμα Ανεξαρτησίας Ηνωμένου Βασιλείου	Partido de la Independencia del Reino Unido
Γκόρντον Μπράουν	Gordon Brown
Κατηγορία:Ωρίων (αστερισμός)	Categoría:Constelación de Orión
Άλεξ Σάλμοντ	Alex Salmond
Κατηγορία:Τοξότης (αστερισμός)	Categoría:Constelación de Sagitario
Κατηγορία:Οφιούχος (αστερισμός)	Categoría:Constelación de Ofiuco
Σκωτικό Εθνικό Κόμμα	Partido Nacional Escocés
1100	1100
Κατηγορία:Μεγάλη Άρκτος	Categoría:Constelación de Osa Mayor
Κατηγορία:Κύκνος (αστερισμός)	Categoría:Constelación de Cygnus
Κατηγορία:Δίδυμοι (αστερισμός)	Categoría:Constelación de Géminis
Νέβιλ Τσάμπερλεν	Neville Chamberlain
Κιμ Γιονγκ Ιλ	Kim Jong-il
Κατηγορία:Βενεζουέλα	Categoría:Venezuela
PlayStation	PlayStation
PlayStation 2	PlayStation 2
PlayStation 3	PlayStation 3
Μπέλφαστ	Belfast
Κάρντιφ	Cardiff
Πλάιντ Κάμρυ	Plaid Cymru
Περιοδικός πίνακας των χημικών στοιχείων	Tabla periódica de los elementos
Τόρσχαβν	Tórshavn
Ρόμπερτ Μουγκάμπε	Robert Mugabe
Red Hot Chili Peppers	Red Hot Chili Peppers
@	Arroba (símbolo)
Τιμπόρ Σέκελι	Tibor Sekelj
Τζώρτζταουν (Γουιάνα)	Georgetown
Στιβ Λέο Μπέλεκ	Steve Leo Beleck
Μικ Φόλεϊ	Mick Foley
Κένταυρος (αστρονομία)	Centauro (astronomía)
Αυτοκτονία	Suicidio
