આફ્રિકા	África
બોડો ભાષા	Idioma bodo
ભોજપુરી ભાષા	Idioma bhoyapurí
મુઘલ યુગ	Imperio mogol
ઇલાયચી	Elettaria cardamomum
કાશ્મીરી ભાષા	Idioma cachemir
સિમા ગુઆંગ	Sima Guang
ધ્રુવીય રીંછ	Ursus maritimus
કન્નડ ભાષા	Idioma canarés
મગહી ભાષા	Idioma magahi
હાથ	Mano
ઓડિઆ ભાષા	Idioma oriya
નેપાળી ભાષા	Idioma nepalí
વસ્તી	Población
મણિપુરી ભાષા	Idioma meitei
અસાઈ તાડ	Euterpe oleracea
સંથાલી ભાષા	Idioma santali
નેપાલ ભાષા	Nepal bhasa
સિંધી ભાષા	Idioma sindhi
કાજુ	Anacardium occidentale
ધોધ	Cascada
માખણ	Mantequilla
પાબ્લો નેરુદા	Pablo Neruda
કોંકણી ભાષા	Idioma konkaní
એલેક્ઝાન્ડર ગ્રેહામ બેલ	Alexander Graham Bell
જ્યોતિષવિદ્યા	Astrología
સંગીત વાદ્ય	Instrumento musical
હંસ	Cygnus (género)
બેનઝિર ભુટ્ટો	Benazir Bhutto
ઓક્સફોર્ડ યુનિવર્સિટી	Universidad de Oxford
માર્ગ	Carretera
હેલિકોપ્ટર	Helicóptero
હિપોપોટેમસ	Hippopotamus amphibius
આંગળી	Dedo
ગુલાબ	Rosa
દિપડો	Panthera pardus
સાલ્ઝબર્ગ	Salzburgo
ગ્રીસની પૌરાણિક માન્યતાઓ	Mitología griega
હોકાયંત્ર	Brújula
ક્ષ-કિરણો	Rayos X
પપૈયાં	Carica papaya
વિશ્વ કુસ્તી મનોરંજન	WWE
ટીટીકાકા સરોવર	Titicaca
કોલંબો	Colombo
મદીના	Medina
રેસલમેનિયા	WrestleMania
કેમ્બ્રિજ વિશ્વવિદ્યાલય	Universidad de Cambridge
જરથુષ્ટ્ર	Zoroastro
રાઈટ બંધુઓ	Hermanos Wright
હેક્ટર	Hectárea
બાપ્તિસ્મા (બૅપ્ટિઝમ)	Bautismo
ફુગાવો	Inflación
અરાલ સમુદ્ર	Mar de Aral
લામ્બોરગીની	Lamborghini
લેન્ડ રોવર	Land Rover
વાંસ	Bambuseae
સૌંદર્ય શાસ્ત્ર	Estética
કોકોસ (કીલીંગ) દ્વીપ	Islas Cocos
પિસ્તા	Pistacia vera
ક્વીન્સલેન્ડ	Queensland
મિનેપોલિસ	Minneapolis
મૈથિલી ભાષા	Idioma maithili
અંજીર	Ficus carica
માર્ક ઝકરબર્ગ	Mark Zuckerberg
મલયાલમ ભાષા	Malayalam
જીવનચરિત્ર	Biografía
રેશમ માર્ગ	Ruta de la seda
તાઈકવૉન્દો	Taekwondo
ઉંદર	Rattus
દ્વિપદ નામકરણ	Nomenclatura binomial
પાલિ ભાષા	Pali
રોબર્ટ પેટિસન	Robert Pattinson
મુંગેર	Munger
સ્વાઇન ફ્લ્યુ	Gripe porcina
નખ	Uña
મધુબાલા	Madhubala
ઓઝોન	Ozono
જાહેરાત	Publicidad
સ્વતંત્રતા	Independencia
એલેક્ઝાન્ડર ફ્લેમિંગ	Alexander Fleming
સોલોમન	Salomón
યાહૂ!	Yahoo!
ફેબ્રુઆરી ૩૦	30 de febrero
ઓકલેન્ડ	Auckland
ગુલબર્ગ	Gulbarga
એ કે-૪૭	AK-47
મિથેન	Metano
મરિઉપોલ	Mariúpol
ગીઝાનો મહાન પિરામિડ	Gran Pirámide de Guiza
સિંધ	Sind
વર્તુળનો વ્યાસ	Diámetro
શિક્ષક	Maestro
ગો (પ્રોગ્રામિંગ ભાષા)	Go (lenguaje de programación)
સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી	Agencia Central de Inteligencia
રામાયણ	Ramayana
અક્રોતીરી અને ધેકેલીયા	Acrotiri y Dhekelia
મગફળી	Arachis hypogaea
ધુમ્મસ	Niebla
બહુકોણ	Polígono (geometría)
વેલેન્ટાઇન્સ ડે	Día de San Valentín
ગલ્ફ વોર	Guerra del Golfo
રેશમ	Seda
મિશ્રધાતુ	Aleación
નિવસન તંત્ર	Ecosistema
રેફ્રિજરેટર	Refrigerador
ટપાલ ટિકિટ	Sello postal
શક્કરીયાં	Ipomoea batatas
કાર્ટેન (Kärnten)	Carintia
સમુરાઇ	Samurái
ચિત્રકોટનો ધોધ	Cataratas Chitrakoot
આશા ભોંસલે	Asha Bhosle
કોલંબિયા, દક્ષિણ કેરોલિના	Columbia (Carolina del Sur)
દેવનાગરી	Devanagari
તરબૂચ	Citrullus lanatus
રિકટર મેગ્નીટયુડ સ્કેલ	Escala sismológica de Richter
લેસર	Láser
તાવ	Fiebre
આંતરરાષ્ટ્રીય મહિલા દિન	Día Internacional de la Mujer
વોરાર્લબર્ગ	Vorarlberg
પીઝાનો ઢળતો મિનારો	Torre de Pisa
સૂક્ષ્મ અર્થશાસ્ત્ર	Microeconomía
લીડ્ઝ	Leeds
હડકવા	Rabia
કીટ વિજ્ઞાન	Entomología
અતિવાસ્તવવાદ	Surrealismo
દીવાદાંડી	Faro
માર્કેટિંગ	Mercadotecnia
સ્ટીફન કિંગ	Stephen King
રેડિયો સ્ટુડિયો 54 નેટવર્કના	Radio Studio 54 Network
દાયકો	Década
બદામ	Prunus dulcis
વેદ	Vedas
સિલ્વેસ્ટર સ્ટેલોન	Sylvester Stallone
મેરેથોન	Maratón
ગુડફ્રાઈડે	Viernes Santo
રાશી	Zodiaco
ટેક્લોબેન	Tacloban
યોહાન	Juan el Bautista
ઝેર	Veneno
અતિસાર	Diarrea
અંદામાન અને નિકોબાર દ્વીપસમૂહ	Islas Andamán y Nicobar
પંડિત રામ નારાયણ	Ram Narayan
ઇટાનગર	Itanagar
રશિયાનાં ગણતંત્રો	Repúblicas de Rusia
બારપેટા જિલ્લો	Distrito de Barpeta
વેગમાન સંરક્ષણનો નિયમ	Cantidad de movimiento
આગ્રા પ્રાંત	División de Agra
નાઈટ્સ ટેમ્પ્લર	Caballeros templarios
તરંગલંબાઇ	Longitud de onda
તંજાવુર	Thanjavur
સ્ટેનફોર્ડ યુનિવર્સિટી	Universidad Stanford
ફ્રેન્ક લેમ્પાર્ડ	Frank Lampard
ગાંધીધામ	Gandhidham
કોથમીર	Coriandrum sativum
મનોવિષ્લેષણ	Psicoanálisis
રમઝાન	Ramadán
ભારતનો રાષ્ટ્રધ્વજ	Bandera de la India
વંશીય જૂથ	Etnia
વાર	Nombres de los días de la semana
ઈમાન	Shahada
એડનની ખાડી	Golfo de Adén
મનમોહન સિંહ	Manmohan Singh
રાતો પાંડા	Ailurus fulgens
ભિલવાડા જિલ્લો	Distrito de Bhilwara
સુરખાબ	Phoenicopterus
સાર્વભૌમત્વ	Soberanía
બકિંગહામ પેલેસ	Palacio de Buckingham
બોંગાઇગાંવ જિલ્લો	Distrito de Bongaigaon
કછર જિલ્લો	Distrito de Cachar
યુનિફોર્મ રિસોર્સ લોકેટર	Localizador de recursos uniforme
ગૂગલ અર્થ	Google Earth
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	File Transfer Protocol
અંતરનું વિશ્લેષણ	Análisis de la varianza
ઊન	Lana
પીડીએફ	PDF
નિહારિકા	Nebulosa
યુનિવર્સલ સીરિયલ બસ	Universal Serial Bus
તાલિબાન	Talibán
દારાંગ જિલ્લો	Distrito de Darrang
ધેમાજી જિલ્લો	Distrito de Dhemaji
પર્લ	Perl
ઈંધણ (બળતણ)	Combustible
હૈલાકાંડી જિલ્લો	Distrito de Hailakandi
ગોલાઘાટ જિલ્લો	Distrito de Golaghat
ગોલપારા જિલ્લો	Distrito de Goalpara
કરીમગંજ જિલ્લો	Distrito de Karimganj
કાર્બી ઓન્ગલોન્ગ જિલ્લો	Distrito de Karbi Anglong
હળદર	Curcuma longa
રણ બિલાડી	Felis silvestris lybica
એમપીથ્રી	MP3
કોકરાઝાર જિલ્લો	Distrito de Kokrajhar
જંગલી બિલાડી	Felis chaus
ચક્તાવાળી બિલાડી	Prionailurus bengalensis
ભેંસ	Bubalus bubalis
મારિગાંવ જિલ્લો	Distrito de Marigaon
લખિમપુર જિલ્લો	Distrito de Lakhimpur
શોણિતપુર જિલ્લો	Distrito de Sonitpur
શિવસાગર જિલ્લો	Distrito de Sivasagar
ઉત્તર કછર જિલ્લો	Distrito de Dima Hasao
દાઢી	Barba
સૈગોન એરપોર્ટ	Aeropuerto Internacional Long Thành
મેજર ડિપ્રેસિવ ડિસઓર્ડર	Trastorno depresivo mayor
કૃષ્ણ	Krishna
અરરિયા જિલ્લો	Distrito de Araria
અરવલ જિલ્લો	Distrito de Arwal
નિર્વાણ	Nirvana (espiritualidad)
આગ્રા	Agra
ચોમાસુ	Monzón
એલર્જી	Alergia
સંક્ષિપ્ત સંદેશ સેવા	Servicio de mensajes cortos
દુકાળ	Sequía
કાળા મરી	Piper nigrum
ઔરંગાબાદ જિલ્લો (બિહાર)	Distrito de Aurangabad (Bihar)
કાશ્મીર	Cachemira (región)
વિકિપીડિયા:જાણીતા પ્રશ્નો	Ayuda:Preguntas frecuentes
સ્વર્ગીય ગુફા	Gruta de Paraíso
હરિતદ્રવ્ય	Clorofila
વીમો	Seguro
ફ્રાન્સનો રાષ્ટ્રધ્વજ	Bandera de Francia
સંસ્થા	Organización
ગેસ્ટાપો	Gestapo
પ્રિન્સ ચાર્લ્સ	Carlos de Gales
ટાઇમ (સામયિક)	Time
લોકગીત	Música folk
કાગડો	Corvus
ડિસ્કવરી ચેનલ	Discovery Channel
ચંડીગઢ	Chandigarh
વરિયાળી	Foeniculum vulgare
સ્ફટિક	Cristal
મમી	Momia
હાઇડ્રોકાર્બન	Hidrocarburo
એપોલો ૧૧	Apolo 11
બર્મુડા ત્રિકોણ	Triángulo de las Bermudas
રણદ્વીપ	Oasis
ટર્કી	Meleagris
બ્રેમ્પ્ટન, ઓન્ટારીયો	Brampton (Ontario)
નાગોર્નો-કરબાખ ગણરાજ્ય	Nagorno Karabaj
ધ અંડરટેકર	The Undertaker
જિહાદ	Yihad
ઉષ્મા	Calor
મંદિર	Templo
એલેક્સ ફર્ગ્યુસન	Alex Ferguson
કલકલિયો	Alcedines
અળસી	Linum usitatissimum
કોલ્ડપ્લે	Coldplay
સ્વસ્તિક	Esvástica
કંદહાર	Kandahar
નીલગિરી	Eucalyptus
એનફિલ્ડ	Anfield
ફણસ	Artocarpus heterophyllus
માછલીઘર	Acuario (recipiente)
રાજા આર્થર	Rey Arturo
લાલ કિલ્લો	Fuerte rojo de Delhi
દાદરા અને નગરહવેલી	Dadra y Nagar Haveli
વિદ્યુત ક્ષેત્ર	Campo eléctrico
કાળો કોશી	Dicrurus macrocercus
ચાર્લ્સ બૅબેજ	Charles Babbage
ફીજી હિન્દી	Hindi de Fiyi
હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	Harry Potter y las Reliquias de la Muerte
શ્રીમદ્ ભગવદ્ ગીતા	Bhagavad-guitá
ઑસ્ટ્રિયાનો રાષ્ટ્રધ્વજ	Bandera de Austria
અખરોટ	Juglans regia
પાલી જિલ્લો	Distrito de Pali
ઐશ્વર્યા રાય	Aishwarya Rai
કુ ક્લક્સ ક્લાન	Ku Klux Klan
બ્રાહ્મણ	Brahmán (casta)
વોરન બફેટ	Warren Buffett
કામસૂત્ર	Kama sutra
હસન	Hassan
સ્વામી વિવેકાનંદ	Swami Vivekananda
એકમ	Unidad de medida
ફિબોનાકિ	Sucesión de Fibonacci
રક્તના પ્રકાર	Grupo sanguíneo
કેથરિન ઝેટા-જોન્સ	Catherine Zeta-Jones
બ્લેક સબાથ	Black Sabbath
પ્રમબનન	Prambanan
પ્રતિભા પાટીલ	Pratibha Patil
પત્તા	Baraja
ફીનલેંડનો રાષ્ટ્રધ્વજ	Bandera de Finlandia
લખનૌ	Lucknow
ઢાંચો:Commons category	Plantilla:Commonscat
સિટી ઓફ માન્ચેસ્ટર સ્ટેડિયમ	Estadio Ciudad de Mánchester
જર્મનીનો રાષ્ટ્રધ્વજ	Bandera de Alemania
યુરિયા	Urea
અમૃતસર	Amritsar
આલ્બેનિયાનો રાષ્ટ્રધ્વજ	Bandera de Albania
ડેડમાઉસ	Deadmau5
ચંદ્રયાન-૧	Chandrayaan-1
ભોજપુર જિલ્લો	Distrito de Bhojpur (Bihar)
ભાગલપુર જિલ્લો	Distrito de Bhagalpur
બેગૂસરાય જિલ્લો	Distrito de Begusarai
દરભંગા જિલ્લો	Distrito de Darbhanga
બક્સર જિલ્લો	Distrito de Buxar
જમુઈ જિલ્લો	Distrito de Jamui
ગોપાલગંજ જિલ્લો	Distrito de Gopalganj
ગયા જિલ્લો	Distrito de Gaya
ખગડિયા જિલ્લો	Distrito de Khagaria
જહાનાબાદ જિલ્લો	Distrito de Jehanabad
ઓર્લાન્ડો, ફ્લોરિડા	Orlando (Florida)
ગજહ મદ	Gajamada
પર્યટન	Turismo
કવિ	Poeta
દ્વિસંગી તારો	Estrella binaria
માન્ચેસ્ટર સિટી ફૂટબૉલ ક્લબ	Manchester City Football Club
ચલ	Variable (matemáticas)
અવયવ	Divisibilidad
કલ્પના-૧	Kalpana 1
ઢાંચો:Chembox	Plantilla:Ficha de compuesto químico
ઢાંચો:Taxobox	Plantilla:Ficha de taxón
ઈથેન	Etano
જગદ્ગુરુ રામભદ્રાચાર્ય	Jagadguru Rambhadracharya
ઢાંચો:Infobox legislature	Plantilla:Ficha de parlamento
હોલો	Streptopelia decaocto
સુનીતા વિલિયમ્સ	Sunita Williams
શ્રેણી:ચલચિત્ર	Categoría:Películas
રાજ કપૂર	Raj Kapoor
પ્રણવ મુખર્જી	Pranab Mukherjee
શ્રુતિ	Shruti (música)
પંજાબી ભાષા	Idioma punjabí
આદમ અને હવા	Adán y Eva
અરબી સમુદ્ર	Mar Arábigo
પ્રદૂષણ	Contaminación
સતના	Satna
સરસ્વતી દેવી	Sarasvati
કાકીનાડા	Kakinada
ખીર	Kheer
જલેબી	Jalebi
પરોઠા	Paratha
ઉંબરો (વૃક્ષ)	Ficus
હેઇદી ક્લુમ	Heidi Klum
રજનીકાંત	Rajinikanth
ડેનમાર્કનો રાષ્ટ્રધ્વજ	Bandera de Dinamarca
સી. વી. રામન	Chandrasekhara Raman
ટાવર ઓફ લંડન	Torre de Londres
આરમીન વન બ્યુરન	Armin van Buuren
શંખ	Caracola
મૌર્ય વંશ	Imperio Maurya
પિત્તાશય	Vesícula biliar
વિદ્યુત વિચ્છેદન-વિશ્લેષણ (ઇલેક્ટ્રોલિસિસ)	Electrólisis
વિનિમય દર	Tasa de cambio
જયપુર	Jaipur
કાનપુર	Kanpur
ઈંદોર	Indore
દમણ અને દીવ	Damán y Diu
પૉંડિચેરી	Puducherry
અસ્થિભંગ	Fractura
હેલ-બોપ ધૂમકેતુ	Cometa Hale-Bopp
ટેટ્રીસ (રમત)	Tetris
નાનો જળ કાગડો	Microcarbo niger
મખમલી થડચડ	Sitta frontalis
ડેલ્ફી	Delfos
સેમ્યુઅલ મોર્સ	Samuel Morse
બોરિસ બેકર	Boris Becker
૨૦૦૮ મુંબઈ હુમલો	Atentados de Bombay de 2008
કૈમૂર જિલ્લો	Distrito de Kaimur
કિશનગંજ જિલ્લો	Distrito de Kishanganj
મુંગેર જિલ્લો	Distrito de Munger
મધુબની જિલ્લો	Distrito de Madhubani
લખીસરાય જિલ્લો	Distrito de Lakhisarai
કટિહાર જિલ્લો	Distrito de Katihar
નાલંદા જિલ્લો	Distrito de Nalanda
મુજફ્ફરપુર જિલ્લો	Distrito de Muzaffarpur
મધેપુરા જિલ્લો	Distrito de Madhepura
એમિથિસ્ટ	Amatista
ચક્રવાત	Ciclón (fenómeno natural)
૩જી	Telefonía móvil 3G
૪જી મોબાઇલ સેવા	Telefonía móvil 4G
બેરોમીટર	Barómetro
ગિનિ પિગ	Cavia porcellus
અફઘાનિસ્તાનનો રાષ્ટ્રધ્વજ	Bandera de Afganistán
મોર્સ કોડ	Código morse
વિકિપીડિયા:ચકાસણીયોગ્યતા	Wikipedia:Verificabilidad
ક્રાઇસ્ટ ધ રિડીમર	Cristo Redentor
વારાણસી	Benarés
ઇથરનેટ	Ethernet
ઓઝોન સ્તર	Capa de ozono
કુંવારપાઠું	Aloe vera
કેનેડાનો રાષ્ટ્રધ્વજ	Bandera de Canadá
ખાટી આમલી	Tamarindus indica
કોર્ન	Korn
પટના	Patna
ભારતીય રૂપિયો	Rupia india
ભીંડા	Abelmoschus esculentus
એપ્રિલ ફૂલ્સ ડે	Día de las bromas de abril
પશુપાલન	Ganadería
ભોપાલ	Bhopal
વાકછટા	Retórica
જળ ચક્ર	Ciclo hidrológico
હોમિયોપેથી	Homeopatía
મગર	Crocodylus palustris
સ્વચાલિત ગણક યંત્ર (ATM)	Cajero automático
હેરિસન ફોર્ડ	Harrison Ford
ચણા	Cicer arietinum
ઈન્ટરનેટ પ્રોટોકોલ સ્યુટ	Familia de protocolos de Internet
પાલક (ભાજી)	Spinacia oleracea
ઈસ્ટોનિયાનો રાષ્ટ્રધ્વજ	Bandera de Estonia
એન્ડોરાનો રાષ્ટ્રધ્વજ	Bandera de Andorra
ઑસ્ટ્રેલિયાનો રાષ્ટ્રધ્વજ	Bandera de Australia
ફાસ્ટ ફૂડ	Comida rápida
કાતરા (ઈયળ)	Oruga (larva)
માંસાહારી	Carnívoro
હંગેરીનો રાષ્ટ્રધ્વજ	Bandera de Hungría
કાંચનજંઘા	Kanchenjunga
અઝેરબીજાનનો રાષ્ટ્રધ્વજ	Bandera de Azerbaiyán
પર્યાવરણ સંરક્ષણ સ્થિતિ	Estado de conservación
ઇમેજ સ્કેનર	Escáner de computadora
નારાયણ કાર્તિકેયન	Narain Karthikeyan
ચીનનો ઇતિહાસ	Historia de China
પેટ્રોનાસ જોડિયા ટાવર	Torres Petronas
જન ગણ મન	Jana-Gana-Mana
શ્રીનિવાસ રામાનુજન	Srinivasa Aiyangar Ramanujan
ઘર ઉંદર	Mus musculus
ટાઇફોઇડ	Fiebre tifoidea
ગુરુનાનક	Gurú Nanak
લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે	Pantalla de cristal líquido
અંગુષ્ઠ	Dedo pulgar
શાકાહારી	Vegetarianismo
અલ્જીરીયાનો રાષ્ટ્રધ્વજ	Bandera de Argelia
ઓલ્ડ ટ્રેફોર્ડ	Old Trafford
પર્યાયોક્તિ	Eufemismo
જુડાસ પ્રિસ્ટ	Judas Priest
સુસાન બોયલ	Susan Boyle
શાહજહાં	Sha Jahan
શિમલા	Shimla
કાર્લ લેન્ડસ્ટેઇનર	Karl Landsteiner
ધ્વનિ પ્રદૂષણ	Contaminación acústica
ઢાંચો:Cite book	Plantilla:Cita libro
એલિસેઝ એડવેન્ચર્સ ઇન વન્ડરલેન્ડ	Las aventuras de Alicia en el país de las maravillas
એરિક શ્મિટ	Eric Schmidt
લેરી એલિસન	Lawrence J. Ellison
સેર્ગેઈ બ્રિન	Serguéi Brin
સુભાષ કાક	Subhash Kak
બોલીવુડ	Bollywood
ટ્યૂલિપ	Tulipa
ઇમુ	Dromaius novaehollandiae
ઓએસઆઈ મોડેલ	Modelo OSI
આઈસલેંડનો રાષ્ટ્રધ્વજ	Bandera de Islandia
ધ હૂ	The Who
ગ્રાન્ડ થેફ્ટ ઓટો ૪	Grand Theft Auto IV
રોહતાસ જિલ્લો	Distrito de Rohtas
શેખપુરા જિલ્લો	Distrito de Sheikhpura
શિવહર જિલ્લો	Distrito de Sheohar
સમસ્તીપુર જિલ્લો	Distrito de Samastipur
સહરસા જિલ્લો	Distrito de Saharsa
વૈશાલી જિલ્લો	Distrito de Vaishali
સીવાન જિલ્લો	Distrito de Siwan
સુપૌલ જિલ્લો	Distrito de Supaul
સીતામઢી જિલ્લો	Distrito de Sitamarhi
સારન જિલ્લો	Distrito de Saran
બસ્તર જિલ્લો	Distrito de Bastar
બિલાસપુર જિલ્લો, છત્તીસગઢ	Distrito de Bilaspur (Chhattisgarh)
દુર્ગ જિલ્લો	Distrito de Durg
ધમતરી જિલ્લો	Distrito de Dhamtari
દંતેવાડા જિલ્લો	Distrito de Dantewada
સ્વાઈન ફલૂ	Pandemia de gripe A (H1N1) de 2009-2010
ઈંડોનેશિયાનો રાષ્ટ્રધ્વજ	Bandera de Indonesia
ગાબોનનો રાષ્ટ્રધ્વજ	Bandera de Gabón
જિબુટીનો રાષ્ટ્રધ્વજ	Bandera de Yibuti
બાઇનૉક્યુલર	Prismáticos
સંક્ષિપ્ત શબ્દ	Abreviatura
હોન્ડુરાસનો રાષ્ટ્રધ્વજ	Bandera de Honduras
કેપ વર્દુનો રાષ્ટ્રધ્વજ	Bandera de Cabo Verde
ગિની-બિસ્સાઉનો રાષ્ટ્રધ્વજ	Bandera de Guinea-Bisáu
હૈતીનો રાષ્ટ્રધ્વજ	Bandera de Haití
વી ફોર વેન્ડેટા	V de Vendetta
ગ્રેનેડાનો રાષ્ટ્રધ્વજ	Bandera de Granada (país)
બહામાનો રાષ્ટ્રધ્વજ	Bandera de las Bahamas
રવિ શંકર	Ravi Shankar (músico)
પલ્‍પ ફિક્શન (ફિલ્‍મ)	Pulp Fiction
બાર્બાડોસનો રાષ્ટ્રધ્વજ	Bandera de Barbados
અર્ધ વિરામ	Punto y coma
હુક્કો	Narguile
શોર્ટ સેલ	Venta corta
છાશ	Suero de mantequilla
માર્કની લખેલી સુવાર્તા	Evangelio de Marcos
રાજ્ય	Estado federado
કીટલી	Caldera (cocina)
ડો. હરગોવિંદ ખુરાના	Har Gobind Khorana
સટ્ટાખોરી	Especulación (economía)
ઉત્તર ગોઆ જિલ્લો	Distrito de Goa del Norte
દક્ષિણ ગોઆ જિલ્લો	Distrito de Goa del Sur
એ. આર. રહેમાન	A. R. Rahman
હિંગ	Ferula assafoetida
ગિરનારી કાગડો	Corvus macrorhynchos
રાધા	Radha
કાબર	Acridotheres tristis
મોર બાજ	Nisaetus cirrhatus
તમલુક	Tamluk
લેધરબેક કાચબો	Dermochelys coriacea
ભીમસેન જોશી	Bhimsen Joshi
અલિસિયા કીઝ	Alicia Keys
ગર્ભનિરોધ	Método anticonceptivo
ગીધ	Buitre
ગોલ્ડફિશ	Carassius auratus
વેનેસા હજિન્સ	Vanessa Hudgens
વિલુપ્ત જાતિ	Extinción
અવાજની ઝડપ	Velocidad del sonido
ઝકાત	Azaque
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
સ્કોર્પિયન્સ (બેન્ડ)	Scorpions
અંગોલાનો રાષ્ટ્રધ્વજ	Bandera de Angola
મીણ	Cera
સ્લમડોગ મિલિયોનેર	Slumdog Millionaire
અવાક	Nycticorax nycticorax
ઈરાનનો રાષ્ટ્રધ્વજ	Bandera de Irán
સગર્ભાવસ્થા દરમિયાન ડાયાબિટીસ	Diabetes mellitus gestacional
આંગણવાડી	Educación preescolar
ઍરોસ્મિથ	Aerosmith
મેંગલોર	Mangalore
ઝેક ગણરાજ્યનો રાષ્ટ્રધ્વજ	Bandera de la República Checa
બાંગ્લાદેશનો રાષ્ટ્રધ્વજ	Bandera de Bangladés
બહાદુર શાહ ઝફર	Bahadur Shah II
સંત રવિદાસ નગર જિલ્લો	Distrito de Sant Ravidas Nagar
સમઘટકતા	Isomería
ચરબી	Grasa
શિયાળ	Canis aureus
ઇન્દ્ર	Indra
ભારતના ભાગલા	Partición de la India
ગ્રીસનો રાષ્ટ્રધ્વજ	Bandera de Grecia
મિથુન રાશી	Géminis (astrología)
હ્યુજ જેકમેન	Hugh Jackman
યતી (હિમ માનવ)	Yeti
૧૮૫૭નો ભારતીય વિપ્લવ	Rebelión en la India de 1857
જ્યોર્જ માઇકલ	George Michael
જાપાનનો ઇતિહાસ	Historia de Japón
ઇજિપ્તનો રાષ્ટ્રધ્વજ	Bandera de Egipto
બહેરીનનો રાષ્ટ્રધ્વજ	Bandera de Baréin
આર્જેન્ટીનાનો રાષ્ટ્રધ્વજ	Bandera de la Argentina
અન્ના કુર્નિકોવા	Anna Kournikova
વાયુનું પ્રદૂષણ	Contaminación atmosférica
ચીનનો રાષ્ટ્રધ્વજ	Bandera de la República Popular China
શરીર વજન અનુક્રમ	Índice de masa corporal
અક્ષય વિકાસ	Desarrollo sostenible
સૌંદર્ય પ્રસાધનો	Cosmético
મસુર	Lens culinaris
લક્ષ્મી	Laksmí
વિદ્યુતજનીન	Generador eléctrico
એસોટેરિક (અમુક વ્યક્તિઓ જ સમજી શકે તેવું)	Esoterismo
મંત્ર	Mantra
બૂમરેંગ	Búmeran
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	Estados y territorios de la India
ઉચિત વપરાશ	Fair use
વાડી	Granja
જંતુનાશક	Plaguicida
રબર	Hule
કાલિ	Kali
સાનિયા મિર્ઝા	Sania Mirza
ઉત્સવ	Festival
આયુર્વેદ	Ayurveda
અમર્ત્ય સેન	Amartya Sen
રિસાયક્લિંગ	Reciclaje
જંગલી કૂતરો	Cuon alpinus
જીરું	Cuminum cyminum
બેલારુસનો રાષ્ટ્રધ્વજ	Bandera de Bielorrusia
યમુના	Río Yamuna
ડિસ્લેક્સીયા	Dislexia
ક્રોએશિયાનો રાષ્ટ્રધ્વજ	Bandera de Croacia
પગ	Pata
ભારતનો ઇતિહાસ	Historia de la India
અંધવિશ્વાસ	Superstición
મેથી	Trigonella foenum-graecum
કસિનો	Casino de juego
કમળો	Ictericia
મરકી	Peste
આધાસિસિ બિમારિ	Migraña
લોબાન	Boswellia sacra
વાઇમેક્સ (WiMAX)	WiMAX
પ્રાથમિક સારવાર	Primeros auxilios
લિંગ ઉત્થાન	Erección
હીમોફીલિયા	Hemofilia
કન્યા રાશી	Virgo (astrología)
માઇક્રોસોફ્ટ વિઝ્યુઅલ સ્ટુડિયો	Microsoft Visual Studio
રચેલ વેઇઝ	Rachel Weisz
તુલા રાશી	Libra (astrología)
વૃશ્ચિક રાશી	Escorpio (astrología)
તાઓ તે ચીંગ	Dào Dé Jing
ગેમ્બિયાનો રાષ્ટ્રધ્વજ	Bandera de Gambia
એન્ટિગુઆ એન્ડ બાર્બુડાનો રાષ્ટ્રધ્વજ	Bandera de Antigua y Barbuda
સપ્તપર્ણી	Alstonia scholaris
ગૂગલ અનુવાદ	Google Translate
ઝીપ કોડ	Código ZIP
ચિત્રલિપિ	Ideograma
અંકશાસ્ત્ર	Numerología
દાંતનું ચોકઠું	Prótesis dental
સૂર્યવંશી	Dinastía solar (hinduismo)
વિકિપીડિયા:સ્ટબ	Topología de red
સાર્ક	Asociación Sudasiática para la Cooperación Regional
કઠોળ	Legumbre
પર્યાવરણીય ઇજનેરી	Ingeniería ambiental
બ્રાન્ડી	Brandy
ઘાબાજરીયુ	Typha angustifolia
ગુરદાસપુર જિલ્લો	Distrito de Gurdaspur
હાઉ આઇ મેટ યોર મધર	How I Met Your Mother
હોર્નેડ ગુઆન	Oreophasis derbianus
કાજોલ	Kajol
સુબ્રમણ્યન ચંદ્રશેખર	Subrahmanyan Chandrasekhar
કબડ્ડી	Kabaddi
પેટ બ્યુકેનન	Pat Buchanan
જિલ્લો	Distrito
ચોલ સામ્રાજ્ય	Dinastía Chola
સૂરણ	Amorphophallus paeoniifolius
મદદ:સંપાદન	Ayuda:Cómo se edita una página
પાન્ડુ શામા	Monticola solitarius
ટાટા નેનો	Tata Nano
લાઇફ ઓફ પાઇ	Life of Pi (película)
ઇમરાન ખાન	Imran Khan
ઉઝી	Uzi
કરેણ	Nerium oleander
દિવેલી	Ricinus communis
એમ.પી.૫	Heckler & Koch MP5
આઝાદ હિંદ ફોજ	Ejército Nacional Indio
રજકો	Medicago sativa
પેન્શન	Pensión
એકેએસ-૭૪યુ	AK-74
મન્ના ડે	Manna Dey
લતા મંગેશકર	Lata Mangeshkar
