Aprika	África
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado (Soria)
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Velilla de la Sierra	Velilla de la Sierra
Valdemaluque	Valdemaluque
San Felices	San Felices (Soria)
Renieblas	Renieblas
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos (Soria)	Vizmanos
Tejado	Tejado (Soria)
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza (Soria)
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda (Soria)
Tajahuerce	Tajahuerce
Santa María de las Hoyas	Santa María de las Hoyas
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
Gómara, Soria	Gómara
Barca, Soria	Barca (Soria)
Niu Ailan	Provincia de Nueva Irlanda
Kinsale	Kinsale
Cihuela	Cihuela
Trabadelo	Trabadelo
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Río Sepik
Westen Provins	Provincia Occidental (Papúa Nueva Guinea)
Sauten Hailans	Tierras Altas del Sur (Papúa Nueva Guinea)
Westen Hailans	Tierras Altas Occidentales (Papúa Nueva Guinea)
Isten Hailans	Tierras Altas Orientales (Papúa Nueva Guinea)
Morobe	Morobe
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga
Manus	Provincia de Manus
Sentral Provins	Provincia Central (Papúa Nueva Guinea)
Milen Be	Provincia de Milne Bay
Gulf Provins	Provincia del Golfo
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Val de San Lorenzo	Val de San Lorenzo
Villaquilambre	Villaquilambre
Valdemora	Valdemora
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Nebreda (Burgos)	Nebreda
Paul L. Smith	Paul L. Smith
Galbarros (Burgos)	Galbarros
Tony Ramos	Tony Ramos
Riego de la Vega	Riego de la Vega
Benuza	Benuza
Villamanín	Villamanín
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano
Hinojosa del Campo	Hinojosa del Campo
Budka Suflera	Budka Suflera
Kavieng	Kavieng
Popondetta	Popondetta
Wewak	Wewak
Tabubil	Tabubil
Rello	Rello
Casey Kasem	Casey Kasem
Rebollar	Rebollar (Soria)
Garray	Garray
Iglesias (Burgos)	Iglesias (España)
Plak bilong Ista Ailan	Bandera de Isla de Pascua
Bembibre	Bembibre
Ples balus	Aeropuerto
Lamington (maunten)	Monte Lamington
Nesenel Kapitol Distrik	Distrito Capital Nacional (Papúa Nueva Guinea)
Cármenes	Cármenes
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Grup:Siamani	Categoría:Alemania
Grup:Itali	Categoría:Italia
Grup:Ol Yunaitet Stet	Categoría:Estados Unidos
Grup:Kanada	Categoría:Canadá
Grup:Yunaitet Kingdom	Categoría:Reino Unido
Grup:Spen	Categoría:España
Grup:Siapan	Categoría:Japón
Grup:Ostrelia	Categoría:Australia
Grup:India	Categoría:India
Grup:Isrel	Categoría:Israel
Grup:Ijip	Categoría:Egipto
Grup:Niu Silan	Categoría:Nueva Zelanda
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Grup:Indonisia	Categoría:Indonesia
Grup:Irak	Categoría:Irak
Grup:Polan	Categoría:Polonia
Grup:Saut Koria	Categoría:Corea del Sur
Grup:Tailan	Categoría:Tailandia
Grup:Yukren	Categoría:Ucrania
Grup:Vietnam	Categoría:Vietnam
Grup:Ol pisin	Categoría:Aves
Grup:Ol Sayor	Categoría:Plantae
Grup:Save long Laip	Categoría:Biología
Grup:Kemistri	Categoría:Química
Grup:Histori	Categoría:Historia
Grup:Save long giraun	Categoría:Geografía
Grup:Sosaiti	Categoría:Sociedad
Grup:Lotu	Categoría:Religión
Grup:Saiens	Categoría:Ciencia
Grup:Giraun	Categoría:Tierra
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza (León)
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañán
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Zazuar (Burgos)	Zazuar
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Zael (Burgos)	Zael
Lerma (Burgos)	Lerma (España)
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda (León)
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego (León)
Oencia	Oencia
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Escobar de Campos	Escobar de Campos
Destriana	Destriana
Villagatón	Villagatón
Laguna Dalga	Laguna Dalga
Iglesiarrubia (Burgos)	Iglesiarrubia
Gumiel de Izán (Burgos)	Gumiel de Izán
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
La Gallega (Burgos)	La Gallega (Burgos)
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Oseja de Sajambre	Oseja de Sajambre
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes
Benavides	Benavides
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo (León)
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Balboa (León)	Balboa (León)
Riaño	Riaño (León)
Villadecanes	Villadecanes
Truchas	Truchas (León)
Regina Duarte	Regina Duarte
Grup:Ol pes bilong kliaim ol link	Categoría:Wikipedia:Desambiguación
Grup:Pilosopi	Categoría:Filosofía
Grup:Saikolosi	Categoría:Psicología
Grup:Budisim	Categoría:Budismo
Grup:Kristen	Categoría:Cristianismo
Grup:Islam	Categoría:Islam
Isar (Burgos)	Isar
Pangu Pati	Partido Pangu
Histori long Papua Niugini	Historia de Papúa Nueva Guinea
Benedicta Boccoli	Benedicta Boccoli
Spencer Fox	Spencer Fox
Carolina Ferraz	Carolina Ferraz
Thiago Lacerda	Thiago Lacerda
Walt Dohrn	Walt Dohrn
Conrad Bain	Conrad Bain
Angélica	Angélica (presentadora)
Grup:Ol planet	Categoría:Planetas
Grup:Kontinen	Categoría:Continentes
Renata Sorrah	Renata Sorrah
Templet:Footer SolarSystem	Plantilla:Sistema Solar
Buna	Buna (Papúa Nueva Guinea)
Templet:T	Plantilla:Ep
Templet:Babel bokis	Usuario:Userbox/Userbox
Alarcia	Alarcia
Susan Egan	Susan Egan
Templet:Wikipediatokples	Plantilla:Portada:Idiomas
Grup:Ol kantri	Categoría:Países
Grup:Ekonomikis	Categoría:Economía
Wikipedia:Administrators	Wikipedia:Bibliotecarios
Grup:Manmeri	Categoría:Personas
Wikipedia:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
Grup:Politikis	Categoría:Política
Grup:Saiens bilong ai	Categoría:Óptica
Ijip	Egipto
Templet:Bot	Plantilla:Bot
Kanada	Canadá
Grup:Hangari	Categoría:Hungría
Grup:Estonia	Categoría:Estonia
Grup:Gris	Categoría:Grecia
Grup:Latvia	Categoría:Letonia
Grup:Aislan	Categoría:Islandia
Grup:Lituwenia	Categoría:Lituania
Grup:Slovakia	Categoría:Eslovaquia
Wikipedia:Copyrights	Wikipedia:Derechos de autor
Templet:Flagicon	Plantilla:Bandera
Grup:Ol kantri long Yurop	Categoría:Países de Europa
Grup:Yurop	Categoría:Europa
Templet:Template doc	Plantilla:Documentación
Grup:Yusa tokples	Categoría:Wikipedia:Wikipedistas por idioma
Wikipedia:Faipela lo	Wikipedia:Los cinco pilares
Sung Jae-gi	Sung Jae-ki
Templet:Softredirect	Plantilla:Redirección suave
Templet:Delete	Plantilla:Destruir
Grup:Ol tokples	Categoría:Lenguas
Grup:Grama	Categoría:Gramática
Solija	Soldado
Grup:Ol siti na taun bilong kantri	Categoría:Asentamientos por país
Templet:Navbox	Plantilla:Navegación
Bikpela magani	Canguro
Templet:Shortcut	Plantilla:Atajos
Templet:!	Plantilla:!
Templet:!-	Plantilla:!-
Templet:!!	Plantilla:!!
Templet:Tnavbar	Plantilla:Navbar
Templet:Loop	Plantilla:Loop
Templet:Unicode	Plantilla:Unicode
Templet:Okina	Plantilla:Okina
Templet:Small	Plantilla:Small
Templet:Clear	Plantilla:Clear
Templet:Color	Plantilla:Color
Templet:Nowrap	Plantilla:Nowrap
Templet:Anchor	Plantilla:Ancla
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipedia:Lista de artículos que toda Wikipedia debería tener
Grup:Elektroniks	Categoría:Electrónica
Templet:Babel	Plantilla:Babel
Templet:Commons	Plantilla:Commons
Templet:Link GA	Plantilla:Bueno
Templet:Reflist	Plantilla:Listaref
Templet:Stub	Plantilla:Esbozo
Templet:See also	Plantilla:VT
Grup:Laip	Categoría:Vida
Templet:Unsigned	Plantilla:No firmado
Templet:Country data Tajikistan	Plantilla:Geodatos Tayikistán
Grup:Azerbaijan	Categoría:Azerbaiyán
Grup:Esia	Categoría:Asia
Grup:Soria provins	Categoría:Provincia de Soria
Grup:Castile na León	Categoría:Castilla y León
Templet:Country data Kuwait	Plantilla:Geodatos Kuwait
Templet:ISO639-3 documentation	Plantilla:Doc ISO3
Templet:Ref-ru	Plantilla:Ru
Templet:WikipediaSista	Plantilla:Portada:Proyectos
Templet:Country data Belgium	Plantilla:Geodatos Bélgica
Templet:Country data Slovakia	Plantilla:Geodatos Eslovaquia
Templet:Country data El Salvador	Plantilla:Geodatos El Salvador
Templet:Country data Panama	Plantilla:Geodatos Panamá
Templet:Navy/core	Plantilla:Banderanavalpaís
Templet:Country data Tunisia	Plantilla:Geodatos Túnez
Templet:Country data Czech Republic	Plantilla:Geodatos República Checa
Templet:Country data Cuba	Plantilla:Geodatos Cuba
Templet:Country data Indonesia	Plantilla:Geodatos Indonesia
Templet:Country data Senegal	Plantilla:Geodatos Senegal
Templet:Country data Madagascar	Plantilla:Geodatos Madagascar
Templet:Country data Albania	Plantilla:Geodatos Albania
Templet:Country data Macau	Plantilla:Geodatos Macao
Templet:Country data Kenya	Plantilla:Geodatos Kenia
Templet:Country data Republic of China	Plantilla:Geodatos República de China
Templet:Country data Nicaragua	Plantilla:Geodatos Nicaragua
Templet:Country data Honduras	Plantilla:Geodatos Honduras
Templet:Country data Uzbekistan	Plantilla:Geodatos Uzbekistán
Templet:Country data Dominican Republic	Plantilla:Geodatos República Dominicana
Templet:Country data Togo	Plantilla:Geodatos Togo
Templet:Country data Guatemala	Plantilla:Geodatos Guatemala
Grup:Lingwistikis	Categoría:Lingüística
Templet:Country data Haiti	Plantilla:Geodatos Haití
Templet:Ol mun na de bilong yia	Plantilla:Mes
Templet:Country data Mali	Plantilla:Geodatos Malí
Templet:Country data Iceland	Plantilla:Geodatos Islandia
Templet:Country data Poland	Plantilla:Geodatos Polonia
Templet:ITA	Plantilla:ITA
Templet:Country data Bulgaria	Plantilla:Geodatos Bulgaria
Templet:Country data Bosnia and Herzegovina	Plantilla:Geodatos Bosnia y Herzegovina
Grup:Yusa fr-1	Categoría:Wikipedia:Wikipedistas con nivel básico de francés
Templet:Country data Norway	Plantilla:Geodatos Noruega
Templet:Country data South Africa	Plantilla:Geodatos Sudáfrica
Templet:Country showdata	Plantilla:Mostrar geodatos
Templet:Country data Trinidad and Tobago	Plantilla:Geodatos Trinidad y Tobago
Templet:Country data Sri Lanka	Plantilla:Geodatos Sri Lanka
Templet:Country data Mexico	Plantilla:Geodatos México
Templet:Country data Greece	Plantilla:Geodatos Grecia
Templet:Country data Luxembourg	Plantilla:Geodatos Luxemburgo
Templet:Country data Saudi Arabia	Plantilla:Geodatos Arabia Saudita
Templet:Country data Croatia	Plantilla:Geodatos Croacia
Templet:Country data United Arab Emirates	Plantilla:Geodatos Emiratos Árabes Unidos
Templet:Country data U.S. Virgin Islands	Plantilla:Geodatos Islas Vírgenes de los Estados Unidos
Templet:Country data Morocco	Plantilla:Geodatos Marruecos
Templet:Collapsible list	Plantilla:Lista desplegable
Templet:Country data Ostrelia	Plantilla:Geodatos Australia
Templet:Country data France	Plantilla:Geodatos Francia
Templet:Ambox	Plantilla:Metaplantilla de avisos
Templet:Fossil range/bar	Plantilla:Rango fósil/barra
Templet:Steady	Plantilla:Estable
Templet:Infobokis Kantri	Plantilla:Ficha de país
Templet:Country data Laos	Plantilla:Geodatos Laos
Templet:Str left	Plantilla:Str left
Templet:Country data Nepal	Plantilla:Geodatos Nepal
Templet:Country data Finland	Plantilla:Geodatos Finlandia
Templet:Country data Japan	Plantilla:Geodatos Japón
Templet:Country data Netherlands	Plantilla:Geodatos Países Bajos
Templet:Cite journal	Plantilla:Cita publicación
Templet:Country data Azerbaijan	Plantilla:Geodatos Azerbaiyán
Templet:Country data Libya	Plantilla:Geodatos Libia
Grup:Yusa en-4	Categoría:Wikipedia:Wikipedistas con nivel experto de inglés
Grup:Yusa en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
Grup:Yusa en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
Templet:Infobokis	Plantilla:Ficha
Templet:Navy	Plantilla:Naval
Templet:Legend	Plantilla:Leyenda
Templet:Country data Italy	Plantilla:Geodatos Italia
Templet:Kantri data	Plantilla:Geodatos
Templet:·	Plantilla:,
Templet:Wiktionary	Plantilla:Wikcionario
Templet:Country data Sweden	Plantilla:Geodatos Suecia
Templet:Ref-lang	Plantilla:En idioma
Grup:Egrikalsa	Categoría:Agricultura
Templet:IPA	Plantilla:AFI
Grup:Ol planet bilong Sola Sistem	Categoría:Planetas del Sistema Solar
Templet:Country data Costa Rica	Plantilla:Geodatos Costa Rica
Templet:Country data India	Plantilla:Geodatos India
Grup:Language user templates	Categoría:Wikipedia:Plantillas Babel
Templet:Toktok bilong nem	Plantilla:LangWithName
Templet:Babel bokis-N	Plantilla:BabelN
Templet:Babel bokis-1	Plantilla:Babel1
Templet:MONTHNAME	Plantilla:Nombre mes
Wikipedia:Buk Bilong GFDL	Wikipedia:Texto de la Licencia de documentación libre de GNU
Templet:Country data European Union	Plantilla:Geodatos Unión Europea
Templet:Country data Portugal	Plantilla:Geodatos Portugal
Templet:MONTHNUMBER	Plantilla:Número mes
Templet:Taxobox colour	Plantilla:Ficha de taxón/colores
Grup:Kantri data bilong ol plak templet	Categoría:Wikipedia:Plantillas de geodatos
Templet:Namespace detect	Plantilla:Detecta espacio de nombres
Templet:Country data China	Plantilla:Geodatos China
Templet:Country data Inglan	Plantilla:Geodatos Inglaterra
Templet:Country data Turkey	Plantilla:Geodatos Turquía
Templet:Country data Switzerland	Plantilla:Geodatos Suiza
Templet:Tok-cs	Plantilla:Lang-cs
Templet:Country data Philippines	Plantilla:Geodatos Filipinas
Templet:Country data Malaysia	Plantilla:Geodatos Malasia
Templet:Country data Zimbabwe	Plantilla:Geodatos Zimbabue
Templet:Infobokis Plak	Plantilla:Ficha de bandera
Grup:Politikis long kontinen	Categoría:Política por continente
Templet:Ethnologue	Plantilla:Ethnologue
Templet:Infobokis Websait	Plantilla:Ficha de sitio web
Templet:SCO	Plantilla:SCT
Templet:Documentation subpage	Plantilla:Subpágina de documentación
Templet:POL	Plantilla:POL
Templet:Tok-de	Plantilla:Lang-de
Templet:Tok-la	Plantilla:Lang-la
Templet:Country flag2	Plantilla:Bandera icono-país
Templet:Harim stori	Plantilla:Wikipedia grabada
Templet:Unreferenced	Plantilla:Referencias
Templet:Babel bokis-4	Plantilla:Babel4
Templet:Year nav	Plantilla:Año
Grup:Ples balus long Vietnam	Categoría:Aeropuertos de Vietnam
Templet:Emergency-bot-shutoff	Plantilla:Paro de emergencia del bot
Templet:Prettytable	Plantilla:Tabla bonita
Templet:Infobokis kantri bilong bipo	Plantilla:Ficha de estado desaparecido
Templet:Redirect	Plantilla:Redirige aquí
Templet:Age in days	Plantilla:Edad en días
Templet:JULIANDAY	Plantilla:JULIANDAY
Templet:UNO	Plantilla:ONU
Templet:Infobokis Kontinen	Plantilla:Ficha de territorio
Templet:Nobold	Plantilla:Sin negrita
Grup:Yusa ja-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de japonés
Templet:Tok-ru	Plantilla:Lang-ru
Templet:Br separated entries	Plantilla:Br separated entries
Templet:FebrueriKalendar	Plantilla:Febrero
Templet:Disambig	Plantilla:Desambiguación
Templet:Country data Hong Kong	Plantilla:Geodatos Hong Kong
Grup:Niuspepa	Categoría:Periódicos
Templet:Para	Plantilla:Parámetro
Templet:Tok-en	Plantilla:Lang-en
Templet:Babel bokis-3	Plantilla:Babel3
Templet:Mp	Plantilla:Mp
Grup:Ol taun	Categoría:Villas
Templet:Country data Qatar	Plantilla:Geodatos Catar
Templet:Ref-de	Plantilla:De
Templet:Geological range	Plantilla:Rango fósil
Templet:Country data Israel	Plantilla:Geodatos Israel
Templet:Nts	Plantilla:Nts
Templet:Country data Pakistan	Plantilla:Geodatos Pakistán
Templet:Country data Ghana	Plantilla:Geodatos Ghana
Templet:Country data Romania	Plantilla:Geodatos Rumania
Templet:Country data South Korea	Plantilla:Geodatos Corea del Sur
Templet:Convert	Plantilla:Convertir
Templet:InterWiki	Plantilla:InterWiki
Templet:FranPesolIntawiki	Plantilla:Portada:Interwikis
Templet:Coord	Plantilla:Coord
Grup:Yusa sk	Categoría:Wikipedia:Wikipedistas con conocimientos de eslovaco
Grup:Yusa eo	Categoría:Wikipedia:Wikipedistas con conocimientos de esperanto
Grup:Yusa fr	Categoría:Wikipedia:Wikipedistas con conocimientos de francés
Grup:Yusa hu-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de húngaro
Grup:Yusa ja	Categoría:Wikipedia:Wikipedistas con conocimientos de japonés
Grup:Yusa th	Categoría:Wikipedia:Wikipedistas con conocimientos de tailandés
Grup:Yusa fr-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de francés
Grup:Yusa ja-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de japonés
Grup:Yusa pl-1	Categoría:Wikipedia:Wikipedistas con nivel básico de polaco
Grup:Yusa hu-4	Categoría:Wikipedia:Wikipedistas con nivel experto de húngaro
Grup:Yusa fr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de francés
Grup:Yusa hu-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de húngaro
Grup:Yusa it-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de italiano
Grup:Yusa ja-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de japonés
Grup:Yusa fr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de francés
Grup:Yusa ru-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de ruso
Grup:Ol kapitol bilong Osenia	Categoría:Capitales de Oceanía
Grup:Quang Binh provins	Categoría:Quang Binh
Grup:Yusa sk-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de eslovaco
Grup:Yusa de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
Grup:Yusa de-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de alemán
Grup:Yusa de-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de alemán
Grup:Yusa de-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de alemán
Grup:Yusa el	Categoría:Wikipedia:Wikipedistas con conocimientos de griego antiguo
Grup:Yusa en-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de inglés
Grup:Yusa en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
Grup:Yusa eo-1	Categoría:Wikipedia:Wikipedistas con nivel básico de esperanto
Grup:Yusa es	Categoría:Wikipedia:Wikipedistas con conocimientos de español
Grup:Yusa es-1	Categoría:Wikipedia:Wikipedistas con nivel básico de español
Grup:Yusa hu	Categoría:Wikipedia:Wikipedistas con conocimientos de húngaro
Grup:Politikis long kantri	Categoría:Política por país
Templet:Country data Germany	Plantilla:Geodatos Alemania
Templet:Country data United Kingdom	Plantilla:Geodatos Reino Unido
Templet:Country data Skotlan	Plantilla:Geodatos Escocia
Grup:Yusa it	Categoría:Wikipedia:Wikipedistas con conocimientos de italiano
Grup:Yusa it-1	Categoría:Wikipedia:Wikipedistas con nivel básico de italiano
Grup:Yusa ja-1	Categoría:Wikipedia:Wikipedistas con nivel básico de japonés
Grup:Ol stet bilong Ol Yunaitet Stet	Categoría:Estados de Estados Unidos
Grup:Ol provins bilong Vietnam	Categoría:Provincias de Vietnam
Templet:Tantok	Plantilla:Traducción
Grup:Ol provins bilong Papua Niugini	Categoría:Provincias de Papúa Nueva Guinea
Grup:Lukluk bilong manmeri	Categoría:Visión
Grup:Yusa ru-1	Categoría:Wikipedia:Wikipedistas con nivel básico de ruso
Wikipedia:Babel	Wikipedia:Babel
Templet:Tdeprecated	Plantilla:Plantilla en desuso
Templet:Babel bokis-2	Plantilla:Babel2
Templet:MoS-guideline	Plantilla:Manual de estilo
Templet:Country data Brazil	Plantilla:Geodatos Brasil
Grup:7	Categoría:7
Grup:Paradisaeidae	Categoría:Paradisaeidae
Grup:Saiens long Manmeri na Ples	Categoría:Ciencias sociales
Templet:Country data Hungary	Plantilla:Geodatos Hungría
Grup:Ol tokples bilong Esia	Categoría:Lenguas de Asia
Grup:Ol kantri long Aprika	Categoría:Países de África
Templet:JanueriKalendar	Plantilla:Enero
Grup:Yusa ru	Categoría:Wikipedia:Wikipedistas con conocimientos de ruso
Grup:Yusa ru-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de ruso
Grup:Yusa ru-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de ruso
Grup:Yusa ru-4	Categoría:Wikipedia:Wikipedistas con nivel experto de ruso
Templet:Ref-en	Plantilla:En
Templet:Spaces	Plantilla:Spaces
Templet:Lang	Plantilla:Lang
Templet:Nowrap end	Plantilla:Nowrap end
Grup:Vemont	Categoría:Vermont
Grup:Kolorado	Categoría:Colorado
Templet:Fossil range/marker	Plantilla:Rango fósil/marcador
Templet:Spa	Plantilla:Cpu
Templet:ENG	Plantilla:ENG
Templet:Merge	Plantilla:Fusionar
Grup:Politikis long PNG	Categoría:Política de Papúa Nueva Guinea
Templet:Infobokis Tokples/family-color	Plantilla:Ficha de idioma/colores
Grup:Ubuntu	Categoría:Ubuntu
Grup:Manmeri bilong Belaras	Categoría:Bielorrusos
Grup:Manmeri bilong Papua Niugini	Categoría:Papuanos
Templet:Country data Kosovo	Plantilla:Geodatos Kosovo
Templet:Country data Aruba	Plantilla:Geodatos Aruba
Grup:User no	Categoría:Wikipedia:Wikipedistas con conocimientos de noruego
Grup:Armenia	Categoría:Armenia
Grup:Bhutan	Categoría:Bután
Templet:Country data Antigua and Barbuda	Plantilla:Geodatos Antigua y Barbuda
Grup:Ples balus	Categoría:Aeropuertos
Grup:Ol nesenel plak	Categoría:Banderas nacionales
Grup:Ol pisin long kain	Categoría:Clasificación de las aves
Grup:Not Koria	Categoría:Corea del Norte
Grup:Manmeri bilong Nauru	Categoría:Nauruanos
Grup:Manmeri bilong Ostrelia	Categoría:Australianos
Grup:Vanuatu	Categoría:Vanuatu
Grup:Korea	Categoría:Corea
Templet:ISO 639 name	Plantilla:Obtener idioma
Templet:Country data Wels	Plantilla:Geodatos Gales
Templet:Country data Papua Niugini	Plantilla:Geodatos Papúa Nueva Guinea
Grup:Papua Niugini	Categoría:Papúa Nueva Guinea
Grup:Ol kantri long Pasifik	Categoría:Países de Oceanía
Grup:Ol kantri long Not Amerika	Categoría:Países de América del Norte
Grup:Ol tokples bilong Yurop	Categoría:Lenguas de Europa
Grup:Ol maunten bilong Papua Niugini	Categoría:Montañas de Papúa Nueva Guinea
Templet:Incubator	Plantilla:Incubator
