አፍሪቃ	África
ግመል	Camelus
ጡት አጥቢ	Mammalia
ጉንዳን	Formicidae
ንብ	Anthophila
ሆላንድኛ	Idioma neerlandés
ማርጋሬት ታቸር	Margaret Thatcher
ዲ ኤን ኤ	Ácido desoxirribonucleico
አበባ ጎመን	Brassica oleracea var. botrytis
1828 እ.ኤ.አ.	1828
1829 እ.ኤ.አ.	1829
1741 እ.ኤ.አ.	1741
1662 እ.ኤ.አ.	1662
1742 እ.ኤ.አ.	1742
1830 እ.ኤ.አ.	1830
1663 እ.ኤ.አ.	1663
1831 እ.ኤ.አ.	1831
1743 እ.ኤ.አ.	1743
1664 እ.ኤ.አ.	1664
1665 እ.ኤ.አ.	1665
1744 እ.ኤ.አ.	1744
1832 እ.ኤ.አ.	1832
1666 እ.ኤ.አ.	1666
1745 እ.ኤ.አ.	1745
1833 እ.ኤ.አ.	1833
1667 እ.ኤ.አ.	1667
1746 እ.ኤ.አ.	1746
ማጓጓዝ	Transporte
1834 እ.ኤ.አ.	1834
1668 እ.ኤ.አ.	1668
1747 እ.ኤ.አ.	1747
1835 እ.ኤ.አ.	1835
1748 እ.ኤ.አ.	1748
1836 እ.ኤ.አ.	1836
1669 እ.ኤ.አ.	1669
ሌዮናርድ ኦይለር	Leonhard Euler
1670 እ.ኤ.አ.	1670
1749 እ.ኤ.አ.	1749
1837 እ.ኤ.አ.	1837
1671 እ.ኤ.አ.	1671
1750 እ.ኤ.አ.	1750
1838 እ.ኤ.አ.	1838
1672 እ.ኤ.አ.	1672
1751 እ.ኤ.አ.	1751
1839 እ.ኤ.አ.	1839
1673 እ.ኤ.አ.	1673
1752 እ.ኤ.አ.	1752
1840 እ.ኤ.አ.	1840
1674 እ.ኤ.አ.	1674
1753 እ.ኤ.አ.	1753
1841 እ.ኤ.አ.	1841
1754 እ.ኤ.አ.	1754
1675 እ.ኤ.አ.	1675
1842 እ.ኤ.አ.	1842
1755 እ.ኤ.አ.	1755
1676 እ.ኤ.አ.	1676
1843 እ.ኤ.አ.	1843
1677 እ.ኤ.አ.	1677
1756 እ.ኤ.አ.	1756
1844 እ.ኤ.አ.	1844
1678 እ.ኤ.አ.	1678
1757 እ.ኤ.አ.	1757
1845 እ.ኤ.አ.	1845
1679 እ.ኤ.አ.	1679
1758 እ.ኤ.አ.	1758
1846 እ.ኤ.አ.	1846
1680 እ.ኤ.አ.	1680
1759 እ.ኤ.አ.	1759
1847 እ.ኤ.አ.	1847
1681 እ.ኤ.አ.	1681
1760 እ.ኤ.አ.	1760
1848 እ.ኤ.አ.	1848
1682 እ.ኤ.አ.	1682
1761 እ.ኤ.አ.	1761
1849 እ.ኤ.አ.	1849
1683 እ.ኤ.አ.	1683
1762 እ.ኤ.አ.	1762
1850 እ.ኤ.አ.	1850
1684 እ.ኤ.አ.	1684
1763 እ.ኤ.አ.	1763
1851 እ.ኤ.አ.	1851
1764 እ.ኤ.አ.	1764
1685 እ.ኤ.አ.	1685
1852 እ.ኤ.አ.	1852
1686 እ.ኤ.አ.	1686
1765 እ.ኤ.አ.	1765
1853 እ.ኤ.አ.	1853
1687 እ.ኤ.አ.	1687
1766 እ.ኤ.አ.	1766
1854 እ.ኤ.አ.	1854
1688 እ.ኤ.አ.	1688
1767 እ.ኤ.አ.	1767
1855 እ.ኤ.አ.	1855
1689 እ.ኤ.አ.	1689
1768 እ.ኤ.አ.	1768
1856 እ.ኤ.አ.	1856
1690 እ.ኤ.አ.	1690
1769 እ.ኤ.አ.	1769
1857 እ.ኤ.አ.	1857
1691 እ.ኤ.አ.	1691
1770 እ.ኤ.አ.	1770
1858 እ.ኤ.አ.	1858
1692 እ.ኤ.አ.	1692
1771 እ.ኤ.አ.	1771
1859 እ.ኤ.አ.	1859
1693 እ.ኤ.አ.	1693
1772 እ.ኤ.አ.	1772
1860 እ.ኤ.አ.	1860
1773 እ.ኤ.አ.	1773
1861 እ.ኤ.አ.	1861
1694 እ.ኤ.አ.	1694
1695 እ.ኤ.አ.	1695
1774 እ.ኤ.አ.	1774
1862 እ.ኤ.አ.	1862
1696 እ.ኤ.አ.	1696
1775 እ.ኤ.አ.	1775
1863 እ.ኤ.አ.	1863
1697 እ.ኤ.አ.	1697
1776 እ.ኤ.አ.	1776
1864 እ.ኤ.አ.	1864
1698 እ.ኤ.አ.	1698
1865 እ.ኤ.አ.	1865
1777 እ.ኤ.አ.	1777
1699 እ.ኤ.አ.	1699
1866 እ.ኤ.አ.	1866
1778 እ.ኤ.አ.	1778
1779 እ.ኤ.አ.	1779
1867 እ.ኤ.አ.	1867
1780 እ.ኤ.አ.	1780
1868 እ.ኤ.አ.	1868
1781 እ.ኤ.አ.	1781
1869 እ.ኤ.አ.	1869
ናፖሌኦን 3ኛ	Napoleón III Bonaparte
መስኮብኛ	Idioma ruso
1782 እ.ኤ.አ.	1782
1870 እ.ኤ.አ.	1870
1783 እ.ኤ.አ.	1783
1871 እ.ኤ.አ.	1871
ቭላዲሚር ፑቲን	Vladímir Putin
ሕግ	Derecho
1784 እ.ኤ.አ.	1784
1872 እ.ኤ.አ.	1872
ሕገ መንግሥት	Constitución
1785 እ.ኤ.አ.	1785
1873 እ.ኤ.አ.	1873
1786 እ.ኤ.አ.	1786
1874 እ.ኤ.አ.	1874
1787 እ.ኤ.አ.	1787
1875 እ.ኤ.አ.	1875
1788 እ.ኤ.አ.	1788
1876 እ.ኤ.አ.	1876
1789 እ.ኤ.አ.	1789
1877 እ.ኤ.አ.	1877
1790 እ.ኤ.አ.	1790
1878 እ.ኤ.አ.	1878
1879 እ.ኤ.አ.	1879
1791 እ.ኤ.አ.	1791
1792 እ.ኤ.አ.	1792
1880 እ.ኤ.አ.	1880
1793 እ.ኤ.አ.	1793
1881 እ.ኤ.አ.	1881
1794 እ.ኤ.አ.	1794
1882 እ.ኤ.አ.	1882
«የሰብዓዊ መብት አቀፋዊ መግለጽ»	Declaración Universal de los Derechos Humanos
1795 እ.ኤ.አ.	1795
1883 እ.ኤ.አ.	1883
1796 እ.ኤ.አ.	1796
1884 እ.ኤ.አ.	1884
1797 እ.ኤ.አ.	1797
1885 እ.ኤ.አ.	1885
1886 እ.ኤ.አ.	1886
1798 እ.ኤ.አ.	1798
1887 እ.ኤ.አ.	1887
1799 እ.ኤ.አ.	1799
1888 እ.ኤ.አ.	1888
1889 እ.ኤ.አ.	1889
1890 እ.ኤ.አ.	1890
1891 እ.ኤ.አ.	1891
ስዋሂሊ	Idioma suajili
1892 እ.ኤ.አ.	1892
1893 እ.ኤ.አ.	1893
1894 እ.ኤ.አ.	1894
1895 እ.ኤ.አ.	1895
1896 እ.ኤ.አ.	1896
1897 እ.ኤ.አ.	1897
1898 እ.ኤ.አ.	1898
ቻይንኛ	Idioma chino
1899 እ.ኤ.አ.	1899
ህዋስ	Célula
ደም	Sangre
ቱሉዝ	Toulouse
ሳምባ	Pulmones
ሩማንኛ	Idioma rumano
ቡልጋርኛ	Idioma búlgaro
ዝናብ	Lluvia
መለጋሲ	Idioma malgache
የዓለም መሞቅ	Calentamiento global
የመሬት መንቀጥቀጥ	Terremoto
ፍራንክሊን ሮዘቨልት	Franklin D. Roosevelt
ኦግስቲን	Agustín de Hipona
ኔልሰን ማንዴላ	Nelson Mandela
ዶ/ር ማርቲን ሉጠር ኪንግ	Martin Luther King
10ኛው ምዕተ ዓመት	Siglo X
ጎርፍ	Inundación
እሳተ ገሞራ	Volcán
ስነ አምክንዮ	Lógica
9ኛው ምዕተ ዓመት	Siglo IX
ትሪጎኖሜትሪ	Trigonometría
8ኛው ምዕተ ዓመት	Siglo VIII
ጂዎሜትሪ	Geometría
7ኛው ምዕተ ዓመት	Siglo VII
6ኛው ምዕተ ዓመት	Siglo VI
ሰዋስው	Gramática
ነፋስ	Viento
5ኛው ምዕተ ዓመት	Siglo V
4ኛው ምዕተ ዓመት	Siglo IV
3ኛው ምዕተ ዓመት	Siglo III
2ኛው ምዕተ ዓመት	Siglo II
1ኛው ምዕተ ዓመት	Siglo I
ሥነ ንዋይ	Economía
ሙአለ ንዋይ	Capital (economía)
የቋንቋ ጥናት	Lingüística
ቃል (የቋንቋ አካል)	Palabra
የዓለም ጽሕፈቶች	Sistema de escritura
ዳውጋቫ ወንዝ	Río Daugava
ሥነ ጽሑፍ	Literatura
መደብ:ፈረንሣይ	Categoría:Francia
መደብ:ሙዚቃ	Categoría:Música
መደብ:ሥነ ጽሁፍ	Categoría:Literatura
ሃሪ ፖተር (መፅሐፍ)	Harry Potter
ትራምፔት	Trompeta
ክላርኔት	Clarinete
አልጎሪዝም	Algoritmo
መድኃኒት	Droga
ታላቁ እስክንድር	Alejandro Magno
ኅብረተሰብ	Sociedad
ትምህርት	Educación
ሁጎ ቻቬዝ	Hugo Chávez
ቢስማርክ	Otto von Bismarck
ጋብቻ	Matrimonio
ሬጂና ካልቾ	Reggina Calcio
ቡና	Café
ወተት	Leche
ተራራ	Montaña
አንድሪው ጆንሰን	Andrew Johnson
ክዋሜ ንክሩማህ	Kwame Nkrumah
ዪዲሽኛ	Yidis
ሆንግ ኮንግ	Hong Kong
ማያሚ	Miami
ከራቺ	Karachi
የኮርያ ጦርነት	Guerra de Corea
ሌጎስ	Lagos
ሪዮ ዴ ጃኔይሮ	Río de Janeiro
ሶል	Seúl
ሻንግሃይ	Shanghái
አትሌቲኮ ማድሪድ	Club Atlético de Madrid
ዎልት ዲዝኒ	Walt Disney
ሰቪያ	Sevilla
አርኪሜዴስ	Arquímedes
የቬትናም ጦርነት	Guerra de Vietnam
ቶማስ ኤዲሶን	Thomas Alva Edison
ዩክሊድ	Euclides
ዴፖርቲቮ ዴ ላ ኮሩኛ	Real Club Deportivo de La Coruña
አር.ሲ.ዲ. ኤስፓንዮል	Real Club Deportivo Español
አርሜንኛ	Idioma armenio
ዩክሬንኛ	Idioma ucraniano
ግራናዳ	Granada
ሌቫንቴ ዩ.ዲ.	Levante Unión Deportiva
ማላጋ የእግር ኳስ ክለብ	Málaga Club de Fútbol
ስዊድንኛ	Idioma sueco
ዳንኛ	Idioma danés
ሌብኒትዝ	Gottfried Leibniz
ቼክኛ	Idioma checo
ካርል ማርክስ	Karl Marx
ስሎቬንኛ	Idioma esloveno
ሀንጋርኛ	Idioma húngaro
ቮልቴር	Voltaire
ኤስቶንኛ	Idioma estonio
ሙሴ	Moisés
ሊትዌንኛ	Idioma lituano
የሕንዱ ሃይማኖት	Hinduismo
ቤላሩስኛ	Idioma bielorruso
ጡት	Mama
ዲሜትሪ ሜንደሊቭ	Dmitri Mendeléyev
ቀነኒሳ በቀለ	Kenenisa Bekele
አቶም	Átomo
ብርሃን	Luz
ግሪክ (ቋንቋ)	Idioma griego
አፈ፡ታሪክ	Mitología
የሲስተም አሰሪ	Sistema operativo
ታጅ ማሃል	Taj Mahal
አየርላንድኛ	Idioma irlandés
የፕሮግራም ቋንቋ	Lenguaje de programación
ነፍስ	Alma
ማልትኛ	Idioma maltés
ፋርስኛ	Idioma persa
ሃይማኖት	Religión
ኮሪይኛ	Idioma coreano
አብርሃም	Abraham
ረኔ ዴካርት	René Descartes
ጳውሎስ	Pablo de Tarso
ፍሮይድ	Sigmund Freud
ፍሬዴሪክ ሄግል	Georg Wilhelm Friedrich Hegel
ሞንጎልኛ	Idioma mongol
ባኩ	Bakú
ታጂክኛ	Idioma tayiko
ዑዝበክኛ	Idioma uzbeko
ቱርክመንኛ	Idioma turcomano
አይሁድና	Judaísmo
ጢምጱ	Timbu
ባንዳር ሰሪ ቤጋዋን	Bandar Seri Begawan
ዕብራይስጥ	Idioma hebreo
አዘርኛ	Idioma azerí
ዌልስኛ	Idioma galés
አማኑኤል ካንት	Immanuel Kant
የስኮትላንድ ጋይሊክኛ	Gaélico escocés
ቭየንትዬን	Vientián
ኤክሲሌስ	Exilles
ጆን ሎክ	John Locke
ኒሺ	Friedrich Nietzsche
ቢሽኬክ	Biskek
ዥን-ፖል ሳትራ	Jean-Paul Sartre
ዱሻንቤ	Dusambé
ጉበት	Hígado
ኩላሊት	Riñón
ቆለጥ	Testículo
ሉድቪግ ቪትገንስታይን	Ludwig Wittgenstein
የሥነ፡ልቡና ትምህርት	Psicología
ውቅያኖስ	Océano
ቶማስ አኳይናስ	Tomás de Aquino
ጎታማ ቡዳ	Buda Gautama
ዳያሌክቲክ	Dialéctica
መሐመድ	Mahoma
ዕድል ጥናት	Probabilidad
ሞንቴው ዳ ፖ	Monteu da Po
የእግር ኳስ ማህበር	La Asociación del Fútbol
ውኑ	Realidad
ቢ.ቢ.ሲ.	BBC
ሻህሩኽ ኻን	Shahrukh Khan
ሳልማን ኻን	Salman Khan (actor)
ማርቲን ሉጠር	Martín Lutero
ዓሚር ኻን	Aamir Khan
አሚታብ ባቻን	Amitabh Bachchan
ጄራልድ ፎርድ	Gerald Ford
ሪቻርድ ኒክሰን	Richard Nixon
በንጋልኛ	Idioma bengalí
ምላስ	Lengua (anatomía)
ቼልሲ	Chelsea Football Club
አርሰናል የእግር ኳስ ክለብ	Arsenal Football Club
ሥርዓተ አፅም	Esqueleto humano
አፍ	Boca
ሊንደን ጆንሰን	Lyndon B. Johnson
የመገጣጠሚያ አጥንት	Articulación (anatomía)
ፋልክላንድ ደሴቶች	Islas Malvinas
ሥርዓተ ምግብ	Aparato digestivo
A	A
ንግሥት ኤልሣቤጥ (ዳግማዊት)	Isabel II del Reino Unido
ጆን ኤፍ ኬኔዲ	John F. Kennedy
B	B
G	G
F	F
ሬጌ	Reggae
ሳክሶፎን	Saxofón
C	C
D	D
E	E
H	H
ድዋይት አይዘንሃወር	Dwight D. Eisenhower
ሮናልድ ሬገን	Ronald Reagan
ዛዛኪኛ	Zazaki
ፓይታጎረስ	Pitágoras
ራዮ ቫዬካኖ	Rayo Vallecano de Madrid
ሪያል ሶሲየዳድ	Real Sociedad de Fútbol
ሰቪያ እግር ኳስ ክለብ	Sevilla Fútbol Club
ቫለንሲያ እግር ኳስ ክለብ	Valencia Club de Fútbol
1100 እ.ኤ.አ.	1100
የንጥረ ነገሮች ሠንጠረዥ	Tabla periódica de los elementos
ጆርጅታውን	Georgetown
ርግብ	Columbidae
ባክቴሪያ	Bacteria
ኤብሮ ወንዝ	Ebro
ወይን	Uva
ማር	Miel
ስጋ	Carne
ድንች	Solanum tuberosum
ሻማ	Glycine max
ሮቦት	Robot
ቴክኖዎሎጂ	Tecnología
ማሽን	Máquina
ብሎን	Tornillo
መሀንዲስነት	Ingeniería
መገናኛ	Comunicación
ስልክ	Teléfono
አር ኤን ኤ	Ácido ribonucleico
ሳንስክሪት	Sánscrito
ሉጎ	Lugo
የዓለም የህዝብ ብዛት	Población mundial
ሕክምና	Medicina
ሳራዬቮ	Sarajevo
ሎጋሪዝም	Logaritmo
ሥነ ቁጥር	Aritmética
ዓለም ንግድ ሕንጻ	World Trade Center
መደብ:ብራዚል	Categoría:Brasil
ንጥረ ነገር	Elemento químico
አስረካቢ	Función matemática
ፍጥንጥነት	Aceleración
አቅም	Energía
ኤሌክትሮመግነጢስ ጨረራ	Radiación electromagnética
ጉልበት	Fuerza
መግነጢስ መስክ	Campo magnético
ጨዋታዎች	Juego
ግስበት	Gravedad
ጎ	Go
መግነጢስ	Imán
ግዝፈት	Masa
ፊልም	Película
ብስክሌት	Bicicleta
የርሻ ተግባር	Agricultura
አጠቃላይ አንጻራዊነት	Relatividad general
ልዩ አንጻራዊነት	Teoría de la relatividad especial
ድምጽ	Sonido
ማረሻ	Arado (agricultura)
ፍጥነት	Velocidad
ጊዜ	Tiempo
ወረቀት	Papel
ኦና	Vacío
ቁጥር	Número
የአቅጣጫ ቁጥር	Número complejo
ሜትር	Metro
ሴኮንድ	Segundo
በቆሎ	Zea mays
ገብስ	Hordeum vulgare
ሃሪ ትሩማን	Harry S. Truman
ስዕል	Pintura
ቴያትር	Teatro
ዳዮድ	Diodo
ዴቪድ ፓተርሶን	David Paterson
የአሜሪካ ፕሬዚዳንት	Presidente de los Estados Unidos
ዉሃን	Wuhan
የአለም አገራት ዝርዝር	Anexo:Países
መስጴጦምያ	Mesopotamia
ጥንታዊ ግብፅ	Antiguo Egipto
ድብ	Ursidae
ጆን አዳምስ	John Adams
ቶማስ ጄፈርሰን	Thomas Jefferson
ጄምስ ማዲሰን	James Madison
ጄምስ ሞንሮ	James Monroe
ጆን ክዊንሲ አዳምስ	John Quincy Adams
አንድሪው ጃክሰን	Andrew Jackson
ማርቲን ቫንቡረን	Martin Van Buren
ዊሊያም ሄንሪ ሀሪሰን	William Henry Harrison
ጆን ታይለር	John Tyler
ጄምስ ፖልክ	James K. Polk
ዛከሪ ቴለር	Zachary Taylor
ሄርኩለስ እግር ኳስ ክለብ	Hércules de Alicante Club de Fútbol
ሚራንዳ ዴ ኤብሮ	Miranda de Ebro
ጉግል ዜና	Google Noticias
1101 እ.ኤ.አ.	1101
1102 እ.ኤ.አ.	1102
ካንሰር	Cáncer
ኣጃ	Avena sativa
ስንዴ	Triticum
ብረቶንኛ	Idioma bretón
እህል	Cereal
ድንቁርና	Sordera
ጎርጎርያን ካሌንዳር	Calendario gregoriano
ሰዓት ክልል	Huso horario
ትምህርተ፡ጤና	Salud
ኒሞንያ	Neumonía
ኤድስ	Sida
መለጠፊያ:Location map ጀርመን	Plantilla:Mapa de localización de Alemania
ስኳር በሽታ	Diabetes mellitus
ራሲንግ ዴ ሳንታንደር	Real Racing Club de Santander
መለጠፊያ:Location map ስዊድን	Plantilla:Mapa de localización de Suecia
መለጠፊያ:Location map ፊንላንድ	Plantilla:Mapa de localización de Finlandia
ረክሬቲቮ ዴ ሁዌልቫ	Real Club Recreativo de Huelva
መለጠፊያ:Location map ሆላንድ	Plantilla:Mapa de localización de Países Bajos
መለጠፊያ:Location map ፈረንሳይ	Plantilla:Mapa de localización de Francia
መለጠፊያ:Location map እስፓንያ	Plantilla:Mapa de localización de España
መለጠፊያ:Location map ፖርቱጋል	Plantilla:Mapa de localización de Portugal
መለጠፊያ:Location map ጣልያን	Plantilla:Mapa de localización de Italia
መለጠፊያ:Location map ስዊዘርላንድ	Plantilla:Mapa de localización de Suiza
መለጠፊያ:Location map ኦስትሪያ	Plantilla:Mapa de localización de Austria
ድልድይ	Puente
መለጠፊያ:Location map ሀንጋሪ	Plantilla:Mapa de localización de Hungría
መለጠፊያ:Location map ክሮኤሽያ	Plantilla:Mapa de localización de Croacia
ቪላሪያል የእግር ኳስ ክለብ	Villarreal Club de Fútbol
መለጠፊያ:Location map ግሪክ	Plantilla:Mapa de localización de Grecia
መለጠፊያ:Location map ቡልጋሪያ	Plantilla:Mapa de localización de Bulgaria
ሚላርድ ፊልሞር	Millard Fillmore
ፍራንክሊን ፒርስ	Franklin Pierce
ግድብ	Represa
ጄምስ ቡካነን	James Buchanan
መለጠፊያ:Location map ሶርያ	Plantilla:Mapa de localización de Siria
መለጠፊያ:Location map ዮርዳኖስ	Plantilla:Mapa de localización de Jordania
መለጠፊያ:Location map ፓኪስታን	Plantilla:Mapa de localización de Pakistán
መለጠፊያ:Location map ቻይና	Plantilla:Mapa de localización de China
መለጠፊያ:Location map ቬት ናም	Plantilla:Mapa de localización de Vietnam
መለጠፊያ:Location map Australia	Plantilla:Mapa de localización de Australia
መለጠፊያ:Location map ቬኔዝዌላ	Plantilla:Mapa de localización de Venezuela
ሞና ሊዛ	La Gioconda
ፒሬኔ ተራሮች	Pirineos
ዲትሮይት	Detroit
ሥነ ስብስብ	Teoría de conjuntos
የዝርዝር ሂሳብ (እስታቲስቲክስ)	Estadística
1103 እ.ኤ.አ.	1103
1104 እ.ኤ.አ.	1104
ሉል	Esfera
አባሲዶች	Califato abasí
ቢዛንታይን መንግሥት	Imperio bizantino
የኦቶማን መንግሥት	Imperio otomano
ቫይኪንግ	Vikingo
ፖል ዱሜ	Paul Doumer
ማክሲም ጎርኪ	Máximo Gorki
ዮሐን ማርቲን ሽላየር	Johann Martin Schleyer
ኮረንቲ	Electricidad
ሠይፍ	Espada
ጠመንጃ	Arma de fuego
ፓውሎ ኮሄሎ	Paulo Coelho
ፔሌ	Pelé
ማጁሮ	Majuro
የቤልጅግ ሰንደቅ ዓላማ	Bandera de Bélgica
ሩማን	Punica granatum
ብርቱካን (ፍሬ)	Citrus × sinensis
ሮማንሽ	Romanche
ኡድሙርትኛ	Idioma udmurto
ላይኛ ሶርብኛ	Alto sorabo
ኡይጉርኛ	Idioma uigur
ሶማልኛ	Idioma somalí
ናዋትል	Náhuatl
ናውሩኛ	Idioma nauruano
ራቬና	Rávena
ዴቢት ካርድ	Tarjeta de débito
መለጠፊያ:Location map ሜክሲኮ	Plantilla:Mapa de localización de México
መለጠፊያ:Location map Earth	Plantilla:Mapa de localización de Tierra
ቲቤር ወንዝ	Tíber
1105 እ.ኤ.አ.	1105
ዓረብኛ	Idioma árabe
ቺምቦራዞ	Volcán Chimborazo
ኦክሲታንኛ	Idioma occitano
አፍሪካንስ	Afrikáans
ጠቅላይ ሚኒስትር	Primer ministro
ታገስ ወንዝ	Tajo
ጓዳልኪቪር ወንዝ	Guadalquivir
ዘ ደይ አፍተር ቱሞሮ (ፊልም)	The Day After Tomorrow
ሜሪዳ፣ እስፓንያ	Mérida (España)
ሳቫ ወንዝ	Río Sava
ስኮትኛ	Escocés (lengua germánica)
ሰንደቅ ዓላማ	Bandera
ማካው	Macao
መለጠፊያ:Location map ሞሮኮ	Plantilla:Mapa de localización de Marruecos
መለጠፊያ:Location map ምዕራባዊ ሣህራ	Plantilla:Mapa de localización de Sahara Occidental
መለጠፊያ:Location map አልጄሪያ	Plantilla:Mapa de localización de Argelia
መለጠፊያ:Location map ቱኒዚያ	Plantilla:Mapa de localización de Túnez
መለጠፊያ:Location map ሊቢያ	Plantilla:Mapa de localización de Libia
መለጠፊያ:Location map ግብፅ	Plantilla:Mapa de localización de Egipto
መለጠፊያ:Location map ሞሪታኒያ	Plantilla:Mapa de localización de Mauritania
መለጠፊያ:Location map ማሊ	Plantilla:Mapa de localización de Malí
መለጠፊያ:Location map ኒጄር	Plantilla:Mapa de localización de Níger
መለጠፊያ:Location map ቻድ	Plantilla:Mapa de localización de Chad
መለጠፊያ:Location map ሱዳን	Plantilla:Mapa de localización de Sudán
መለጠፊያ:Location map ኤርትራ	Plantilla:Mapa de localización de Eritrea
መለጠፊያ:Location map ኢትዮጵያ	Plantilla:Mapa de localización de Etiopía
መለጠፊያ:Location map ጅቡቲ	Plantilla:Mapa de localización de Yibuti
መለጠፊያ:Location map ሶማሊያ	Plantilla:Mapa de localización de Somalia
መለጠፊያ:Location map ኬፕ ቨርድ	Plantilla:Mapa de localización de Cabo Verde
መለጠፊያ:Location map ሴኔጋል	Plantilla:Mapa de localización de Senegal
መለጠፊያ:Location map ጋምቢያ	Plantilla:Mapa de localización de Gambia
መለጠፊያ:Location map ጊኔ-ቢሳው	Plantilla:Mapa de localización de Guinea-Bissau
መለጠፊያ:Location map ጊኔ	Plantilla:Mapa de localización de Guinea
መለጠፊያ:Location map ሴየራ ሌዎን	Plantilla:Mapa de localización de Sierra Leona
መለጠፊያ:Location map ላይቤሪያ	Plantilla:Mapa de localización de Liberia
መለጠፊያ:Location map ኮት ዲቯር	Plantilla:Mapa de localización de Costa de Marfil
መለጠፊያ:Location map ቡርኪና ፋሶ	Plantilla:Mapa de localización de Burkina Faso
መለጠፊያ:Location map ጋና	Plantilla:Mapa de localización de Ghana
መለጠፊያ:Location map ቶጎ	Plantilla:Mapa de localización de Togo
መለጠፊያ:Location map ቤኒን	Plantilla:Mapa de localización de Benín
መለጠፊያ:Location map ናይጄሪያ	Plantilla:Mapa de localización de Nigeria
መለጠፊያ:Location map ካሜሩን	Plantilla:Mapa de localización de Camerún
መለጠፊያ:Location map የመካከለኛው አፍሪካ ሪፑብሊክ	Plantilla:Mapa de localización de República Centroafricana
መለጠፊያ:Location map ሳን ቶሜ እና ፕሪንሲፔ	Plantilla:Mapa de localización de Santo Tomé y Príncipe
መለጠፊያ:Location map ኢኳቶሪያል ጊኔ	Plantilla:Mapa de localización de Guinea Ecuatorial
መለጠፊያ:Location map ጋቦን	Plantilla:Mapa de localización de Gabón
መለጠፊያ:Location map ኮንጎ ሪፑብሊክ	Plantilla:Mapa de localización de República del Congo
ሜሚንገን	Memmingen
መለጠፊያ:Location map ኮንጎ ዲሞክራቲክ ሪፑብሊክ	Plantilla:Mapa de localización de República Democrática del Congo
መለጠፊያ:Location map ዩጋንዳ	Plantilla:Mapa de localización de Uganda
መለጠፊያ:Location map ኬንያ	Plantilla:Mapa de localización de Kenia
መለጠፊያ:Location map ሩዋንዳ	Plantilla:Mapa de localización de Ruanda
መለጠፊያ:Location map ቡሩንዲ	Plantilla:Mapa de localización de Burundi
መለጠፊያ:Location map ታንዛኒያ	Plantilla:Mapa de localización de Tanzania
መለጠፊያ:Location map ሞዛምቢክ	Plantilla:Mapa de localización de Mozambique
መለጠፊያ:Location map ማላዊ	Plantilla:Mapa de localización de Malaui
መለጠፊያ:Location map ዛምቢያ	Plantilla:Mapa de localización de Zambia
መለጠፊያ:Location map አንጎላ	Plantilla:Mapa de localización de Angola
መለጠፊያ:Location map ናሚቢያ	Plantilla:Mapa de localización de Namibia
መለጠፊያ:Location map ቦትስዋና	Plantilla:Mapa de localización de Botsuana
መለጠፊያ:Location map ዚምባብዌ	Plantilla:Mapa de localización de Zimbabue
መለጠፊያ:Location map ደቡብ አፍሪካ	Plantilla:Mapa de localización de Sudáfrica
መለጠፊያ:Location map ስዋዚላንድ	Plantilla:Mapa de localización de Suazilandia
መለጠፊያ:Location map ሌሶቶ	Plantilla:Mapa de localización de Lesoto
መለጠፊያ:Location map ማዳጋስካር	Plantilla:Mapa de localización de Madagascar
መለጠፊያ:Location map ሞሪሸስ	Plantilla:Mapa de localización de Mauricio
መለጠፊያ:Location map ሲሸልስ	Plantilla:Mapa de localización de Seychelles
መለጠፊያ:Location map አፍሪቃ	Plantilla:Mapa de localización de África
ቀጭኔ	Giraffa camelopardalis
ፒድሞንትኛ	Idioma piamontés
አርፒታንኛ	Idioma franco-provenzal
ታራጎና	Tarragona
ኦስካር ታባሬዝ	Óscar Washington Tabárez
ሶቪዬት ሕብረት	Unión Soviética
ካዲዝ	Cádiz
ሲ (የኮምፒዩተር ፍርገማ ቋንቋ)	C (lenguaje de programación)
ኤችአይቪ	Virus de la inmunodeficiencia humana
ክለብ አትሌቲኮ ሪቨር ፕሌት	Club Atlético River Plate
እግር	Pie
ክዊን	Queen
ፍሬዲ መርኩሪ	Freddie Mercury
እንሽላሊት	Lacertilia
ክለብ አትሌቲኮ ፔኛሮል	Club Atlético Peñarol
ውክፔዲያ:ምርጥ ፅሑፎች	Wikipedia:Artículos destacados
መለጠፊያ:Link FA	Plantilla:Destacado
ቬርሞንት	Vermont
ሳንዲየጎ	San Diego (California)
ደንቨር	Denver
ሂውስተን	Houston
ፊኒክስ፥ አሪዞና	Phoenix
ዳላስ	Dallas
ኦስቲን፣ ቴክሳስ	Austin
ቤተ መንግስት	Palacio
የሩሲያ ሰንደቅ ዓላማ	Bandera de Rusia
ኤድጋር አለን ፖ	Edgar Allan Poe
ላንገዶክ-ሩሲዮን	Languedoc-Rosellón
ሬዩንዮን	Reunión (departamento de Francia)
ማፅደቂያ ስር	Portainjerto
ክብ	Circunferencia
ዲየጎ ማራዶና	Diego Armando Maradona
ሰጎን	Struthio camelus
እሙን	Axioma
ኅልዮት	Teoría
ሳክራመንቶ	Sacramento (California)
ሆኖሉሉ	Honolulu
1925 እ.ኤ.አ.	1925
1927 እ.ኤ.አ.	1927
ማንችስተር	Mánchester
ስጋ በል ዕፅዋት	Planta carnívora
ጨረራ	Radiación
1000 እ.ኤ.አ.	1000
999 እ.ኤ.አ.	999
1955 እ.ኤ.አ.	1955
