Āfrika	África
Čanakales ils	Provincia de Çanakkale
.tf	.tf
Ajūna	El Aaiún
Cisji	Cixí
Naoto Kans	Naoto Kan
Pratibha Patila	Pratibha Patil
Mētras	Mentha
Midveja atols	Islas Midway
Bruņneši	Dasypodidae
Green Day	Green Day
Robijs Viljamss	Robbie Williams
Sids Višess	Sid Vicious
Spēļu kārtis	Baraja
Neimegena	Nimega
Somijas karogs	Bandera de Finlandia
Mijagi prefektūra	Prefectura de Miyagi
Parisa Hiltone	Paris Hilton
Nestors Mahno	Néstor Majnó
Mario Monti	Mario Monti
Hermanis Gērings	Hermann Wilhelm Göring
Indijas degunradzis	Rhinoceros unicornis
Plaušu vēzis	Cáncer de pulmón
Laknava	Lucknow
Cirks	Circo
Funkcionālisms (arhitektūra)	Funcionalismo (arquitectura)
Ziemeļrietumanglija	Noroeste de Inglaterra
Šaaņsji	Shaanxi
Ziemeļaustrumanglija	Nordeste de Inglaterra
Austrummidlenda	Midlands del Este
Anglijas Austrumi	Este de Inglaterra
Dienvidaustrumanglija	Sudeste de Inglaterra
Sede vacante	Sede vacante
Dienvidrietumanglija	Sudoeste de Inglaterra
Veidne:Commonscat	Plantilla:Commonscat
Vasilijs Sokolovskis	Vasili Sokolovski
Rietummidlenda	Midlands del Oeste
Jorkšīra un Hambera	Yorkshire y Humber
Dmitrijs Ustinovs	Dmitri Ustínov
Andrejs Jerjomenko	Andréi Yeriómenko
Spēka moments	Par motor
Ivans Bagramjans	Iván Bagramián
395. gads	395
Leonīds Govorovs	Leonid Góvorov
Meningīts	Meningitis
Kirils Mereckovs	Kiril Meretskov
Mančestras pilsētas stadions	Estadio Ciudad de Mánchester
Vācijas karogs	Bandera de Alemania
Bedržihs Smetana	Bedřich Smetana
Rekviēmhaizivjveidīgās	Carcharhiniformes
Vikipēdija vācu valodā	Wikipedia en alemán
Karaliskā kobra	Ophiophagus hannah
Ēriks Kleptons	Eric Clapton
Vācu ordenis	Orden Teutónica
Rekviēmhaizivis	Carcharhinidae
Basra	Basora
Cilmes šūna	Célula madre
Dānijas karaļu uzskaitījums	Anexo:Monarcas de Dinamarca
Sāmi	Pueblo lapón
Pāvila vēstule romiešiem	Epístola a los romanos
Aleksandrs Kerenskis	Aleksandr Kérenski
Tuvie Austrumi	Oriente Próximo
Ralfs Valdo Emersons	Ralph Waldo Emerson
Idi Amins	Idi Amin
Stoicisms	Estoicismo
23 (skaitlis)	Veintitrés
Mana cīņa	Mi lucha
Ernsts Hekels	Ernst Haeckel
Folklendu karš	Guerra de las Malvinas
Dņepropetrovska	Dnipropetrovsk
Diks Čeinijs	Dick Cheney
Xbox 360	Xbox 360
Fedora	Fedora (distribución Linux)
Starptautiskā dabas un dabas resursu aizsardzības savienība	Unión Internacional para la Conservación de la Naturaleza
.pn	.pn
Dzimte (socioloģija)	Género (ciencias sociales)
Medeljina	Medellín
Marianna Feitfula	Marianne Faithfull
Students	Estudiante
Jūlija Timošenko	Yulia Timoshenko
Arla	Arlés
Parabola	Parábola (matemática)
Martīns Heidegers	Martin Heidegger
Eiripīds	Eurípides
.nf	.nf
Vaterlo kauja	Batalla de Waterloo
Karbamīds	Urea
Hanss Holbeins Jaunākais	Hans Holbein el Joven
Kobe	Kōbe
Morāle	Moral
Ivates prefektūra	Prefectura de Iwate
Beovulfs	Beowulf
Mariehamna	Mariehamn
Hiragana	Hiragana
Ņūfaundlenda	Isla de Terranova
Morgans Frīmens	Morgan Freeman
Kajseri	Kayseri
CNN	CNN
Resifi	Recife
Impērija	Imperio
Valsts vadītājs	Jefe de Estado
Minarets	Alminar
Malakas šaurums	Estrecho de Malaca
Mahājānas budisms	Mahāyāna
Magelāna šaurums	Estrecho de Magallanes
.su	.su
Deivids Livingstons	David Livingstone
Trīsis	Polea
Mercury	Mercury
Neptūna gredzeni	Anillos de Neptuno
Amritsara	Amritsar
Albānijas karogs	Bandera de Albania
Ričards Gīrs	Richard Gere
Brīvās programmatūras fonds	Free Software Foundation
Gnosticisms	Gnosticismo
Līķis	Cadáver
Plēsīgais putns	Ave de presa
1930. gada FIFA Pasaules kauss	Copa Mundial de Fútbol de 1930
Svētās Ģimenes baznīca	Templo Expiatorio de la Sagrada Familia
Svētais Juris	Jorge de Capadocia
Fēnikss	Fénix
Galjinasa rags	Punta Gallinas
New Horizons	New Horizons
Voyager 1	Voyager 1
Voyager 2	Voyager 2
IOS	IOS
Marika Reke	Marika Rökk
Spānijas hokeja izlase	Selección de hockey sobre hielo de España
ASV federālā valdība	Gobierno federal de los Estados Unidos
Juno (starpplanētu zonde)	Juno (sonda espacial)
Dawn (zonde)	Dawn (sonda espacial)
Rosetta	Rosetta (sonda espacial)
Rozetas akmens	Piedra de Rosetta
Zenta Mauriņa	Zenta Mauriņa
Petrela	Base Petrel
Mir (orbitālā stacija)	Mir (estación espacial)
Sintētiska valoda	Lengua sintética
CoRoT	Corot (misión)
Bezsvara stāvoklis	Microgravedad
Starptautiskā riteņbraukšanas savienība	Unión Ciclista Internacional
Jūdejas karaliste	Reino de Judá
Lī Hārvijs Osvalds	Lee Harvey Oswald
Saharova balva	Premio Sájarov
Augkopība	Horticultura
Space Shuttle	Transbordador STS
Kenedija kosmosa centrs	Centro espacial John F. Kennedy
Bradford City A.F.C.	Bradford City Association Football Club
Didjē Drogba	Didier Drogba
Oxford United F.C.	Oxford United Football Club
Vikipēdija persiešu valodā	Wikipedia en persa
Hermanis Štaudingers	Hermann Staudinger
Neijī pie Sēnas	Neuilly-sur-Seine
Labirints	Laberinto
LMFAO	LMFAO
Lainuss Polings	Linus Pauling
Vūpija Goldberga	Whoopi Goldberg
Patriks Sveizi	Patrick Swayze
Pirmskaitlis	Número primo
Chandrayaan-1	Chandrayaan-1
Hjū Lorijs	Hugh Laurie
Venēcijas kinofestivāls	Festival Internacional de Cine de Venecia
Hedija Lamarra	Hedy Lamarr
Chang'e 1	Chang'e 1
Nexus 7	Nexus 7 (2012)
Schneider Electric	Schneider Electric
Kurts Vonnegūts	Kurt Vonnegut
Sešu dienu karš	Guerra de los Seis Días
Īzaks Bābels	Isaak Bábel
Kristofers Hičenss	Christopher Hitchens
Stāsts	Cuento
Afroamerikāņi	Población afroestadounidense
Simons Vīzentāls	Simon Wiesenthal
Kolumbijas universitāte	Universidad de Columbia
Izraēlas neatkarības karš	Guerra árabe-israelí de 1948
Suecas krīze	Guerra del Sinaí
Masačūsetsas Tehnoloģiju institūts	Instituto Tecnológico de Massachusetts
Keimbridža	Cambridge (Massachusetts)
Jeila universitāte	Universidad Yale
Brauna universitāte	Universidad Brown
Kornela universitāte	Universidad Cornell
Dartmutas koledža	Dartmouth College
Pensilvānijas universitāte	Universidad de Pensilvania
Ņūheivena	New Haven (Connecticut)
Springfīlda (Masačūsetsa)	Springfield (Massachusetts)
Bridžporta	Bridgeport
Portlenda (Meina)	Portland (Maine)
Ņujorkas universitāte	Universidad de Nueva York
Teksasas universitāte Ostinā	Universidad de Texas en Austin
Dens Kveils	Dan Quayle
Volters Mondeils	Walter Mondale
Ročestera	Rochester (Nueva York)
Rīno	Reno (Nevada)
Austronēziešu valodas	Lenguas austronesias
Norfolka (Virdžīnija)	Norfolk (Virginia)
Orlando	Orlando (Florida)
Adrians Sutils	Adrian Sutil
Sentpītersbērga	San Petersburgo (Florida)
Leons X	León X
Tolīdo	Toledo (Ohio)
Korpuskristi	Corpus Christi (Texas)
Riversaida	Riverside
Anahaima	Anaheim
Tampa	Tampa
Beikersfīlda	Bakersfield (California)
Kolorādospringsa	Colorado Springs (Colorado)
Virdžīnijabīča	Virginia Beach
Mesa (ASV)	Mesa (Arizona)
Vičita	Wichita (Kansas)
Fortveina	Fort Wayne
Sallija Raida	Sally Ride
Rebeka Adlingtona	Rebecca Adlington
Atomspēku mikroskops	Microscopio de fuerza atómica
Alberts Šveicers	Albert Schweitzer
Ārsti bez robežām	Médicos Sin Fronteras
Javas jūra	Mar de Java
Ledus laikmets	Glaciación
Tūrisms	Turismo
Robērs Nivels	Robert Nivelle
Progresīvais roks	Rock progresivo
Arhibīskaps	Arzobispo
Sergejs Prokofjevs	Serguéi Prokófiev
Konstantins Staņislavskis	Konstantín Stanislavski
Mihails Čehovs	Mijaíl Chéjov
Žans de Lafontēns	Jean de La Fontaine
Delta (nesējraķešu saime)	Delta (cohete)
Latvieši	Pueblo letón
Krievi	Pueblo ruso
Delta IV	Delta IV
Acetons	Acetona
Jacuširo jūra	Mar de Yatsushiro
2026. gads	2026
2025. gads	2025
Internacionāle	La Internacional
2024. gads	2024
2023. gads	2023
2022. gads	2022
2021. gads	2021
Lohness	Lago Ness
Lohnesa ezera briesmonis	Monstruo del lago Ness
Lietuvas lielkņaziste	Gran Ducado de Lituania
Vasilijs III	Basilio III de Moscú
Envisat	Envisat
Serhio Busketss	Sergio Busquets
Minecraft	Minecraft
Viktors Ortā	Victor Horta
Moriss Meterlinks	Maurice Maeterlinck
Postalveolārs līdzskanis	Consonante postalveolar
Alveolārs līdzskanis	Consonante alveolar
Dzejnieks	Poeta
Vācijas Kristīgo demokrātu apvienība	Unión Demócrata Cristiana (Alemania)
Vācijas Sociāldemokrātiskā partija	Partido Socialdemócrata de Alemania
Ģenerālstreiks	Huelga general
Streiks	Huelga
Don't Stop Till You Get Enough	Don't Stop 'til You Get Enough
Rock with You	Rock with You
Čārlzs Simoni	Charles Simonyi
Off The Wall (dziesma)	Off the Wall (canción)
Reformātu baznīca	Iglesias Reformadas
Vēja turbīna	Aerogenerador
Kāzas	Boda
Pasts	Correo postal
Pusprezidentālisms	Semipresidencialismo
Prezidentālisms	Presidencialismo
Militārā diktatūra	Dictadura militar
Explorer 1	Explorer 1
GALEX	Galaxy Evolution Explorer
Itāļi	Pueblo italiano
The Times	The Times
Džons Stjuarts Mills	John Stuart Mill
Akvarelis	Acuarela
Dire Straits	Dire Straits
Herbiga—Haro objekts	Objeto Herbig-Haro
Fizikālā dubultzvaigzne	Estrella binaria
Sarkanais milzis	Gigante roja
ISO 8601	ISO 8601
Ansī	Annecy
Trojas zirgs	Caballo de Troya
Taizemes provinces	Provincias de Tailandia
Japānas prefektūras	Anexo:Prefecturas de Japón por superficie y población
Karloss Tevess	Carlos Tévez
Manchester City F.C.	Manchester City Football Club
Paks Čisons	Park Ji-Sung
Ākešhusa	Akershus
Aksels Lunns Svindāls	Aksel Lund Svindal
Historiogrāfija	Historiografía
Oksīdi	Óxido
Mainīgais lielums	Variable (matemáticas)
Salikts skaitlis	Número compuesto
Dalītājs	Divisibilidad
Parīzes metro	Metro de París
Austrāliešu futbols	Fútbol australiano
Melnais tirgus	Mercado negro
Ēģiptiešu valoda	Lenguas egipcias
Jevgēņijs Oņegins	Eugenio Oneguin
Demmīne	Demmin
Luboņa	Luboń
Džons Kufuors	John Kufuor
Vanesa Paradī	Vanessa Paradis
Francis Jozefs I Habsburgs	Francisco José I de Austria
Antonio Saljēri	Antonio Salieri
Kali (pilsēta)	Cali
Džons Fords	John Ford (director de cine)
AKB48	AKB48
Risordžimento	Unificación de Italia
Deivids Vorks Grifits	D. W. Griffith
Kings Vidors	King Vidor
Maurloki	Allium schoenoprasum
Ufici	Galería Uffizi
Mutes harmonikas	Armónica
Džons Hauards	John Howard
Stefana—Bolcmaņa konstante	Constante de Stefan-Boltzmann
Gņezno	Gniezno
Red Bull	Red Bull
Frenks Kapra	Frank Capra
Viljams Vailers	William Wyler
Magnētiskās indukcijas cirkulācija	Ley de Ampère
Maksvela vienādojumi	Ecuaciones de Maxwell
Ričards Atenboro	Richard Attenborough
Sidnijs Polaks	Sydney Pollack
Kosmos-1	Cosmos 1
Milošs Formans	Miloš Forman
Maiks Nikolss	Mike Nichols
Luiss Bunjuels	Luis Buñuel
Billijs Vailders	Billy Wilder
Romāns Polaņskis	Roman Polanski
Sidnijs Lūmets	Sidney Lumet
Ernsts Lubičs	Ernst Lubitsch
Nazāls līdzskanis	Consonante nasal
Puente Alto	Puente Alto
Slēdzenis	Consonante oclusiva
Puntaarenasa	Punta Arenas
Pāvila vēstule filipiešiem	Epístola a los filipenses
Anatolija	Anatolia
Godināmais	Venerable
Jēzus augšāmcelšanās	Resurrección de Jesús
Mesija	Mesías
Jēzus dzimšana	Natividad
Pēdējais vakarēdiens	La Última Cena
Jēzus krustā sišana	Crucifixión de Jesús
Debesbraukšanas diena	Día de la Ascensión
Ekumēniskais koncils	Concilio ecuménico
Lielā Shizma	Cisma de Oriente
Pirmais Krusta karš	Primera Cruzada
Otrais Krusta karš	Segunda Cruzada
Trešais Krusta karš	Tercera Cruzada
Ceturtais Krusta karš	Cuarta Cruzada
Ziemeļu krusta kari	Cruzadas bálticas
Jēzus islāmā	Isa (Jesús de Nazaret)
Kristus ciešanas	La pasión de Cristo
Augstā dziesma	Cantar de los Cantares
Hērods Lielais	Herodes I el Grande
Marks Antonijs	Marco Antonio
Ārons	Aarón
Pagopago	Pago Pago
Braunsvila	Brownsville
Foursquare	Foursquare
Indiāņu valodas	Lenguas indígenas de América
Lūks Skaivolkers	Luke Skywalker
Palpatīns	Palpatine
Padme Amidala	Padmé Amidala
Džaba	Jabba el Hutt
Hamburger SV	Hamburgo S.V.
Brēmenes @@@u0026Werder"	Werder Bremen
Ebolas vīrusslimība	Enfermedad por el virus del Ébola
Kristofers Kesidijs	Christopher Cassidy
Korejas šaurums	Estrecho de Corea
Ziemeļvalstis	Países nórdicos
Buržuāzija	Burguesía
Bioģeogrāfija	Biogeografía
Ģeomorfoloģija	Geomorfología
Glacioloģija	Glaciología
Klimatoloģija	Climatología
Godarda Kosmosa lidojumu centrs	Centro de vuelo espacial Goddard
Mercury (kosmiskais projekts)	Proyecto Mercury
Sergejs Lukjaņenko	Serguéi Lukiánenko
Aleksejs Stahanovs	Alekséi Stajánov
Kategorija:Ogļūdeņraži	Categoría:Hidrocarburos
Pulks (armija)	Regimiento
Pērlhārboras bombardēšana	Ataque a Pearl Harbor
Veidne:Vielas infokaste	Plantilla:Ficha de compuesto químico
Daniela Hantuhova	Daniela Hantuchová
Veidne:Minerāla infokaste	Plantilla:Ficha de mineral
Veidne:BioTakso infokaste	Plantilla:Ficha de taxón
Rosario	Rosario (Argentina)
Kerlija Reja Džepsena	Carly Rae Jepsen
Emils Zātopeks	Emil Zátopek
Abebe Bikila	Abebe Bikila
Svenska Cellulosa Aktiebolaget SCA	Svenska Cellulosa Aktiebolaget
Bobs Bīmons	Bob Beamon
Lase Virens	Lasse Virén
Bens Džonsons	Ben Johnson (atleta)
Ericsson	Ericsson
Edvīns Mozess	Edwin Moses
Eivisa	Ibiza
Menorka	Menorca
Els Orters	Al Oerter
Džese Ouenss	Jesse Owens
Tomijs Smits	Tommie Smith
Rejs Evrijs	Raymond Clarence Ewry
Stīvs Redgreivs	Steve Redgrave
ABB	ABB
Grodziska Velkopolska	Grodzisk Wielkopolski
Kališa	Kalisz
Lisabonas līgums	Tratado de Lisboa
Koņina	Konin
SKF	SKF
Eiropas Ekonomikas kopiena	Comunidad Económica Europea
Kolo	Koło
Etāns	Etano
Havjers Dzaneti	Javier Zanetti
Gustavs V	Gustavo V de Suecia
Lešno	Leszno
Ostrova Velkopolska	Ostrów Wielkopolski
Vronki	Wronki
Frēdriks Reinfelts	Fredrik Reinfeldt
Oskars II	Óscar II de Suecia
Kārlis XV	Carlos XV de Suecia
Oskars I	Óscar I de Suecia
Kārlis XIV Juhans	Carlos XIV Juan de Suecia
Gustavs IV Ādolfs	Gustavo IV Adolfo de Suecia
Kārlis XII Pfalcs-Cveibrikens	Carlos XII de Suecia
Kārlis XI	Carlos XI de Suecia
Kārlis X Gustavs Pfalcs-Cveibrikens	Carlos X Gustavo de Suecia
Kristīne I Vāsa	Cristina de Suecia
Gustavs II Ādolfs	Gustavo II Adolfo de Suecia
Kārlis IX	Carlos IX de Suecia
Sigismunds III Vāsa	Segismundo III Vasa
Poznaņas @@@u0026Lech"	Lech Poznań
Juhans III	Juan III de Suecia
Gustavs I	Gustavo I de Suecia
Taustiņinstrumenti	Instrumento de teclado
Faenca	Faenza
Žoržs Remī	Hergé
Žans Liks Godārs	Jean-Luc Godard
Fransuā Trifo	François Truffaut
Vitorio De Sika	Vittorio De Sica
Bernardo Bertoluči	Bernardo Bertolucci
Klaudio Monteverdi	Claudio Monteverdi
Koavila de Saragosa	Coahuila de Zaragoza
Parastās koku vāveres	Sciurinae
Vidusskolas mūzikls	High School Musical
Zemes vāveres	Xerinae
Vidusskolas mūzikls 2	High School Musical 2
Vidusskolas mūzikls 3: Izlaiduma gads	High School Musical 3: Senior Year
Riteņbraukšana	Ciclismo
Čita	Chitá
Toyota Motor Corporation	Toyota
Arturs Ešs	Arthur Ashe
Džeimss Bleiks	James Blake
Džimijs Konorss	Jimmy Connors
Mārdijs Fišs	Mardy Fish
Meško I Pjasts	Miecislao I
Boļeslavs I Drosmīgais	Boleslao I de Polonia
Augusts II Stiprais	Augusto II de Polonia
Augusts III Saksis	Augusto III de Polonia
Boļeslavs II Drosmīgais	Boleslao II el Temerario
Boļeslavs III Greizmutis	Boleslao III de Polonia
Boļeslavs IV Cirtainais	Boleslao IV el Rizado
Boļeslavs V Kautrīgais	Boleslao V el Casto
Frīdrihs Augusts I Vetīns	Federico Augusto I de Sajonia
Henriks I Bārdainais	Enrique I el Barbudo
Henriks II Dievbijīgais	Enrique II de Silesia
Henriks IV Probuss	Enrique IV de Breslavia
Anrī III Valuā	Enrique III de Francia
Jadviga	Eduviges I de Polonia
Aleksandrs Jagellons	Alejandro I Jagellón
Jans I Olbrahts	Juan I Alberto de Polonia
Jans II Kazimirs Vāsa	Juan II Casimiro Vasa
Jans III Sobeskis	Juan III Sobieski
Kazimirs I Atjaunotājs	Casimiro I el Restaurador
Kazimirs II Taisnīgais	Casimiro II el Justo
Kazimirs III Lielais	Casimiro III de Polonia
Kazimirs IV Jagellons	Casimiro IV Jagellón
Mazovijas Konrāds	Conrado I de Mazovia
Kategorija:Polijas monarhi	Categoría:Reyes de Polonia
Rudais ķengurs	Macropus rufus
Lūpziežu dzimta	Lamiaceae
Liliju dzimta	Liliaceae
Federālā rezervju sistēma	Sistema de Reserva Federal
Džons Isners	John Isner
Bezastainie abinieki	Anura
Pērs Albins Hānsons	Per Albin Hansson
Laika	Laika
Astainie abinieki	Caudata
Tāge Erlanders	Tage Erlander
Ūlofs Palme	Olof Palme
Neotropikas harpija	Harpia harpyja
Jērans Pēšons	Göran Persson
Raibvaržu dzimta	Dendrobatidae
Stiklvaržu dzimta	Centrolenidae
Altentreptova	Altentreptow
Envers Hodža	Enver Hoxha
Ruperts Mērdoks	Rupert Murdoch
Rītausma (grāmata)	Amanecer (novela)
Lešeks I Baltais	Leszek I el Blanco
Lešeks II Melnais	Leszek II el Negro
Lajošs I Lielais	Luis I de Hungría
Meško III Vecais	Miecislao III el Viejo
Pšemisls II Pjasts	Premislao II de Polonia
Staņislavs Poņatovskis	Estanislao II Poniatowski
Staņislavs Leščiņskis	Estanislao I Leszczynski
Stefans Batorijs	Esteban I Báthory
Vāclavs III	Wenceslao III de Bohemia
Mihals Koributs Višņoveckis	Miguel Korybut Wisniowiecki
Vladislavs I Hermanis	Vladislao I Herman
Vladislavs I Elkonītis	Vladislao I de Polonia
Jagailis	Vladislao II de Polonia
Paugurs	Cerro
Vladislavs II Trimdinieks	Vladislao II el Desterrado
Vladislavs III Tievkājis	Vladislao III Piernas Largas
Vladislavs III Varnietis	Vladislao III Jagellón
Vladislavs IV Vāsa	Vladislao IV Vasa
Sigismunds I Vecais	Segismundo I Jagellón el Viejo
Sigismunds II Augusts	Segismundo II Augusto Jagellón
Kategorija:Karaļi	Categoría:Reyes
Isaks Kvenka	Isaac Cuenca
Kategorija:Monarhi	Categoría:Monarcas
Kategorija:Monarhija	Categoría:Monarquía
Kategorija:Valsts pārvaldes formas	Categoría:Formas de estado
Kategorija:Valdība	Categoría:Gobierno
IKEA	IKEA
Kategorija:Mīlestība	Categoría:Amor
Hosē Kaljehons	José Callejón
Sāmi Hedīra	Sami Khedira
ASV Kapitolijs	Capitolio de los Estados Unidos
Korintiskais orderis	Orden corintio
Starptautiskā Darba organizācija	Organización Internacional del Trabajo
Lejassilēzijas vojevodiste	Voivodato de Baja Silesia
Kujāvijas-Pomožes vojevodiste	Voivodato de Cuyavia y Pomerania
Ļubļinas vojevodiste	Voivodato de Lublin
Lubušas vojevodiste	Voivodato de Lubusz
Lodzas vojevodiste	Voivodato de Łódź
Mazpolijas vojevodiste	Voivodato de Pequeña Polonia
Dž. P. Morgans	J. P. Morgan
Mazovijas vojevodiste	Voivodato de Mazovia
Opoles vojevodiste	Voivodato de Opole
General Electric	General Electric
Piekarpatu vojevodiste	Voivodato de Subcarpacia
Podlases vojevodiste	Voivodato de Podlaquia
Pomožes vojevodiste	Voivodato de Pomerania
Silēzijas vojevodiste	Voivodato de Silesia
Sventokšiskas vojevodiste	Voivodato de Santa Cruz
Varmijas-Mazūrijas vojevodiste	Voivodato de Varmia y Masuria
Lielpolijas vojevodiste	Voivodato de Gran Polonia
Rietumpomožes vojevodiste	Voivodato de Pomerania Occidental
Kategorija:Kujāvijas-Pomožes vojevodiste	Categoría:Voivodato de Cuyavia y Pomerania
Kategorija:Ļubļinas vojevodiste	Categoría:Voivodato de Lublin
Likvors	Líquido cefalorraquídeo
Kategorija:Lubušas vojevodiste	Categoría:Voivodato de Lubusz
Kategorija:Mazovijas vojevodiste	Categoría:Voivodato de Mazovia
Kategorija:Mazpolijas vojevodiste	Categoría:Voivodato de Pequeña Polonia
Kategorija:Opoles vojevodiste	Categoría:Voivodato de Opole
Kategorija:Piekarpatu vojevodiste	Categoría:Voivodato de Subcarpacia
Kategorija:Podlases vojevodiste	Categoría:Voivodato de Podlaquia
Kategorija:Pomožes vojevodiste	Categoría:Voivodato de Pomerania
Kategorija:Varmijas-Mazūrijas vojevodiste	Categoría:Voivodato de Varmia y Masuria
Kategorija:Rietumpomožes vojevodiste	Categoría:Voivodato de Pomerania Occidental
Kategorija:Lodzas vojevodiste	Categoría:Voivodato de Łódź
Kategorija:Silēzijas vojevodiste	Categoría:Voivodato de Silesia
Osmoze	Ósmosis
Karību jūras pirāti: Pasaules malā	Piratas del Caribe: en el fin del mundo
ROSAT	ROSAT
Kriss Hemsvorts	Chris Hemsworth
RazakSAT	RazakSAT
Ska	Ska
Atlantis	Transbordador espacial Atlantis
Discovery (kosmoplāns)	Transbordador espacial Discovery
Tritijs	Tritio
XaTcobeo	Xatcobeo
2000. gada Brazīlijas Grand Prix	Anexo:Gran Premio de Brasil de 2000
2008. gada Brazīlijas Grand Prix	Anexo:Gran Premio de Brasil de 2008
2010. gada Brazīlijas Grand Prix	Anexo:Gran Premio de Brasil de 2010
2011. gada Brazīlijas Grand Prix	Anexo:Gran Premio de Brasil de 2011
2012. gada Brazīlijas Grand Prix	Anexo:Gran Premio de Brasil de 2012
Kumanova	Kumanovo
Veidne:Likumdevēja infokaste	Plantilla:Ficha de parlamento
Billija Džīna Kinga	Billie Jean King
Martina Navrātilova	Martina Navratilova
Endijs Rodiks	Andy Roddick
Visbija	Visby
Amfiteātris	Anfiteatro
Semantiskais tīmeklis	Web semántica
SPARQL	SPARQL
Resursu aprakstīšanas ietvars	Resource Description Framework
Kvenkas province	Provincia de Cuenca
Albasetes province	Provincia de Albacete
FC Barcelona (basketbola klubs)	Fútbol Club Barcelona (baloncesto)
Sankristovala de la Laguna	San Cristóbal de La Laguna
Badalonas @@@u0026Joventut"	Club Joventut de Badalona
Malagas @@@u0026Unicaja"	Club Baloncesto Málaga
Virtuālā starptautiskā autoritatīvā datne	Fichero de Autoridades Virtual Internacional
Madrides @@@u0026Real@@@u0026 (basketbols)	Real Madrid de Baloncesto
Gvadalaharas province	Provincia de Guadalajara
Vitorijas @@@u0026Caja Laboral"	Saski Baskonia
Toledo province	Provincia de Toledo
Sjudadrealas province	Provincia de Ciudad Real
Alakantas province	Provincia de Alicante
Valensijas province	Provincia de Valencia
Kastelo province	Provincia de Castellón
Tervelas province	Provincia de Teruel
FK Baku	FK Baku
Kurts Veils	Kurt Weill
Kšištofs Keslovskis	Krzysztof Kieślowski
Pedro Almodovars	Pedro Almodóvar
Sanita Viljamsa	Sunita Williams
Stefānija Vilsone	Stephanie Wilson
Saragosas province	Provincia de Zaragoza
Veskas province	Provincia de Huesca
Dziga Vertovs	Dziga Vértov
Ņikita Mihalkovs	Nikita Mijalkov
Abāss Kijārostamī	Abbas Kiarostami
Alehandro Gonsaless Injaritu	Alejandro González Iñárritu
Aleksandrs Korda	Alexander Korda
Lorenss Olivjē	Laurence Olivier
Deivids Līns	David Lean
Palensijas province	Provincia de Palencia
Burgosas province	Provincia de Burgos
Sorijas province	Provincia de Soria
Segovijas province	Provincia de Segovia
Avilas province	Provincia de Ávila
Kategorija:Komēdijas	Categoría:Películas cómicas
Kategorija:Filmas pēc valsts	Categoría:Películas por país
Kategorija:Filmas	Categoría:Películas
Kategorija:Filmas pēc režisora	Categoría:Películas por director
Kategorija:Filmas pēc studijas	Categoría:Películas por productora
Klods Šabrols	Claude Chabrol
Hajao Mijadzaki	Hayao Miyazaki
Vims Venderss	Wim Wenders
F. V. Murnavs	Friedrich Wilhelm Murnau
Lenija Rīfenštāle	Leni Riefenstahl
Klauss Kinskis	Klaus Kinski
Deivids Kronenbergs	David Cronenberg
Mikelandželo Antonioni	Michelangelo Antonioni
Elektromagnētiskā lauka potenciāls	Potencial eléctrico
Vitorio Gasmans	Vittorio Gassman
Marčello Mastrojāni	Marcello Mastroianni
Dzelzceļa stacija	Estación de ferrocarril
Jaludzjana	Río Yalu
Novisada	Novi Sad
Spice Girls	Spice Girls
Vikipēdija:Mediju publikācijas	Wikipedia:Reseñas periodísticas sobre Wikipedia
Canon AE-1	Canon AE-1
Pieturas punkts	Apeadero
Need For Speed (sērija)	Need for Speed
Active Directory	Active Directory
Aleksandrs Kvasņevskis	Aleksander Kwaśniewski
Astrida Lindgrēna	Astrid Lindgren
Opra Vinfrija	Oprah Winfrey
Jaunzēlandes regbija izlase	Selección de rugby de Nueva Zelanda
Albatrosi	Diomedeidae
Jūras putns	Ave marina
Paleogēns	Paleógeno
Krīta-terciāra masveida izmiršana	Extinción masiva del Cretácico-Terciario
Čikšulubas krāteris	Cráter de Chicxulub
Antarktikas cirkumpolārā straume	Corriente Circumpolar Antártica
Kategorija:Polijas prezidenti	Categoría:Presidentes de Polonia
Polijas prezidenti	Anexo:Presidentes de Polonia
Boļeslavs Beruts	Bolesław Bierut
Superkontinents	Supercontinente
Vojcehs Jaruzeļskis	Wojciech Jaruzelski
Rišards Kačorovskis	Ryszard Kaczorowski
Gabriels Narutovičs	Gabriel Narutowicz
Staņislavs Vojcehovskis	Stanisław Wojciechowski
Kategorija:Polijas premjerministri	Categoría:Primeros ministros de Polonia
Jans Beleckis	Jan Krzysztof Bielecki
Ježijs Buzeks	Jerzy Buzek
Jaroslavs Kačiņskis	Jarosław Kaczyński
Kazimežs Marcinkevičs	Kazimierz Marcinkiewicz
Tadeušs Mazoveckis	Tadeusz Mazowiecki
Hyundai Motor Group	Hyundai Motor Company
Ogists un Luī Limjēri	Hermanos Lumière
Kabriolets	Descapotable
Ridlijs Skots	Ridley Scott
Tims Bērtons	Tim Burton
Džina Lollobridžida	Gina Lollobrigida
Bundesvērs	Bundeswehr
Ketrina Hepbērna	Katharine Hepburn
Vācijas kanclers	Canciller de Alemania
Rietumberlīne	Berlín Oeste
Vācijas atkalapvienošana	Reunificación alemana
Frānsiss Fords Kopola	Francis Ford Coppola
Brāļi Koeni	Hermanos Coen
Stiprie spirtotie dzērieni	Bebida destilada
Žoržs Bizē	Georges Bizet
Līze Meitnere	Lise Meitner
24 (seriāls)	24 (serie de televisión)
