Afríka	África
Heroes	Héroes (serie de televisión)
Timişoara	Timișoara
Verksmiðja	Fábrica
Spartacus	Espartaco
Mons	Mons
Cary Grant	Cary Grant
Normannar	Normandos
Megadeth	Megadeth
Kántrítónlist	Country
1441-1450	Años 1440
John Terry	John George Terry
Old Trafford	Old Trafford
Ólympískar lyftingar	Halterofilia
Veigrunarorð	Eufemismo
Judas Priest	Judas Priest
Goshver	Géiser
Grúpa	Grupo (matemática)
Nándarstaða og firðstaða	Ápside
Ígulker	Echinoidea
Mesut Özil	Mesut Özil
Gary Oldman	Gary Oldman
Fylkið	The Matrix
Kerberos	Cerbero
Rushmore-fjall	Monte Rushmore
Aleksandr Prokhorov	Aleksandr Prójorov
Efnaverkfræði	Ingeniería química
Marattaveldið	Imperio maratha
Jahangir	Jahangir
Shah Jahan	Sha Jahan
Beinvefur	Tejido óseo
Ealing	Barrio de Ealing (Londres)
Berbrjósta	Topless
Sassanídar	Imperio sasánida
Bakskautslampi	Tubo de rayos catódicos
Jawi	Jawi
Þróun mannsins	Evolución humana
Hórus	Horus
Gouda	Gouda
Heilakúpudýr	Craniata
Natascha Kampusch	Natascha Kampusch
Veronica Lake	Veronica Lake
Ludwig von Mises	Ludwig von Mises
Peter L. Berger	Peter L. Berger
Himinhvolfshnitakerfi	Coordenadas celestes
Ofviðrið	La tempestad (teatro)
Alexander Litvinenko	Aleksandr Litvinenko
Handrit	Manuscrito
Stóru vötnin	Grandes Lagos de África
Aftur til framtíðar	Back to the Future
Opole	Opole
Flokkur:Strikamerki	Categoría:Códigos de barras
Snið:Bókaheimild	Plantilla:Cita libro
FLCL	FLCL
Sid Meier	Sid Meier
Paul Baran	Paul Baran
Peter Naur	Peter Naur
Lísa í Undralandi	Las aventuras de Alicia en el país de las maravillas
John Backus	John Backus
Claude Shannon	Claude Elwood Shannon
Sergey Brin	Serguéi Brin
Ólífuolía	Aceite de oliva
Milan Kundera	Milan Kundera
Gaia	Gea
Selevkídaveldið	Imperio seléucida
Ehud Olmert	Ehud Ólmert
Teikning	Dibujo
Errol Flynn	Errol Flynn
Egg (matvæli)	Huevo (alimento)
Kynjamismunun	Sexismo
Túlipani	Tulipa
Heimildarmynd	Documental
Stiklutexti	Hipertexto
Litlu-Antillaeyjar	Antillas Menores
Eiði	Istmo
Blágerlar	Cyanobacteria
Sjómíla	Milla náutica
Chrzanów	Chrzanów
Juan Perón	Juan Domingo Perón
Appalachiafjöll	Apalaches
Íslenski fáninn	Bandera de Islandia
Miles Davis	Miles Davis
Hornafall	Función trigonométrica
Mostar	Mostar
Strönd	Costa
F. Scott Fitzgerald	F. Scott Fitzgerald
Seamus Heaney	Seamus Heaney
Friedrich Waismann	Friedrich Waismann
Tannhirða	Cepillado dental
Ernst Mach	Ernst Mach
Alfred Schütz	Alfred Schütz
Oskar Morgenstern	Oskar Morgenstern
Paul Lazarsfeld	Paul Felix Lazarsfeld
Grand Theft Auto 2	Grand Theft Auto 2
Rose Marie	Rose Marie
Weierstrassfall	Función de Weierstrass
Grand Theft Auto: Vice City	Grand Theft Auto: Vice City
Sólblómaolía	Aceite de girasol
Friðrik 7. Danakonungur	Federico VII de Dinamarca
James Caan	James Caan
Olivia de Havilland	Olivia de Havilland
Joan Fontaine	Joan Fontaine
James L. Brooks	James L. Brooks
Svepprót	Micorriza
F-16 Fighting Falcon	Lockheed Martin F-16 Fighting Falcon
Beint líknardráp	Eutanasia
Orkneyjar	Orcadas
Cluj-Napoca	Cluj-Napoca
Öglir	Archaeopteryx
Rachel Carson	Rachel Carson
Pund (mælieining)	Libra (unidad de masa)
Blóðflaga	Plaqueta
Bahá'u'lláh	Baha'ullah
Yasuo Fukuda	Yasuo Fukuda
Upphafsstafaheiti	Acrónimo
Innósentíus 10.	Inocencio X
Frumdýr	Protozoo
Innósentíus 11.	Inocencio XI
Alexander 8.	Alejandro VIII
Tímabil sýnilegs lífs	Eón Fanerozoico
Lillehammer	Lillehammer
Ættarnafn	Apellido
Homo erectus	Homo erectus
Hæfimenn	Homo habilis
Hinrik 1. Englandskonungur	Enrique I de Inglaterra
Massatala	Número másico
Svínaflensufaraldurinn 2009	Pandemia de gripe A (H1N1) de 2009-2010
Rastafari	Movimiento rastafari
Predore	Predore
Estri	Éster
Wieluń	Wieluń
Þeba (Egyptalandi)	Tebas (Egipto)
Ólympsguðir	Dioses olímpicos
Mary Wollstonecraft	Mary Wollstonecraft
Sterkeind	Hadrón
Ryksuga	Aspiradora
Altari	Altar
Benoît Mandelbrot	Benoît Mandelbrot
Villa d'Adda	Villa d'Adda
Rennilás	Cremallera (indumentaria)
Fáni Gabon	Bandera de Gabón
Snjóhús	Iglú
Kalvínismi	Calvinismo
Gregor 8.	Gregorio VIII
Ólígósentímabilið	Oligoceno
Apeldoorn	Apeldoorn
Húgenottar	Hugonotes
Möttull	Manto terrestre
Tilraun	Experimento
Varta	Verruga
Lífbelti	Bioma
Vilhjálmur 2. Englandskonungur	Guillermo II de Inglaterra
Ronald Ross	Ronald Ross
Venus	Venus
Viðskeyti	Sufijo
Gorgónurnar	Gorgona
Siglingafræði	Navegación marítima
Tove Jansson	Tove Jansson
Pascal	Pascal
Báxít	Bauxita
Riddari	Caballero
Margrét Þórhildur	Margarita II de Dinamarca
Hinrik 2. Englandskonungur	Enrique II de Inglaterra
Staðalaðstæður	Condiciones normales de presión y temperatura
Flúorít	Fluorita
Kjarneind	Nucleón
Limburgíska	Idioma limburgués
Alþjóða skáksambandið	Federación Internacional de Ajedrez
Ferskvatn	Agua dulce
Kvikefni	Fluido
Harry Potter og Fönixreglan (kvikmynd)	Harry Potter y la Orden del Fénix (película)
Harry Potter og leyniklefinn (kvikmynd)	Harry Potter y la cámara secreta (película)
Buckminster Fuller	Richard Buckminster Fuller
Tvívetni	Deuterio
Kielce	Kielce
Snorri Sturluson	Snorri Sturluson
The Pussycat Dolls	Pussycat Dolls
Oktoberfest	Oktoberfest
Nýlífsöld	Era Cenozoica
Harry Potter og viskusteinninn (kvikmynd)	Harry Potter y la piedra filosofal (película)
Apar	Hominoidea
Evangelista Torricelli	Evangelista Torricelli
Prestakall	Parroquia (religión)
Atlas	Atlas
Robert Falcon Scott	Robert Falcon Scott
Tvíhljóð	Diptongo
Undirfylki	Compañía (milicia)
Bekerel	Becquerel
Mikhail Tal	Mijaíl Tal
Gazprom	Gazprom
Númidía	Numidia
Dennis Hopper	Dennis Hopper
Sambuca Pistoiese	Sambuca Pistoiese
Miðeind	Mesón
Dr. No (kvikmynd)	Dr. No (película)
Vítissódi	Hidróxido de sodio
Skammstöfun	Abreviatura
Málmgrýti	Mena (minería)
Reiptog	Juego de la soga
Boethíus	Boecio
Harriet Tubman	Harriet Tubman
Piktar	Pictos
Andrómeda	Andrómeda
Eldfjallafræði	Vulcanología
Evrópukeppnin í knattspyrnu 2004	Eurocopa 2004
Fáni Malaví	Bandera de Malaui
Júlíus 1.	Julio I
Michel Houellebecq	Michel Houellebecq
Fræfill	Estambre
Háræð	Capilar sanguíneo
Ábóti	Abad
Heilkenni alvarlegrar bráðrar lungnabólgu	Síndrome respiratorio agudo grave
Greinir	Artículo (gramática)
Samvægi	Homeostasis
Hematít	Hematita
Sívert	Sievert
Bændaánauð	Servidumbre
Íó	Ío
V for Vendetta	V de Vendetta
2001: Geimævintýraferð	2001: A Space Odyssey (película)
Bar (þrýstingur)	Bar (unidad de presión)
Germaine Greer	Germaine Greer
Skákbyrjun	Apertura (ajedrez)
Fákeppni	Oligopolio
Rovaniemi	Rovaniemi
Hafnarfjörður	Hafnarfjörður
Ravi Shankar	Ravi Shankar (músico)
Tökuorð	Préstamo lingüístico
Frumbyggjar	Indígena
Blóðfræði	Hematología
Peter O'Toole	Peter O'Toole
Alec Guinness	Alec Guinness
Forkambríum	Precámbrico
Neógentímabilið	Neógeno
Kiefer Sutherland	Kiefer Sutherland
Buster Keaton	Buster Keaton
Semíramis	Semíramis
Klíó	Clío
Kallíópa	Calíope
Sólmiðjukenningin	Teoría heliocéntrica
Lauren Bacall	Lauren Bacall
Fána	Fauna
Svipfar	Fenotipo
Steve Buscemi	Steve Buscemi
Tala (málfræði)	Número gramatical
Molde	Molde (Møre og Romsdal)
Andre Geim	Andre Geim
Mary Pickford	Mary Pickford
Hýdroxýl	Grupo hidroxilo
Pulp Fiction	Pulp Fiction
Frumlífsöld	Eón Proterozoico
Listi stærstu eyja heims	Anexo:Islas por superficie y población
Lillian Gish	Lillian Gish
Englar	Anglos
Mel Brooks	Mel Brooks
Bábinn	Báb
Sjóminjasafn Rúðuborgar	Museo Marítimo, Fluvial y Portuario de Ruan
Kirkja sjöunda dags aðventista	Iglesia Adventista del Séptimo Día
Kolsýra	Ácido carbónico
Steðji	Yunque
Zgierz	Zgierz
Gallienus	Galieno
Reikistjörnufræði	Ciencias planetarias
Björn Borg	Björn Borg
Pommern	Pomerania
Gagnihessou	Gangnihessou
Jack W. Szostak	Jack Szostak
Andrew Huxley	Andrew Fielding Huxley
Eyrarsund	Oresund
Plebeiar	Plebe
Aktínólít	Actinolita
Płock	Płock
Radom	Radom
Ósamþátta	Números primos entre sí
Beitiskip	Crucero
Fastbúnaður	Firmware
Michael Collins (geimfari)	Michael Collins (astronauta)
Caspar David Friedrich	Caspar David Friedrich
Norman Foster	Norman Foster
Gabriel Fauré	Gabriel Fauré
Frumkraftur	Interacciones fundamentales
RFID	RFID
Langhlið	Hipotenusa
Beslan	Beslán
Mari Kiviniemi	Mari Kiviniemi
Mersía	Reino de Mercia
Jafnaðarmannaflokkurinn (Svíþjóð)	Partido Socialdemócrata Sueco
Sidney Sheldon	Sidney Sheldon
Heitur reitur	Punto caliente (geología)
Sexfætlur	Hexapoda
Sojourner Truth	Sojourner Truth
Dan Aykroyd	Dan Aykroyd
Stórmeistari (skák)	Gran Maestro Internacional
Praxiteles	Praxíteles
Etoumbi	Etoumbi
Granat	Granate (mineral)
Vatnspípa	Narguile
Spöng (æxlunarfæri)	Periné
Hárkolla	Peluca
Djassbræðingur	Jazz fusión
Ísalt	Agua salobre
Die Hard	Die Hard
Vogunarsjóður	Fondo de cobertura
Holly Hunter	Holly Hunter
Hlaup	Carrera a pie
CD	CD (desambiguación)
Þungmálmur	Metal pesado
Ljósafl	Luminosidad
Gröftur	Pus
Maurice Allais	Maurice Allais
La Gomera	La Gomera
Dómsvald	Poder judicial
Friedwardt Winterberg	Friedwardt Winterberg
Die Hard 2	Die Hard 2
Patrick Süskind	Patrick Süskind
Flutningaskip	Buque de carga
Aðfangadagur	Nochebuena
Arfgerð	Genotipo
Aríus	Arrio
Skjálftamiðja	Epicentro
Lafði Godiva	Lady Godiva
Norræn tungumál	Lenguas nórdicas
Skápur	Armario
Evrópuvegur	Carreteras europeas
Svartrotta	Rattus rattus
Standard & Poor's	Standard & Poor's
Lars Ulrich	Lars Ulrich
Gallastríðið (Caesar)	De bello Gallico
Jean-Paul Belmondo	Jean-Paul Belmondo
Stargard Szczeciński	Stargard Szczeciński
Skírdagur	Jueves Santo
Júra (aðgreining)	Jura
Útey	Utøya
The Cardigans	The Cardigans
Þrípunktur	Punto triple
ISO 3166	ISO 3166
Gérard Depardieu	Gérard Depardieu
Skortstaða	Venta corta
Wrangeleyja	Isla de Wrangel
Kimbrar	Cimbros
Áfir	Suero de mantequilla
Steinn, skæri, blað	Piedra, papel o tijera
Fleetwood Mac	Fleetwood Mac
Skosku hálöndin	Tierras Altas de Escocia
John Lydon	John Lydon
Únítarismi	Unitarismo
Kolefnisflokkur	Carbonoideos
Ivar Aasen	Ivar Aasen
Saxo Grammaticus	Saxo Grammaticus
Die Hard with a Vengeance	Die Hard: With a Vengeance
Ísafjörður (Skutulsfirði)	Ísafjörður
Strängnäs	Strängnäs
Columbus	Columbus
Jamie Lee Curtis	Jamie Lee Curtis
Götungar	Foraminifera
Chris O'Donnell	Chris O'Donnell
Mary Harris Jones	Mary Harris
Eldfjallaaska	Ceniza volcánica
Fredrikstad	Fredrikstad
George Grosz	George Grosz
The Bourne Ultimatum	The Bourne Ultimatum
Konungsríkið Norðymbraland	Reino de Northumbria
Rökhenda	Silogismo
Manuel Neuer	Manuel Neuer
Þingvellir	Þingvellir
Skíð	Skye
County Leitrim	Condado de Leitrim
Akranes	Akranes
Rosalyn Sussman Yalow	Rosalyn Yalow
Gildisrafeind	Electrón de valencia
Landslag	Paisaje
Anjou	Ducado de Anjou
Ketill	Caldera (cocina)
Klóelfting	Equisetum arvense
Vopnahlé	Armisticio
Ljósflæði	Flujo luminoso
Amalþeia	Amaltea (mitología)
Drottningarbragð	Gambito de dama
Jim Belushi	Jim Belushi
Eris	Eris
Contra Costa	Condado de Contra Costa
Solano County	Condado de Solano
El Dorado County	Condado de El Dorado
Napa County	Condado de Napa
Staðhæfing	Proposición
Navajó indíánar	Navajo
Doutzen Kroes	Doutzen Kroes
Heiðhvolf	Estratosfera
Rhea	Rea
Bogfimi	Tiro con arco
Yotta	Yotta
The Proposal	The Proposal
Grískir tölustafir	Numeración griega
Eddukvæði	Edda
Austurgermönsk tungumál	Lenguas germánicas orientales
Gosberg	Roca volcánica
Smækkunarending	Diminutivo
Draugabanar	Los cazafantasmas
Lönd eftir landsframleiðslu á mann (nafnvirði)	Anexo:Países por PIB (nominal) per cápita
Viktor Dyk	Viktor Dyk
A Momentary Lapse of Reason	A Momentary Lapse of Reason
Eldgígur	Cráter volcánico
Sexliðaháttur	Hexámetro
Renato Dulbecco	Renato Dulbecco
Cornelius Nepos	Cornelio Nepote
Tibullus	Tibulo
Hannibal	Hannibal (desambiguación)
Anthrax	Anthrax
Dúett	Dúo
Alþýðuskýring	Etimología popular
Łowicz	Łowicz
Kołobrzeg	Kołobrzeg
Tvítala	Número dual
Fuglarnir (kvikmynd)	Los pájaros
Marshall Warren Nirenberg	Marshall Warren Nirenberg
Vanilla Sky	Vanilla Sky
Fram (skip)	Fram (buque)
Tívolíið í Kaupmannahöfn	Jardines de Tivoli
Jan Pieterszoon Sweelinck	Jan Pieterszoon Sweelinck
Ansgar	Óscar (santo)
Pípuhattur	Sombrero de copa alta
Blýeitrun	Saturnismo
Dancer in the Dark	Dancer in the Dark
Enskur leikur	Apertura inglesa
Eintala	Singular
Skammhlið	Cateto
Miðflokkurinn (Svíþjóð)	Partido del Centro (Suecia)
Hægriflokkurinn (Svíþjóð)	Partido de la Coalición Moderada (Suecia)
Hringaríki	Ringerike
Frjálslyndi flokkurinn (Svíþjóð)	Partido Popular Liberal
Gerry Rafferty	Gerry Rafferty
Koichi Tanaka	Kōichi Tanaka
Koparkís	Calcopirita
Guffi	Goofy
Prestastefna	Concilio
Djöflatað	Ferula assafoetida
Holtsetaland	Holstein
Geoffrey Plantagenet	Godofredo V de Anjou
Marskálkur	Mariscal
Landamæralaust land	País insular
Joey King	Joey King
Rómanovættin	Dinastía Romanov
Saga Bretlands	Historia del Reino Unido
Carlsberg	Carlsberg
Kynjajafnrétti	Igualdad de género
Conchita Wurst	Conchita Wurst
Rudolf Simek	Rudolf Simek
Matthew Fontaine Maury	Matthew Fontaine Maury
Janel Moloney	Janel Moloney
Glimmer	Mica
Akmeð 1.	Ahmed I
Rotvera	Saprotrofia
Minnihlutastjórn	Gobierno en minoría
Sextugakerfi	Sistema sexagesimal
Loïc Remý	Loïc Rémy
Toppskarfur	Phalacrocorax aristotelis
Arnó	Arno
Moritz Leuenberger	Moritz Leuenberger
Dakota Fanning	Dakota Fanning
Eiginlegir þrestir	Turdus
Forgangsröðunaraðferðin	Voto único transferible
Sjóflugvél	Hidroavión
Grbavica (kvikmynd)	Grbavica (película)
Orlof	Vacaciones
Alex Borstein	Alex Borstein
Friðarsúlan	Torre Imagina la Paz
Viðey	Viðey
Krufning	Disección
Esjan	Esja
Opið menntaefni	Recursos educativos abiertos
Ríma	Rímur
Lífræn meindýraeyðing	Control biológico
Langanes	Langanes
Yoko Ono	Yoko Ono
Santiago de Cuba	Santiago de Cuba
Svartfjallaland í Söngvakeppni evrópskra sjónvarpsstöðva	Montenegro en el Festival de la Canción de Eurovisión
Innsetningarröðun	Ordenamiento por inserción
Demosþenes	Demóstenes
CSI: Crime Scene Investigation	CSI: Crime Scene Investigation
Josh Stewart	Josh Stewart
Flasa	Caspa
Mary McDonnell	Mary McDonnell
Beverly Hills 90210	Beverly Hills, 90210
Játvarður útlagi	Eduardo el Exiliado
Viseu	Viseu
Alþjóðlegi náttúruverndarsjóðurinn	Fondo Mundial para la Naturaleza
Vingjarnlegar tölur	Números amigos
Útsending	Transmisión (telecomunicaciones)
Bendir	Puntero (informática)
Ratatoskur	Ratatösk
ATTAC samtökin	Attac
Miklagljúfur	Gran Cañón
Félagseyjar	Islas de la Sociedad
Leuven	Lovaina
Menandros	Menandro
Ferlaufungur	Paris quadrifolia
Miðaldafræði	Medievalismo
Júlísku Alparnir	Alpes julianos
Aleuteyjar	Islas Aleutianas
Vera og neind: fyrirbærafræðileg ritgerð um verufræði	El ser y la nada
Beiting (siglingar)	Ángulos del viento
Leðurskjaldbaka	Dermochelys coriacea
Venetian Snares	Venetian Snares
Purrkur Pillnikk	Purrkur Pillnikk
Jeanne Tripplehorn	Jeanne Tripplehorn
Johannes Scolvus	Juan Scolvus
Meishō	Emperatriz Meishō
Algildi	Valor absoluto
Aðfeldi	Factorial
Ofurtölva	Supercomputadora
Gári	Melopsittacus undulatus
Páskahald gyðinga	Pésaj
Stökkull (sameindalíffræði)	Transposón
Þvottabjörn	Procyon lotor
Prófessor	Profesor
Samlífi	Simbiosis
Paul Pierce	Paul Pierce
Nálastungulækningar	Acupuntura
Áhlaðandi	Marejada ciclónica
Gasrisi	Gigante gaseoso
Los Angeles Lakers	Los Angeles Lakers
Sendiherra	Embajador
Hilary Duff	Hilary Duff
Vodafone	Vodafone
Rómversk goðafræði	Mitología romana
Stóri kampalampi	Pandalus borealis
Tekíla	Tequila
Getnaðarvörn	Método anticonceptivo
Herakles	Heracles
Cornelis B. van Niel	Cornelius Bernardus van Niel
Carlo Maderno	Carlo Maderno
Albert Hofmann	Albert Hofmann
Daniel Bernoulli	Daniel Bernoulli
Ockelbo	Ockelbo
Jakob Bernoulli	Jakob Bernoulli
Hreisturdýr	Squamata
Evrópufáninn	Bandera europea
Tregða	Inercia
Karl 2. Englandskonungur	Carlos II de Inglaterra
Eau Claire, Wisconsin	Eau Claire (Wisconsin)
Helsingjabotn	Golfo de Botnia
Hrói höttur	Robin Hood
Talnakerfi	Sistema de numeración
Rósmarín	Rosmarinus officinalis
William Thomson	William Thomson
Laxdæla saga	Saga de Laxdœla
Mannréttindadómstóll Evrópu	Tribunal Europeo de Derechos Humanos
Sænsk króna	Corona sueca
Rókokó	Rococó
Raðhverfa	Anagrama
Hans Küng	Hans Küng
Palmyraeyja	Atolón Palmyra
Gullfiskur	Carassius auratus
Ammoníos Hermíasarson	Amonio de Hermia
Vanessa Hudgens	Vanessa Hudgens
Pólskt slot	Złoty
Tálknmunnar	Cephalochordata
Francis Crick	Francis Crick
Agat	Ágata (mineral)
Suðureyjar	Islas Hébridas
Ríkið (Platon)	República (Platón)
Streita	Estrés
Aðalsveldi	Aristocracia
Sinclair Lewis	Sinclair Lewis
Landlukt land	Estado sin litoral
Uppfinning	Invento
Útdauði	Extinción
Sólstöður	Solsticio
Öskudagur	Miércoles de Ceniza
Kjarnsýra	Ácido nucleico
Hverfi	Barrio
Dundee	Dundee
Hyde Park, London	Hyde Park
Samtök Ameríkuríkja	Organización de los Estados Americanos
Marquis de Sade	Marqués de Sade
Konunglega breska vísindafélagið	Royal Society
Gresja	Estepa
Hljóðhraði	Velocidad del sonido
Loftslagsbelti	Clasificación climática de Köppen
Niels Henrik Abel	Niels Henrik Abel
Riðstraumur	Corriente alterna
Kiss	Kiss
Mayfair	Mayfair
Amanz Gressly	Amanz Gressly
Keilusnið	Sección cónica
Áttarhorn	Acimut
Skipakví	Dársena
Rafleiðari	Conductor eléctrico
Artúr	Arthur
Járntjaldið	Cortina de Hierro
Þvottavél	Lavadora
Dagur jarðar	Día de la Tierra
Ofbeldi	Violencia
Georgy Zhukov	Gueorgui Zhúkov
Vax	Cera
Ölkelda (uppspretta)	Manantial
Uppreisn	Rebelión
Tíjúana	Tijuana
Óeirðir	Disturbio
Mindanao	Mindanao
Umskeyti	Circunfijo
Púnversku stríðin	Guerras púnicas
Uma Thurman	Uma Thurman
Júnó	Juno (mitología)
Manhattanbrúin	Puente de Manhattan
Richard Francis Burton	Richard Francis Burton
Vaasa	Vaasa
John Hanning Speke	John Hanning Speke
Salma Hayek	Salma Hayek
Aretha Franklin	Aretha Franklin
Kratýlos	Crátilo
William James	William James
Tsjadvatn	Lago Chad
Mandarína	Citrus reticulata
Sög	Sierra (herramienta)
Kolmónoxíðeitrun	Intoxicación por monóxido de carbono
Lúson	Luzón
Pompeius	Cneo Pompeyo Magno
Sjávarmál	Nivel del mar
Soratal	Coprolalia
Imam	Imán (religión)
Parmenídes	Parménides de Elea
Papýrus	Papiro
Verrazano-Narrows-brúin	Puente de Verrazano-Narrows
Ehud Barak	Ehud Barak
Listi yfir rómverska keisara	Anexo:Emperadores romanos
Alþjóðaflugmálastofnunin	Organización de Aviación Civil Internacional
Albertsvatn	Lago Alberto (África)
Edward Norton	Edward Norton
Vigurrúm	Espacio vectorial
Fjarlægð	Distancia
Swift-Tuttle	109P/Swift-Tuttle
Íranska byltingin	Revolución iraní
Saint-Martin	San Martín (Francia)
Biblíulandasafnið	Museo Tierras de la Biblia
Jakob 2. Englandskonungur	Jacobo II de Inglaterra
Minesweeper	Buscaminas
Plymouth-nýlendan	Colonia de Plymouth
Landvinningamaður	Conquistadores españoles
Wolverhampton	Wolverhampton
Eisenstadt	Eisenstadt
Warner Bros.	Warner Bros.
Eric Szmanda	Eric Szmanda
Thomas Paine	Thomas Paine
.so	.so
Filippo Inzaghi	Filippo Inzaghi
Steve Irwin	Steve Irwin
Jafnstæð og oddstæð föll	Paridad de una función
Hannah Montana	Hannah Montana
Sacavém	Sacavém
Meðgöngusykursýki	Diabetes mellitus gestacional
Gagnhyggja	Pragmatismo
Smásala	Minorista
Happy Feet	Happy Feet
Leikskóli	Educación preescolar
Mínerva	Minerva
Lokalausnin	Solución final
Garmisch-Partenkirchen	Garmisch-Partenkirchen
Manhattan-verkefnið	Proyecto Manhattan
Fólínsýra	Ácido fólico
Uppköst	Vómito
Fáni Tékklands	Bandera de la República Checa
Skallaörn	Haliaeetus leucocephalus
Frjóvgun	Fecundación
Alexander 7.	Alejandro VII
Geisluggar	Actinopterygii
Charlotte Brontë	Charlotte Brontë
Hringadróttinssaga: Föruneyti hringsins	El Señor de los Anillos: la Comunidad del Anillo
Blek	Tinta
Victoria Silvstedt	Victoria Silvstedt
Allianz Arena	Allianz Arena
Konstantín Tsjernenkó	Konstantín Chernenko
Trypsín	Tripsina
Persónustyrkleikar og dyggðir	Character Strengths and Virtues
Sæbjúgu	Holothuroidea
Ashley Tisdale	Ashley Tisdale
Þættir Chuck	Anexo:Episodios de Chuck
Jónsbók	Jónsbók
Pixar	Pixar
Borrar	Perciformes
Vestur-Noregur	Vestlandet
Vantaa	Vantaa
Vitus Bering	Vitus Bering
Steikarpanna	Sartén
Þrændalög	Trøndelag
Sifjaspell	Incesto
Abby Brammell	Abby Brammell
Safabóla	Vacuola
Rósastríðin	Guerra de las Dos Rosas
Orrustuflugvél	Avión de caza
Nýi heimurinn	Nuevo Mundo
Fimmhyrningur	Pentágono
Laktósi	Lactosa
Sjálfstæðisyfirlýsing Bandaríkjanna	Declaración de Independencia de los Estados Unidos
Örbylgjuofn	Horno de microondas
Levi Strauss & Co.	Levi Strauss & Co.
Fear Factory	Fear Factory
Stóru-Antillaeyjar	Antillas Mayores
Fallöxi	Guillotina
Rafbók	Libro electrónico
Hvarf (Grænland)	Cabo Farewell (Groenlandia)
Chicago Bulls	Chicago Bulls
Abstraktlist	Arte abstracto
Hvítgreni	Picea glauca
Alræði	Totalitarismo
Kingston upon Hull	Kingston upon Hull
Kúbudeilan	Crisis de los misiles en Cuba
Gagnsiðbótin	Contrarreforma
Agamemnon	Agamenón
Fall (málfræði)	Caso (gramática)
Smokkar	Cephalopoda
Norræn goðafræði	Mitología nórdica
Transmetropolitan	Transmetropolitan
Maria Callas	Maria Callas
Trommusett	Batería (instrumento musical)
Hirðingjar	Nómada
Lyfjafræði	Farmacología
Charles Perrault	Charles Perrault
Wembley-leikvangur	Estadio de Wembley (2007)
Lauren Cohan	Lauren Cohan
Graham Greene	Graham Greene
Lífupplýsingafræði	Bioinformática
Brjóstakrabbamein	Cáncer de mama
Endurholdgun	Reencarnación
Virðisaukaskattur	Impuesto al valor agregado
Frumuveggur	Pared celular
Seigja	Viscosidad
Hidetoshi Nakata	Hidetoshi Nakata
John Forbes Nash	John Forbes Nash
Hnútur	Nudo (unidad)
Michael Owen	Michael Owen
Arafurahaf	Mar de Arafura
AMD	Advanced Micro Devices
Kolbeinn Sigþórsson	Kolbeinn Sigþórsson
Harold Wilson	Harold Wilson
Harold Macmillan	Harold Macmillan
Lífeldsneyti	Biocarburante
Frönsku suðlægu landsvæðin	Tierras Australes y Antárticas Francesas
Hvíthákarl	Carcharodon carcharias
Lopezhöfði	Cabo López
Phoenix (geimfar)	Phoenix (sonda)
Miltisbrandur	Carbunco
Ruslana Lyzhichko	Ruslana
Trafalgar Square	Trafalgar Square
Sprotafyrirtæki	Compañía startup
Játvarður 3.	Eduardo III de Inglaterra
Lirfa	Larva
Blóðkreppusótt	Disentería
Santoríni	Santorini
Jóhann landlausi	Juan I de Inglaterra
Menningarborg Evrópu	Capital Europea de la Cultura
Kaliforníuháskóli í Davis	Universidad de California en Davis
Vivien Leigh	Vivien Leigh
Dígamma	Ϝ
Koppa	Ϙ
Hafstraumur	Corriente marina
Snjómaður	Yeti
Tsjernobyl	Chernóbil
In a Reverie	In a Reverie
Xenofon	Jenofonte
Saga tölvuleikjavéla (fyrsta kynslóð)	Videoconsolas de primera generación
Saga tölvuleikjavéla (sjötta kynslóð)	Videoconsolas de sexta generación
Saga tölvuleikjavéla (önnur kynslóð)	Videoconsolas de segunda generación
Adobe Photoshop	Adobe Photoshop
Russell Crowe	Russell Crowe
St. Basil dómkirkjan	Catedral de San Basilio
Frans 1. Frakkakonungur	Francisco I de Francia
Mínótáros	Minotauro
Eistnesk króna	Corona estonia
Vilhjálmur 3. Englandskonungur	Guillermo III de Inglaterra
Játvarður góði	Eduardo el Confesor
McKinleyfjall	Monte McKinley
Atlasfjöll	Atlas (cordillera)
Norwich	Norwich
Koparöld	Edad del Cobre
Hyogo-hérað	Prefectura de Hyōgo
Galdrakarlinn í Oz	El maravilloso mago de Oz
Aþos	Monte Athos
Stamford Raffles	Thomas Stamford Raffles
Bartholomeu Dias	Bartolomé Díaz
Saga Japans	Historia de Japón
Armenskt dram	Dram armenio
Supernatural	Supernatural (serie de televisión)
Romulus Augustus	Rómulo Augústulo
Rómverska öldungaráðið	Senado romano
Jacques Derrida	Jacques Derrida
Filippos II	Filipo II de Macedonia
Postulín	Porcelana
Alanis Morissette	Alanis Morissette
Christoph Willibald Gluck	Christoph Willibald Gluck
Hverfill	Turbina
Reykur	Humo
Söngtifur	Cicadidae
Tímatal	Cronología
James Blunt	James Blunt
María 2. Englandsdrottning	María II de Inglaterra
Vilhjálmur 4. Bretakonungur	Guillermo IV del Reino Unido
Eindahraðall	Acelerador de partículas
Perseifur	Perseo
Junichiro Koizumi	Jun'ichirō Koizumi
Plötusnúður	Disc jockey
Tyggigúmmí	Goma de mascar
Bjarnarlaukur	Allium ursinum
Ávaxtafluga	Drosophila melanogaster
Ödípús	Edipo
Kingmanrif	Arrecife Kingman
Langbarðar	Lombardos
Golfstraumurinn	Corriente del Golfo
