ئافرىقا	África
تاجىك تىلى	Idioma tayiko
ئۆزبېك تىلى	Idioma uzbeko
تۈركمەن تىلى	Idioma turcomano
يەھۇدى دىنى	Judaísmo
تىمپۇ	Timbu
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Idioma hebreo
ئەزەربەيجان تىلى	Idioma azerí
ماكېدون تىلى	Idioma macedonio
سېرب تىلى	Idioma serbio
سېربو-كرودىيىلىكلەر تىلى	Idioma serbocroata
بوسنىيە تىلى	Idioma bosnio
گالىسىيەچە	Idioma gallego
ۋېلش تىلى	Idioma galés
دىلى	Dili
شوتلاندىيە گائېل تىلى	Gaélico escocés
Wyéntyan	Vientián
مالې	Malé
Bishkek	Biskek
Düshenbe	Dusambé
جىگەر	Hígado
تلا	Bazo
بۆرەك	Riñón
دوۋساق	Vejiga urinaria
نېرۋا سىستىمېسى	Sistema nervioso
ئوكيانىيە	Océano
مۇھەممەد ئەلەيھىسسالام	Mahoma
ئىمام ئەلغازالىي	Al-Ghazali
رىچارد نىكسون	Richard Nixon
قورساق قىسم	Abdomen
داۋجياۋ دىنى	Taoísmo
سوپىزم (تەسەۋۋۇپ)	Sufismo
ۋېنا تومۇرى	Vena
بېنگال تىلى	Idioma bengalí
تىل	Lengua (anatomía)
پانكرېئاتىت	Páncreas
بويۇن	Cuello
ئېغىز بوشلۇقى	Boca
بوغۇز	Laringe
فالكلاند تاقىم ئاراللىرى	Islas Malvinas
سازاڭسىمان ئۆسۈكچە	Apéndice vermiforme
ئېلىزابېت II	Isabel II del Reino Unido
تاڭ سۇلالىسى	Dinastía Tang
كېننېدى	John F. Kennedy
تاڭ تەيزوڭ	Li Shimin
بالزاك	Honoré de Balzac
مىڭ سۇلالىسى	Dinastía Ming
جۇ يۈەنجاڭ	Zhū Yuánzhāng
رېگان	Ronald Reagan
زۇلۇچە	Idioma zulú
زازا تىلى	Zazaki
پلازما	Plasma (estado de la materia)
رىم گىلادىئاتورلار مەيدانى	Coliseo
Saragossa	Zaragoza
Bélfast	Belfast
ئېلېمېنتلارنىڭ دەۋرىي جەەدۋىلى	Tabla periódica de los elementos
قۇرۇق ئۈزۈم	Uva
ھەسەل	Miel
شېكەر	Azúcar
روبوت	Robot
ماشىنىسازلىق	Máquina
ئايلىنىش سىستېمىسى	Aparato circulatorio
ئىچكى ئاجراتما سىستېمىسى	Sistema endocrino
كىسلاتا	Ácido
سارايېۋو	Sarajevo
تۇز	Sal
فۇنكسىيە	Función matemática
مولېكۇلا	Molécula
ئېنېرگىيە	Energía
ئىنفرا قىزىل نۇر	Radiación infrarroja
ماسسا	Masa
مېتال	Metal
پولات	Acero
نانو تېخنىكىسى	Nanotecnología
ئەينەك	Vidrio
ۋاكۇئۇم	Vacío
ئېلېكترون ئىلمى	Electrónica
.توك (توك ئېقىمى)	Corriente eléctrica
ئىككى پۇتلۇق لامپا	Diodo
ئامېرىكىغا قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Islas Vírgenes de los Estados Unidos
شېنياڭ شەھىرى	Shenyang
چۇڭچىڭ شەھىرى	Chongqing
تيەنجىن شەھىرى	Tianjín
Lahor	Lahore
ۋۇخەن شەھىرى	Wuhan
نۆۋەتتىكى ھادىسە	Anexo:Países
ناگويا	Nagoya
تاش قورال دەۋرى	Edad de Piedra
ئېيىق	Ursidae
فوتوسىنتېز رولى	Fotosíntesis
برېتون تىلى	Idioma bretón
پىرېنېي تاغلىرى	Pirineos
Détroyt	Detroit
بۇرج دۇبەي	Burj Khalifa
Sedichin Sépili	Gran Muralla China
ئاياسوڧيا	Santa Sofía
ئابباسىيلار خاندانلىقى	Califato abasí
سەلىپنىڭ شەرققە يۈرۈش قىلىشى	Cruzadas
موڭغۇل ئىمپېرىيىسى	Imperio mongol
ئوسمان ئىمپېرىيىسى	Imperio otomano
ئىسپانىيە-ئامېرىكا ئۇرۇشى	Guerra hispano-estadounidense
مىللى دارامەت	Producto interno bruto
ئېلېكتر	Electricidad
يادرو ئېنېرگىيىسى	Energía nuclear
ھور ماشىنىسى	Máquina de vapor
Antwérp	Amberes
باش سۆڭىكى	Cráneo
ئانار	Punica granatum
ئاپېلسىن	Citrus × sinensis
دۇنيا تىلى	Romanche
جۇاڭزۇ تىلى	Idioma chuang
ئۇيغۇر تىلى	Idioma uigur
سىنگال تىلى	Idioma cingalés
ناخۇئاتل تىلى	Náhuatl
مونتسەررات	Montserrat
خارۋارد ئۇنىۋېرسىتېتى	Universidad de Harvard
Pisa	Pisa
باشقۇرتچە	Idioma baskir
قېلىپ:Location map Earth	Plantilla:Mapa de localización de Tierra
باغلانغان ئۆردەك	Le Canard enchaîné
ئەرەب تىلى	Idioma árabe
كيۇسيۇ ئارىلى	Kyūshū
خونسيو ئارىلى	Honshū
شىكوكۇ	Región de Shikoku
كورسىكا ئارىلى	Córcega
ئاڧرىقانچە	Afrikáans
بۆرە بورسۇق	Gulo gulo
ئاۋمېن	Macao
خۇ جىنتاۋ	Hu Jintao
شى جىنپىڭ	Xi Jinping
زىراپە	Giraffa camelopardalis
شېنجېن شەھىرى	Shenzhen
گۇئاڭدوڭ ئۆلكىسى	Provincia de Cantón
گۇاڭشى جۇاڭزۇ ئاپتونۇم رايونى	Guangxi
سوۋېت ئىتتىپاقى	Unión Soviética
شياڭگاڭ ئۇنىۋېرستېتى	Universidad de Hong Kong
شياڭگاڭ جۇڭگو تىللىرى ئۇنۋېرسىتېتى	Universidad China de Hong Kong
رۇبلى	Rublo
پۇت	Pie
دولا	Hombro
قالقانبەز	Glándula tiroides
قېلىپ:Link FA	Plantilla:Destacado
Wikipedia:Tor Jamiyeti	Wikipedia:Café
Wérmont Shitati	Vermont
San Diyégo	San Diego (California)
San Xosé	San José (California)
Dénwér	Denver
Hyuston	Houston
Féniks	Phoenix
Dallas	Dallas
Austin	Austin
Mémfis, Ténnéssi	Memphis
Sharlot	Charlotte
Kolumbu, Oxéo	Columbus (Ohio)
گۇاڭجۇ شەھىرى	Cantón (China)
جىياڭ جىشى	Chiang Kai-shek
ۋېن جىياباۋ	Wen Jiabao
Guam Aril	Guam
ئامېرىكىغا قاراشلىق ساموئا	Samoa Americana
شىمالىي مارىئانا فېدېراتسىيىسى	Islas Marianas del Norte
نەنجىڭ شەھىرى	Nankín
بېيجىڭ ئۇنىۋېرسىتېتى	Universidad de Pekín
ئۈرۈمچى شەھىرى	Urumchi
جياڭسۇ ئۆلكىسى	Jiangsu
جېجياڭ ئۆلكىسى	Zhejiang
گۇئادەلوپە	Guadalupe (Francia)
مارتىنىكا	Martinica
شىزاڭ ئاپتونوم رايونى	Tíbet
دالاي لاما	Tenzin Gyatso
تۆگىقۇش	Struthio camelus
Sakraménto	Sacramento (California)
چاۋشيەن	Corea
لى كېچياڭ	Li Keqiang
Manchéstér	Mánchester
تۇركس ۋە كايكوس تاقىم ئاراللىرى	Islas Turcas y Caicos
ۋىتامىن A	Vitamina A
ياۋروپا چىمپيونلۇق لوڭقىسى	Liga de Campeones de la UEFA
پالمىزارلىق ئىپار مۈشۈكى	Paradoxurus hermaphroditus
Pyongyang	Pionyang
New Testament	Nuevo Testamento
ئادالەت ۋە تەرەققىيات پارتىيىسى	Partido de la Justicia y el Desarrollo (Turquía)
گۈللىنىش پارتىيىسى	Partido Republicano del Pueblo (Turquía)
مىللى دارامەت بويىچە دۆلەت تەرتىپى	Anexo:Países por PIB (nominal)
خېيلوڭجياڭ ئۆلكىسى	Heilongjiang
ما يىنجىئۇ	Ma Ying-jeou
بۇخارېست	Bucarest
پوئىرتورىكان مۇستەقىللىق پارتىيىسى	Partido Independentista Puertorriqueño
Tirana	Tirana
ئېشەك	Equus africanus asinus
سىچۈەن ئۆلكىسى	Sichuan
مۇھەممەر قەززافى	Muamar el Gadafi
بارس	Panthera tigris
چۆپ ئاش	Vermicelli
سامسۇڭ گۇرۇھى	Samsung
شىمالىي ياۋروپا	Escandinavia
كىشىنېۋ	Chisináu
بیلگیسايار مۈھەندیسلیغی	Ciencias de la computación
Şalom	Şalom
ئارۇبا	Aruba
خېبېي ئۆلكىسى	Hebei
پرىنسېتون ئۇنىۋېرستېتى	Universidad de Princeton
نېفىت	Petróleo
پېنسىلۋانىيە نېمىس تىلى	Alemán de Pensilvania
پرژىۋالسكى ياۋا ئات	Equus ferus przewalskii
قوي	Ovis
ئىرلاندىيە	Irlanda (isla)
Chéshir	Cheshire
Nortumbér Wilayiti	Northumberland
Staffordshir	Staffordshire
ﻟﯘﺷﯜﻥ	Lu Xun
Shimaliy Amptonshir	Northamptonshire
Bédfordshir	Bedfordshire
Kornwél	Cornualles
Bristol	Brístol
Déwonshir	Devon
خالتىلىق چاشقانلار ئائىلىسى	Macropodidae
Nashwil	Nashville
Xampishir	Hampshire
Bérkshir	Berkshire
Bukkinxamshir	Buckinghamshire
Ésséks	Essex
Ként	Kent
Ulanbatur	Ulán Bator
ئېرنېست ھېمىڭۋاي	Ernest Hemingway
Idinburg	Edimburgo
ئاشخاباد	Asjabad
پىياز	Allium cepa
پەمىدۇر	Solanum lycopersicum
جورج بۇش	George H. W. Bush
بالقانلار	Península balcánica
پروتېستانت دىنى	Protestantismo
سەلەنا	Selena Quintanilla Pérez
Atlanta	Atlanta
بېرمۇدا	Bermudas
باش	Cabeza
ۋېللىنگتون	Wellington (Nueva Zelanda)
روبوتلارنىڭ ئۈچ قانۇنى	Tres leyes de la robótica
ئالفېرد نوبىل	Alfred Nobel
لیلا چڑھاو	Lila Downs
907-يىلى	907
Wankuwér	Vancouver
Liwérpol	Liverpool
Brémén	Bremen
يېڭى نورۋېگىيە تىلى	Nynorsk
پوند ستېرلىڭ	Libra esterlina
ئانگۋىللا	Anguila (dependencia)
فائېروس تىل	Idioma feroés
مۈشۈك ئائىلىسى	Felidae
ISO 3166-1	ISO 3166-1
تاتار تىلى	Idioma tártaro
ئەنگلىيىگە قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Islas Vírgenes Británicas
كىچىك سېسىق كۈزەنى	Mustela nivalis
فرىزانچە	Lenguas frisonas
ئاق ئاغمىخان	Mustela erminea
قارشىلىق	Resistencia eléctrica
ناۋاسسا ئاراللىرى	Isla de Navaza
سېنت بارتھېلەمي ئاراللىرى	San Bartolomé (Francia)
شىمالىي گېرمانىيە دىئالېكتى	Bajo alemán
ئاغمىخان ئائىلىسى	Mustelidae
ساينت مارتىن	Isla de San Martín
بۆكەن	Antílope
قارا بۇلغۇن	Martes zibellina
سۈنئىي ھەمراھ	Satélite artificial
قوتاز	Bos mutus
ب م ۋ	BMW
Kuk Taqim Aralliri	Islas Cook
رەشىدە داتى	Rachida Dati
شەرقىي ئاسىيا	Asia Oriental
ئوتتۇرا ئاسىيا	Asia Central
ئاق تۆش بۇلغۇن	Martes foina
ياۋا ئات	Equus ferus
ئامخارا تىلى	Idioma amhárico
Képinek	Lepidoptera
چاچ	Pelo
ھىجرىيە كالېندارى	Calendario musulmán
جيامۇسى شەھىرى	Jiamusi
كەبەك	Kebek
دىرىخلې	Peter Gustav Lejeune Dirichlet
ئاستۇرىيە تىلى	Asturiano (asturleonés de Asturias)
خىتاي	China (región)
قاما	Lutra lutra
چېڭدۇ شەھىر	Chengdú
يىلپىز	Panthera uncia
جېڭجۇ شەھىرى	Zhengzhou
تېرېسا ئانا	Teresa de Calcuta
DELL شىركىتى	Dell
فرانسىيىگە قاراشلىق پولىنېزىيە	Polinesia Francesa
618-يىلى	618
روژدېستۋو ئاراللىرى	Isla de Navidad
Krakow	Cracovia
بېيجىڭ پايتەخت ئايروپورتى	Aeropuerto Internacional de Pekín-Capital
تىراختور	Tractor Sazi FC
ۋېنىسىيە تىلى	Idioma véneto
تەيۋەن ئۇنۋېرسىتې	Universidad de Taiwán
جامى	Mezquita
تۇڭگان تىلى	Idioma dungano
كورسىكا تىلى	Idioma corso
فىلىپىنچە	Idioma filipino
چۇۋاش تىلى	Idioma chuvasio
قرىم تاتار تىلى	Idioma tártaro de Crimea
ھايتى كرېئول تىلى	Criollo haitiano
قارا قالپاق تىلى	Idioma karakalpako
ياۋا تىلى	Idioma javanés
مۈشۈكئېيىق	Ailuropoda melanoleuca
قالماق تىلى	Idioma calmuco
مانجۇ تىلى	Idioma manchú
كانناداچە	Idioma canarés
مۇڭغۇل تىللىرى	Lenguas mongólicas
پوچېركا	Mano
دۇفۇ	Du Fu
يېڭى كالېدونىيە	Nueva Caledonia
ئورىياچە	Idioma oriya
نېپال تىلى	Idioma nepalí
نېئاپول تىلى	Idioma napolitano
نورمان تىلى	Idioma normando
تېئودور روزېۋېلت	Theodore Roosevelt
تېلاۋىف	Tel Aviv
Nis	Niza
سىتسىلىيە تىلى	Idioma siciliano
ساردىنىيە تىلى	Idioma sardo
ژىيۇل ۋېرن	Julio Verne
سىندى تىلى	Idioma sindhi
سۇندا تىلى	Idioma sondanés
شونا تىلى	Idioma shona
Niué Arili	Niue
تاگالوگ تىلى	Idioma tagalo
تۈركى تىللار ئائىلىسى	Lenguas túrquicas
تونگاچە	Idioma tongano
ئۇرال تىللىرى	Lenguas urálicas
تىگرىنىيەچە	Idioma tigriña
Oksford	Oxford
تۇنگۇس مانجۇ تىللىرى	Lenguas tunguses
زاڭزۇ تىلى	Idioma tibetano
سارى ئۇغۇر	Yugur
ۋۇ تىلى	Chino wu
ۋىلسون	Woodrow Wilson
ياقۇت تىلى	Idioma yakuto
يورۇباچە	Idioma yoruba
سېسوتوچە	Sesotho
Rottérdam	Róterdam
Yéngi Orléan	Nueva Orleans
فۇشەن شەھىر	Foshan
ئوكسفورد ئۇنىۋېرسىتېتى	Universidad de Oxford
ئەھمىدى نىجات	Mahmud Ahmadineyad
Saynt Xéléna Arili	Isla Santa Elena
بارماق	Dedo
ساينت پىئېر ئارىلى ۋە مىكېلون تاقىم ئاراللىرى	San Pedro y Miquelón
ئون پەرھىز	Diez Mandamientos
Yohannésburg	Johannesburgo
قاپلان	Panthera pardus
Saltzburg	Salzburgo
X نۇرى	Rayos X
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى	Sinkiang
Albukwér kwé	Albuquerque
Oklaxoma Shehiri	Oklahoma City
برىسبان	Brisbane
ئىسساك ئاسىموۋ	Isaac Asimov
جەنۇبىي گىئورگىيە ۋە ساندۋىچ ئاراللىرى	Islas Georgias del Sur y Sandwich del Sur (territorio británico de ultramar)
كۇۋائىت شەھىرى	Kuwait (ciudad)
ئەرەبلەر	Pueblo árabe
سۇمېرلار	Sumeria
كولومبو	Colombo
ئالمۇتا	Almatý
قانداغاي	Alces alces
ۋاللىس ۋە فۇتۇنا تاقىم ئاراللىرى	Wallis y Futuna
تاتار مىللىتى	Tártaros
خوككايدو ئارىلى	Hokkaidō
ئۇرال تاغلىرى	Montes Urales
ماددا	Materia
ئوساكا	Osaka
كامبرىج ئۇنىۋېرستېتى	Universidad de Cambridge
ئاكا-ئۇكا رايتلار	Hermanos Wright
گۇئارانچە	Idioma guaraní
شور دېڭىز	Mar de Aral
ئىستانبۇل بوغازى	Bósforo
Izmir	Esmirna
كەئەلىڭ كوكوس تاقىم ئاراللىرى	Islas Cocos
مېرسېدېس - بېنز	Mercedes-Benz
كۋېنسلاند	Queensland
Minnéapolis	Minneapolis
دەرەخ خالتىلىق ئېيىقى	Phascolarctos cinereus
2011-يىلدىكى ياپونىيە يەر تەۋرەش ۋە دېڭىز تاشقىنى	Terremoto y tsunami de Japón de 2011
لىنگالاچە	Idioma lingala
مالايالامچە	Malayalam
يىپەك يولى	Ruta de la seda
Kalgari	Calgary
ئوستىيىن	Jane Austen
قوڭۇر ئېيىق	Ursus arctos
كۇرد تىلى	Idioma kurdo
مولداۋىيە تىلى	Idioma moldavo
يېڭى تاش قۇرال دەۋرى	Neolítico
مورېسبى پورتى	Puerto Moresby
خىمىيىلىك رېئاكسىيە	Reacción química
لاھەي	La Haya
جۇاڭزۇ مىللىتى	Etnia zhuang
ئوسمانلى تۈركچىسى	Idioma turco otomano
يۇھاننا بايان قىلغان خۇش خەۋەر	Evangelio de Juan
توكېلاۋ تاقىم ئاراللىرى	Tokelau
تۋىچە	Idioma twi
چېڭلۇڭ	Jackie Chan
توخار تىلى	Lenguas tocarias
ئېلان	Publicidad
Zeytun	Olea europaea
ئاۋكلاند	Auckland
سەككىز دۆلەت گۇرۇھى (G8)	G8
ئاۋكادۇر	Persea americana
قىزىل قان دانىچىلىرى	Eritrocito
ئوقۇتقۇچى	Maestro
تىز	Articulación de la rodilla
ئۆرۈك	Prunus armeniaca
گلۇكوزا	Glucosa
Sint-Truiden	Sint-Truiden
ئالتاي تىللىرى سىستېمىسى	Lenguas altaicas
ناتالىيە پورتمەن	Natalie Portman
Ran'gon	Rangún
ناگاساكى	Nagasaki
يوكوخاما	Yokohama
ئادانا	Adana
لازېر نۇرى	Láser
Lyuju shehiri	Liuzhou
خەلق پۇلى يۈەنى	Yuan chino
Ritis	Leeds
رەجەپ تاييىپ ئەردوغان	Recep Tayyip Erdoğan
قىزغۇچ سېرىق	Naranja (color)
شىمال بۇغىسى	Rangifer tarandus
لۇقا بايان قىلغان خۇش خەۋەر	Evangelio de Lucas
كونا تاش قۇرال دەۋرى	Paleolítico
ئانتاليا ۋىلايىتى	Provincia de Antalya
ھەزرىتى ئەيسا ئەلچىلىرىنىڭ پائالىيەتلىرى	Hechos de los Apóstoles
پەرۋەز مۇشەررەڧ	Pervez Musharraf
ئادانا ۋىلايىتى	Provincia de Adana
تاشقا ئايلانغان جىسىم	Fósil
بۇرسا	Bursa
ئۇرۇق	Semilla
ئەنخۇي ئۆلكىسى	Anhui
خەلقئارا ئولىمپىك كومىتىتى	Comité Olímpico Internacional
ماڭلاي	Frente (anatomía)
ئىچكى موڭغۇل ئاپتونوم رايونى	Mongolia Interior
Nottingxam	Nottingham
راكېتا	Cohete
كۇردىستان	Kurdistán
ستانفورد ئۇنىۋېرستېتى	Universidad Stanford
فۇجيەن ئۆلكىسى	Fujian
Kanzas Shehiri, Missuri	Kansas City (Misuri)
كىچىك مۈشۈكئېيىق	Ailurus fulgens
موڭغۇل مىللىتى	Mongol (etnia)
ۋەھىيلەر	Apocalipsis
Sirtlan	Hyaenidae
كاسا	Nalga
خەينەن ئۆلكىسى	Hainan
رىمان	Bernhard Riemann
گەنسۇ ئۆلكىسى	Gansu
ئاق قان ھۈجەيرىسى	Leucocito
ئەنگلىيىلىكلەر	Pueblo inglés
ئاناتول فرانس	Anatole France
ئوتلاق ياۋا مۈشۈكى	Felis silvestris lybica
جەينەك	Articulación del codo
سۇجۇ شەھىرى	Suzhou
جاڭگال مولۇنى	Felis chaus
بېنگال مولۇنى تاغ مۈشۈكى	Prionailurus bengalensis
Wénju shehiri	Wenzhou
ۋۇشى شەھىرى	Wuxi
Shawshin shehiri	Shaoxing
خەنزۇ مىللىتى	Etnia han
نىڭبو شەھىرى	Ningbo
ئابدۇللاھ گۈل	Abdullah Gül
نېمىسلار	Alemanes
خاربىن شەھىرى	Harbin
Orkéstr	Orquesta
تۈرك قەھۋەسى	Café turco
قىزىل ياقۇت	Rubí
كەشمىر	Cachemira (región)
گالاتا ساراي	Galatasaray S.K
كەۋىن رۇد	Kevin Rudd
يۈننەن ئۆلكىسى	Yunnan
مالكولم X	Malcolm X
مەۋلانا جالالىددىن رۇمى	Yalal ad-Din Muhammad Rumi
Plimowt	Plymouth
شەندۇڭ ئۆلكىسى	Shandong
قول	Brazo
Dérbi	Derby
ياقۇت رەڭلىك	Esmeralda
كىرىستال	Cristal
خېنەن ئۆلكىسى	Henan
بۇرسا ۋىلايىتى	Provincia de Bursa
ئارتۋىن ۋىلايىتى	Provincia de Artvin
كىندىك	Ombligo
ئادىيامان ۋىلايىتى	Provincia de Adıyaman
لياۋنىڭ ئۆلكىسى	Liaoning
خىمىيىلىك باغ	Enlace químico
GNU	GNU
توچىگى ناھىيىسى	Prefectura de Tochigi
سېمونت	Cemento
جىلىن ئۆلكىسى	Jilin
ئافيون قاراھىسار ۋىلايىتى	Provincia de Afyonkarahisar
بېربېرلار	Bereberes
ئېچىتقۇ	Levadura
خۇنەن ئۆلكىسى	Hunan
ھونلار	Hunos
چىڭخەي ئۆلكىسى	Qinghai
ئۇيغۇر مىللىتى	Etnia uigur
بىلەجىك ۋىلايىتى	Provincia de Bilecik
خۇبېي ئۆلكىسى	Hubei
شەنشى ئۆلكىسى	Shanxi
يۈز	Mejilla
قوڭۇر رەڭلىك	Marrón
گۇيلىن ئۆلكىسى	Guizhou
بالىكەسىر ۋىلايىتى	Provincia de Balıkesir
كيوتو كىلىشىمنامىسى	Protocolo de Kioto sobre el cambio climático
ئانىلار بايرىمى	Día de la Madre
خەلقئارا ئىسلام كېڭىشى تەشكىلاتى	Organización para la Cooperación Islámica
چاناققالە ۋىلايىتى	Provincia de Çanakkale
مىياگى ناھىيىسى	Prefectura de Miyagi
Luknow	Lucknow
شېنشى ئۆلكىسى	Shaanxi
رىملىقلارغا يېزىلغان خەت	Epístola a los romanos
مالىكىي مەزھىبى	Malikí
ئوقۇغۇچى	Estudiante
Kobe	Kōbe
ئىۋاتە ناھىيىسى	Prefectura de Iwate
كولۇمبىيە ئۇنىۋېرستېتى	Universidad de Columbia
بوستون ئۇنىۋېرستېتى	Universidad de Boston
يالې ئۇنىۋېرسىتېتى	Universidad Yale
پېنسىلۋانىيە ئۇنىۋېرستېتى	Universidad de Pensilvania
Portland, Méané	Portland (Maine)
نيۇيورك ئۇنىۋېرستېتى	Universidad de Nueva York
ئىتاليانلار	Pueblo italiano
پارىژ مېتروسى	Metro de París
پىرىت	Pirita
فىلىپىلىكلەرگە يېزىلغان خەت	Epístola a los filipenses
ئېگىزلىك گېرمان تىلى	Lenguas altogermánicas
قېلىپ:Taxobox	Plantilla:Ficha de taxón
قارا ئېقىم	Corriente de Kuroshio
خەلق گېزىتى	Diario del Pueblo
جياڭشى ئۆلكىسى	Jiangxi
ئىلھام ئالىيېۋ	İlham Əliyev
زاردارى	Asif Ali Zardari
نۇرسۇلتان نازاربايېۋ	Nursultán Nazarbáyev
نىڭشيا خۇيزۇ ئاپتونۇم رايونى	Ningxia
ئىسلام كەرىموۋ	Islom Karimov
شۈجو شەھىرى	Xuzhou
Lyenyün'gang shehiri	Lianyungang
ساۋكات مىرزىيويەۋ	Shavkat Mirziyayev
خۇەيئەن شەھىرى	Huai'an
Yangjo shehiri	Yangzhou
Teyju shehiri, Jyangsu	Taizhou (Jiangsu)
Nentung shehiri	Nantong
جاڭجياڭ شەھىرى	Zhenjiang
چاڭجو شەھىر	Changzhou
ئەھمەد داۋۇد ئوغلۇ	Ahmet Davutoğlu
تەيجۇ شەھىرى	Taizhou (Zhejiang)
جۇشەن شەھىرى	Zhoushan
شىجياجۇاڭ شەھىرى	Shijiazhuang
تاڭشەن شەھىرى	Tangshan
Chinxuangdaw shehiri	Qinhuangdáo
خەندەن شەھىرى	Handan
Bawding shehiri	Báoding
پەنجاب تىلى	Idioma punjabí
پاشتوچە	Idioma pastún
ساڭجو شەھىرى	Cangzhou
Langfang shehiri	Langfang
Juxey shehiri	Zhuhai
شەنتۇ شەھىرى	Shantou
Xuyjo shehiri	Huizhou
Dongwen shehiri	Dongguan
Jongshen shehiri	Zhongshan
Uyghurche Wikipédiye	Wikipedia en uigur
مىقدار سۆز	Numeral (lingüística)
ئۆت خالتىسى	Vesícula biliar
Jaypur	Jaipur
فۇجو شەھىرى	Fuzhou
Nenping shehiri	Nanping
Putyen shehiri	Putian
Senming shehiri	Sanming
Chüenju shehiri	Quanzhou
شيامېن شەھىرى	Xiamen
Jyangju shehiri	Zhangzhou
Longyen shehiri	Longyan
Ningdé shehiri	Ningde
Shining shehiri	Xining
تاغىل سېسىق كۈزەن	Vormela peregusna
ئادەم ئەلەيھىسسالام	Adán
خۇئاڭشى شەھىرى	Huangshi
ئائومورى ناھىيىسى	Prefectura de Aomori
فۇكۇشىما ناھىيىسى	Prefectura de Fukushima
تەييۈەن شەھىرى	Taiyuan
داتۇڭ شەھىر	Datong
داليەن شەھىرى	Dalian
ئەنشەن شەھىرى	Anshan
يىڭكۇ شەھىرى	Yingkou
لياۋياڭ شەھەر	Liaoyang
يوزگات ۋىلايىتى	Provincia de Yozgat
چوڭ مېڭە پوستلاق ماددىسى	Corteza cerebral
ئوڭچى	Derecha política
كارل ۋون دونىتىز	Karl Dönitz
سۆسۈنە ياقۇت	Amatista
بىنگۆل ۋىلايىتى	Provincia de Bingöl
تايغان بۇغا	Cervus elaphus
ئارداھان ۋىلايىتى	Provincia de Ardahan
ئايدىن ۋىلايىتى	Provincia de Aydin
ئاماسيا ۋىلايىتى	Provincia de Amasya
قازاق مىللىتى	Kazajo (etnia)
ئاغرى ۋىلايىتى	Provincia de Ağrı
بۇردۇر ۋىلايىتى	Provincia de Burdur
كورىنتلىقلارغا يېزىلغان بىرىنچى خەت	Primera epístola a los corintios
باتمان ۋىلايىتى	Provincia de Batman
كۇرىل ئاراللىرى	Islas Kuriles
يېڭى يەر	Nueva Zembla
Patna	Patna
سۇلتان ئاخمەت جامىي	Mezquita Azul
ۋان ۋىلايىتى	Provincia de Van
كونيا ۋىلايىتى	Provincia de Konya
ئاكىتا ناھىيىسى	Prefectura de Akita
سېگولەن رويال	Ségolène Royal
بولۇ ۋىلايىتى	Provincia de Bolu
دېنىزلى ۋىلايىتى	Provincia de Denizli
شافىئىي مەزھىپى	Shafi'i
گىپىس	Yeso (mineral)
ئېڭەك	Barbilla
ئامېرىكا ياۋا كالىسى	Bison bison
Léyséstér	Leicester
ساكاريا ۋىلايىتى	Provincia de Sakarya
ئاقساراي ۋىلايىتى	Provincia de Aksaray
قارس ۋىلايىتى	Provincia de Kars
دىيارباقىر ۋىلايىتى	Provincia de Diyarbakır
مور	Seta
تەيبېي 101	Taipei 101
ئەدىرنە ۋىلايىتى	Provincia de Edirne
ظوسذث	Lactuca sativa
بىتلىس ۋىلايىتى	Provincia de Bitlis
ئىباراكى ناھىيىسى	Prefectura de Ibaraki
ھاتاي ۋىلايىتى	Provincia de Hatay
زىيا گۆكئالىپ	Ziya Gökalp
يۇگوسلاۋىيە سوتسىيالىست فېدېرال جۇمھۇرىيىتى	República Federativa Socialista de Yugoslavia
تۈرك	Pueblos túrquicos
بارتىن ۋىلايىتى	Provincia de Bartın
باش بارماق	Dedo pulgar
كوجائەلى ۋىلايىتى	Provincia de Kocaeli
تۈرك خاقانلىقى	Turcos
سازاڭسىمان مەددە	Caenorhabditis elegans
چاڭچۈن شەھىرى	Changchun
جىلىن شەھىرى	Ciudad de Jilin
ئېمۇ قۇشى	Dromaius novaehollandiae
خاككارى ۋىلايىتى	Provincia de Hakkâri
راۋالپىندى	Rawalpindi
Emir Kusturica	Emir Kusturica
ماشىنىىسازلىق ئىنژىنىرلىقى	Ingeniería mecánica
ئاينۇ مىللىتى	Ainu
ئورانگوتان	Hominoidea
يېشىل ياقۇت	Berilo
Markus bayan qilghan xush xewer	Evangelio de Marcos
ئازۇرىت	Azurita
بېلىز شەھىرى	Ciudad de Belice
قۇشۇق ئارىلى	Isla Kaşık
مارشال	Mariscal
Chuju shehiri	Chuzhou
Rékazé shehiri	Shigatse
قىرىم	Tártaros de Crimea
كىلون تېخنىكىسى	Clonación
پروڧېسسور	Profesor
كورىنتلىقلارغا يېزىلغان ئىككىنچى خەت	Segunda epístola a los corintios
مۇغلا ۋىلايىتى	Provincia de Muğla
ئاسىيا قارا ئېيىق	Ursus thibetanus
گۈلچىلىك	Jardinería
ئىغدىر ۋىلايىتى	Provincia de Iğdır
ياماگاتا ناھىيىسى	Prefectura de Yamagata
قاڭشارلىق بۆكەن	Saiga tatarica
كۈتاھيا ۋىلايىتى	Provincia de Kütahya
كۆك ياقۇت	Zafiro
