Afelika	África
Kalasi:Bapolitiki ya Repubilika ya Kongo	Categoría:Políticos de la República del Congo
Kalasi:Bapolitiki ya Fwalansa	Categoría:Políticos de Francia
Kalasi:Albania	Categoría:Albania
Kalasi:Université en Italia	Categoría:Universidades de Italia
Kalasi:Andalucía	Categoría:Andalucía
Kalasi:Dalapo	Categoría:Banderas
Kalasi:Babwala ya Ngabu	Categoría:Localidades de Gabón
The Prodigy	The Prodigy
Kalasi:Babwala ya Namibia	Categoría:Localidades de Namibia
Mwela	Aire
Kalasi:Málaga	Categoría:Málaga
Kalasi:Bizunga ya Repubilika ya Kongo	Categoría:Departamentos de la República del Congo
Trojany	Trojany
Kalasi:Bizunga ya Repubilika ya Kongo ya Dimokalasi	Categoría:Provincias de la República Democrática del Congo
Kalasi:Soria	Categoría:Soria
Kalasi:Kizunga ya Albania	Categoría:Condados de Albania
Kalasi:Kizunga ya Sina	Categoría:Provincias de China
Kalasi:Kabinda	Categoría:Cabinda
Kalasi:Babantu	Categoría:Localidades
Special:RecentChanges	Especial:CambiosRecientes
Brandon Ríchardson	Brandon Richardson (actor)
