Áfríkà	África
Agbègbè Pwani	Región de Pwani
Elena Pampoulova	Elena Pampúlova
Soomaaliyeey toosoo	Somaliyaay toosoo
999 Zachia	(999) Zachia
Marcos Pérez Jiménez	Marcos Pérez Jiménez
Mohamed Abu Al-Quasim al-Zwai	Mohamed Abdul Quasim al-Zwai
Àmì ọ̀pá àṣẹ ilẹ̀ Erékùṣù ilẹ̀ Man	Escudo de la Isla de Man
Sobekhotep 3k	Sebekhotep III
Osorkon 2k	Osorkon II
Albert Ramos	Albert Ramos
Mikhail Kukushkin	Mijaíl Kukushkin
Javier Velásquez	Javier Velásquez Quesquén
Armand-Emmanuel de Vignerot du Plessis, Duc de Richelieu	Armand Emmanuel du Plessis
Tefnakht	Tafnajt
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùṣù Marshall	Escudo de las Islas Marshall
Koisaanu	Joisán
Fernand Bouisson	Fernand Bouisson
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Sello de los Estados Federados de Micronesia
Àmì ọ̀pá àṣẹ ilẹ̀ Sàmóà	Escudo de Samoa
Àmì ọ̀pá àṣẹ ilẹ̀ Fanuatu	Escudo de Vanuatu
Rotuma	Rotuma
Patrice Trovoada	Patrice Trovoada
Prince Alexander Mavrocordatos	Alexandros Mavrokordatos
Jules Méline	Jules Méline
Raúl Cubas Grau	Raúl Cubas Grau
Albert Sarraut	Albert Sarraut
STS-132	STS-132
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùsù Pitcairn	Escudo de las Islas Pitcairn
Juan Álvarez	Juan Álvarez
Àtòjọ àwọn obìnrin ẹnìkan ayọrí Open Fránsì	Anexo:Campeones de Roland Garros (individual femenino)
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùsù Sólómọ́nì	Escudo de las Islas Salomón
Ertha Pascal-Trouillot	Ertha Pascal-Trouillot
Lorraine Hansberry	Lorraine Hansberry
Àmì ọ̀pá àṣẹ ilẹ̀ Trínídád àti Tòbágò	Escudo de Trinidad y Tobago
Pearl Bailey	Pearl Bailey
Amenemhet 6k	Amenemhat VI
Àmì ọ̀pá àṣẹ ilẹ̀ Tatarstan	Escudo de Tartaristán
Àsìá ilẹ̀ Tatarstan	Bandera de la República de Tartaristán
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùṣù Turks àti Caicos	Escudo de las Islas Turcos y Caicos
William Cullen	William Cullen
Nikos Zachariadis	Nikos Zachariadis
Àtòjọ àwọn okùnrin ẹnìkan ayọrí Open Amẹ́ríkà	Anexo:Campeones del Abierto de Estados Unidos (individual masculino)
Àtòjọ àwọn obìnrin ẹnìkan ayọrí Open Amẹ́ríkà	Anexo:Campeones del Abierto de Estados Unidos (individual femenino)
Àsìá ilẹ̀ Vojvodina	Bandera de Voivodina
Stand and Sing of Zambia, Proud and Free	Stand and Sing of Zambia, Proud and Free
Santiago Derqui	Santiago Derqui
Michel Temer	Michel Temer
Genevieve Nnaji	Genevieve Nnaji
Ìpínlẹ̀ Tàràbà	Taraba
Àsìá ilẹ̀ Írẹ́lándì Apáàríwá	Bandera de Irlanda del Norte
Lesotho Fatse La Bontata Rona	Lesōthō fatše la bo ntat'a rōna
The Cosby Show	The Cosby Show
Emperor Chōkei	Emperador Chōkei
Emperor Horikawa	Emperador Horikawa
Chuan Leekpai	Chuan Leekpai
Une Seule Nuit	Une Seule Nuit
Ìpínlẹ̀ Kwárà	Kwara
Ẹnúgu	Enugu
Susanne Blakeslee	Susanne Blakeslee
Carlos María de Alvear	Carlos María de Alvear
Charles Carroll ilẹ̀ Carrollton	Charles Carroll de Carrollton
Lidia Gueiler Tejada	Lidia Gueiler Tejada
Róisín Murphy	Róisín Murphy
Transkei	Transkei
Vilma Espin	Vilma Espín
Laureano Gómez	Laureano Gómez
Samir Rifai	Samir Rifai
Luis García Meza Tejada	Luis García Meza Tejada
Andrés de Santa Cruz	Andrés de Santa Cruz
Fructuoso Rivera	Fructuoso Rivera
Manuel Oribe	Manuel Oribe
La Renaissance	La Renaissance
Jorge Quiroga	Jorge Quiroga Ramírez
179 Klytaemnestra	(179) Clitemnestra
Shitao	Shitao
Cipriano Castro	Cipriano Castro
Stella Obasanjo	Stella Obasanjo
Leslie Manigat	Leslie Manigat
Henri Namphy	Henri Namphy
Eduardo Santos	Eduardo Santos
Abderrahmane Youssoufi	Abderramán Yusufi
Edward Seaga	Edward Seaga
José María Guido	José María Guido
Paulias Matane	Paulias Matane
Paolo Boselli	Paolo Boselli
Juho Vennola	Juho Vennola
Georgios Tsolakoglou	Georgios Tsolákoglu
Mauno Pekkala	Mauno Pekkala
Jamil Mahuad	Jamil Mahuad
Alberto Demicheli	Alberto Demicheli
Pothinus	Potino el Eunuco
Josiah Royce	Josiah Royce
Martti Miettunen	Martti Miettunen
Alfonso Ferrero La Marmora	Alfonso La Marmora
Aparicio Méndez	Aparicio Méndez
Johannes Virolainen	Johannes Virolainen
James Dunn (òṣeré)	James Dunn
Kaarlo Castrén	Kaarlo Castrén
Gustavo Noboa	Gustavo Noboa
Pierre-Étienne Flandin	Pierre-Étienne Flandin
Augustinos Kapodistrias	Augustinos Kapodistrias
Ernest Courtot de Cissey	Ernest Courtot de Cissey
Karl-August Fagerholm	Karl-August Fagerholm
Dean Jagger	Dean Jagger
Hernán Siles Zuazo	Hernán Siles Zuazo
Ferruccio Parri	Ferruccio Parri
Theodoros Deligiannis	Theodoros Deligiannis
León Febres Cordero	León Febres-Cordero Ribadeneyra
Rafael Urdaneta	Rafael Urdaneta
Ernest Shonekan	Ernest Shonekan
Emperor Go-En'yū	Emperador Go-En'yū
Noble patria, tu hermosa bandera	Himno nacional de Costa Rica
Emperor Kōgon	Emperador Kōgon
Emperor Sukō	Emperador Sukō
Morris Chestnut	Morris Chestnut
Ìtàn ilẹ̀ Mòrókò	Historia de Marruecos
Paramore	Paramore
STS-61-B	STS-61-B
FreeDOS	FreeDOS
Ìtàn ilẹ̀ Àlgéríà	Historia de Argelia
Francisco Rodríguez	Francisco A. Rodríguez
Àmì ọ̀pá àṣẹ ilẹ̀ Gibraltar	Escudo de Gibraltar
Àmì ọ̀pá àṣẹ ilẹ̀ Gúúsù Ossetia	Escudo de Osetia del Sur
Antonio González, 1st Marquis of Valdeterrazo	Antonio González y González
Àkójọ àwọn ilẹ̀ ọbalúayé títóbijùlọ	Anexo:Imperios por superficie
Open Amẹ́ríkà 1999 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Estados Unidos 1999 (individual femenino)
James Weldon Johnson	James Weldon Johnson
Agbègbè Apáàríwá Brasil	Región Norte de Brasil
Bozhe, Tsarya khrani!	Dios salve al zar
Pápá Ọkọ̀ Òfurufú Tân Sơn Nhất	Aeropuerto Internacional de Tan Son Nhat
STS-134	STS-134
Àmì ọ̀pá àṣẹ ilẹ̀ Páláù	Sello de Palaos
Àwọn ọmọ Azerbaijan	Azeríes
Olùkọ̀wé	Autor
Polandi Ko Ti Pofo	Himno nacional de Polonia
Àwọn Ùsbẹ̀k	Uzbeko (etnia)
Michael Clarke Duncan	Michael Clarke Duncan
Boris Tadić	Boris Tadić
Oníṣọ̀nà	Artista
Kde domov můj?	Kde domov můj?
Sunni	Sunismo
Àsìá ilẹ̀ Singapore	Bandera de Singapur
Spẹ́ktróskópì	Espectroscopia
Ali Abdullah Saleh	Ali Abdullah Saleh
Manat Azerbaijani	Manat azerbaiyano
Àsìá ilẹ̀ Ùsbẹ̀kìstán	Bandera de Uzbekistán
Azərbaycan marşı	Himno nacional de Azerbaiyán
Muhammad Iqbal	Muhammad Iqbal
Orin-ìyìn Orílẹ̀-èdè Tsílè	Himno nacional de Chile
Àsìá ilẹ̀ Mòsámbìki	Bandera de Mozambique
Kurmanbek Bakiyev	Kurmanbek Bakíev
Àmì ọ̀pá àṣẹ ilẹ̀ Afghanístàn	Emblema nacional de Afganistán
Sergei Bagapsh	Serguéi Bagapsh
Puntlàndì	Puntlandia
Roza Otunbayeva	Rosa Otunbáeva
Anand Panyarachun	Anand Panyarachun
Anand Satyanand	Anand Satyanand
Itamar Franco	Itamar Franco
Manat Turkmẹ́nìstán	Manat turcomano
Anastasios Charalambis	Anastasios Charalabis
Àmì ọ̀pá àṣẹ ilẹ̀ Ùsbẹ̀kìstán	Emblema nacional de Uzbekistán
Anastasia Rodionova	Anastasia Rodiónova
Anastasia Pavlyuchenkova	Anastasia Pavliuchénkova
United Nations Development Fund for Women	Fondo de Desarrollo de las Naciones Unidas para la Mujer
.ni	.ni
United Nations Human Settlements Programme	Programa de Naciones Unidas para los Asentamientos Humanos
Som Ùsbẹ̀kìstán	Som uzbeko
1813 Imhotep	(1813) Imhotep
Àkójọ àwọn ìlú ní Tsílè	Anexo:Ciudades de Chile
Hilarión Daza	Hilarión Daza Groselle
Àkójọ àwọn ìlú ní Nàìjíríà	Anexo:Localidades de Nigeria
James Avery	James Avery
.nl	.nl
Duval County, Florida	Condado de Duval (Florida)
Park Jung-yang	Park Jung-yang
ISO 3166-2:KR	ISO 3166-2:KR
Àkójọ àwọn ìlú Benin	Anexo:Localidades de Benín
Agbègbè Pemba Gúúsù	Región de Pemba South
Agbègbè Pemba Àríwá	Región de Pemba North
Àmì ọ̀pá àṣẹ ilẹ̀ Apáàríwá Kíprù	Escudo de la República Turca del Norte de Chipre
998 Bodea	(998) Bodea
849 Ara	(849) Ara
Agbègbè Mtwara	Región de Mtwara
Andreas Metaxas	Andreas Metaxas
Andreas Michalakopoulos	Andreas Michalakópulos
Ààrẹ ilẹ̀ Nàìjíríà	Presidente de Nigeria
Cleopa David Msuya	Cleopa David Msuya
Juan Idiarte Borda	Juan Idiarte Borda
Ògbómọ̀ṣọ́	Ogbomosho
José Eugenio Ellauri	José Eugenio Ellauri
Lol Mahamat Choua	Lol Mohamed Shawa
Andrey Kuznetsov (tennis)	Andréi Kuznetsov
Lorenzo Batlle y Grau	Lorenzo Batlle
Rwanda Nziza	Rwanda Nziza
Djìbútì (orin-ìyìn)	Himno nacional de Yibuti
Etí Òkun Wúrà	Costa de Oro británica
Chris Pratt	Chris Pratt
Ìpínlẹ̀ Ọ̀yọ́	Oyo
Ìpínlẹ̀ Dẹ́ltà	Delta (estado)
464 Megaira	(464) Megera
Ìpínlẹ̀ Rivers	Rivers (estado)
Ìpínlẹ̀ Plateau	Plateau (Nigeria)
Ìpínlẹ̀ Niger	Níger (estado)
Ìpínlẹ̀ Bauchi	Bauchi
Ìpínlẹ̀ Sókótó	Sokoto (estado)
Ìjímèrè	Erythrocebus patas
Àmì ọ̀pá àṣẹ ilẹ̀ Grẹ̀nádà	Escudo de Granada (país)
Ààrẹ ilẹ̀ Kóstá Rikà	Presidente de Costa Rica
In Plenty and In Time of Need	In Plenty and In Time of Need
Orin-ìyìn Orílẹ̀-èdè El Salfador	Himno Nacional de El Salvador
Mark Edmondson	Mark Edmondson
Ìpínlẹ̀ Ẹ̀bọ́nyì	Ebonyi
Ààrẹ ilẹ̀ Làìbéríà	Anexo:Presidente de Liberia
Dọ́là àwọn Erékùṣù Cook	Dólar de las Islas Cook
Teófilo Stevenson	Teófilo Stevenson
2161 Grissom	(2161) Grissom
Frank Lautenberg	Frank Lautenberg
Se Canta	Se canta
ISO/IEC 11801	ISO/IEC 11801
Agbègbè Olúìlú Ìjọba Àpapọ̀ Abùjá	Territorio de la Capital Federal
Chidchai Wannasathit	Chitchai Wannasathit
Bakenranef	Bakenrenef
Cargados Carajos	Cargados Carajos
2769 Mendeleev	(2769) Mendeleev
Ìtàn ilẹ̀ Kepu Ferde	Historia de Cabo Verde
Àwọn àsìá ilẹ̀ Áfríkà	Anexo:Banderas de África
Carlos Antonio Mendoza	Carlos Antonio Mendoza
Ọdún Iléyá	Eid al-Adha
16101 Notskas	(16101) Notskas
Osorkon 1k	Osorkon I
Osorkon 3k	Osorkon III
Azali Assoumani	Azali Assoumani
Jerry Mateparae	Jerry Mateparae
Siaka Stevens	Siaka Stevens
Paul Biyoghé Mba	Paul Biyoghé Mba
Matthew Ebden	Matthew Ebden
Theodoros Pangalos (ọ̀gágun)	Theodoros Pangalos
Jimmy Wang (tennis)	Jimmy Wang
Grega Žemlja	Grega Žemlja
Francisco Serrano, 1st Duke of la Torre	Francisco Serrano y Domínguez
ISO 3166-2:MN	ISO 3166-2:MN
Ìdíje Wimbledon 1989 − Àwọn Obìnrin Ẹnìkan	Anexo:Campeonato de Wimbledon 1989 (individual femenino)
Sanjō Sanetomi	Sanjō Sanetomi
2325 Chernykh	(2325) Chernyj
Open Austrálíà 1976 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 1976 (individual femenino)
2767 Takenouchi	(2767) Takenouchi
Merikare	Merykara
STS-3	STS-3
José Giral	José Giral
Diego Martínez Barrio	Diego Martínez Barrio
Juan N. Méndez	Juan N. Méndez
Bettino Ricasoli	Bettino Ricasoli
Jürgen Zopp	Jürgen Zopp
Juwan Howard	Juwan Howard
Conrad Vernon	Conrad Vernon
Cheikh Anta Diop	Cheikh Anta Diop
2069 Hubble	(2069) Hubble
Centavo Ẹ̀kùàdọ̀r	Centavos de dólar de Ecuador
Gulden Ántíllès àwọn Nẹ́dálándì	Florín antillano neerlandés
Andrés Martínez Trueba	Andrés Martínez Trueba
Àsìá ilẹ̀ Kalmykia	Bandera de Kalmukia
Open Austrálíà 2009 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 2009 (individual femenino)
MT9	MT9
STS-51-J	STS-51-J
ISO 22000	ISO 22000
Ìtàn ilẹ̀ Ghánà	Historia de Ghana
Pápá Ọkọ̀ Òfurufú Káríayé Nnamdi Azikiwe	Aeropuerto Internacional Nnamdi Azikiwe
2941 Alden	(2941) Alden
5584 Izenberg	(5584) Izenberg
Jean-Marie Doré	Jean-Marie Doré
Petros Protopapadakis	Petros Protopapadakis
Mariano Ignacio Prado	Mariano Ignacio Prado Ochoa
Sangoulé Lamizana	Aboubacar Sangoulé Lamizana
Chaovarat Chanweerakul	Chavarat Charnvirakul
7901 Konnai	(7901) Konnai
2780 Monnig	(2780) Monnig
2742 Gibson	(2742) Gibson
Philip Levine	Philip Levine
Efrem Zimbalist, Jr.	Efrem Zimbalist Jr.
10039 Keet Seel	(10039) Keet Seel
Ìpínlẹ̀ Bàyélsà	Bayelsa
Àtòjọ àwọn obìnrin ẹnìkan ayọrí Ìdíje Wimbledon	Anexo:Campeones de Wimbledon (individual femenino)
8672 Morse	(8672) Morse
Iuput 2k	Iuput II
Luigi Pelloux	Luigi Pelloux
Ìpínlẹ̀ Èkìtì	Ekiti
STS-123	STS-123
PCX	PCX
Alberto Fermín Zubiría	Alberto Fermín Zubiría
Àmì ọ̀pá àṣẹ ilẹ̀ Tokelau	Escudo de Tokelau
742 Edisona	(742) Edisona
2278 Götz	(2278) Götz
Charles Helou	Charles Helou
5411 Liia	(5411) Liia
1974 Caupolican	(1974) Caupolican
Domingo Elías	Domingo Elías
Guillermo León Valencia	Guillermo León Valencia
Virgilio Barco Vargas	Virgilio Barco
Carlos Lleras Restrepo	Carlos Lleras Restrepo
7437 Torricelli	(7437) Torricelli
Àkójọ àwọn nọ́mbà	Anexo:Números
6062 Vespa	(6062) Vespa
Mariano Herencia Zevallos	Mariano Herencia Zevallos
Open Austrálíà 2011 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 2011 (individual femenino)
Manuel Allendesalazar y Muñoz de Salazar	Manuel Allendesalazar y Muñoz de Salazar
Bechara El Khoury	Bechara El Khoury
2232 Altaj	(2232) Altaj
Ray Charles	Ray Charles
Kathy Bates	Kathy Bates
2246 Bowell	(2246) Bowell
Matt Frewer	Matt Frewer
3375 Amy	(3375) Amy
7742 Altamira	(7742) Altamira
Themistoklis Sophoulis	Themistoklis Sophoulis
Àkójọ àwọn èdè iṣẹ́ọba gẹ́gẹ́ bíi ọrílẹ̀-èdè	Anexo:Idiomas oficiales por Estado
Ìdíje Wimbledon 1972 − Àwọn Obìnrin Ẹnìkan	Anexo:Campeonato de Wimbledon 1972 (individual femenino)
2024 McLaughlin	(2024) McLaughlin
Aniceto Esquivel Sáenz	Aniceto Esquivel Sáenz
Ẹdun Oríòkun	Colobus vellerosus
Pópù Anicetus	Aniceto
5991 Ivavladis	(5991) Ivavladis
Fabre Geffrard	Fabre Geffrard
Fernando de Santiago y Díaz	Fernando de Santiago
1996 Adams	(1996) Adams
2735 Ellen	(2735) Ellen
Juho Sunila	Juho Sunila
Nahnu Jund Allah Jund Al-watan	Nahnu Jund Allah Jund Al-watan
3160 Angerhofer	(3160) Angerhofer
Jules Simon	Jules Simon
Arsenio Martínez-Campos y Antón	Arsenio Martínez Campos
Mutiu Adepoju	Mutiu Adepoju
Pedubast 1k	Padibastet
Kenneth Hall	Kenneth Hall
Takelot 1k	Takelot I
Goukouni Oueddei	Goukouni Oueddei
Stephanos Stephanopoulos	Stephanos Stephanopulos
William Henry Waddington	William Henry Waddington
Nikolaos Kalogeropoulos	Nikolaos Kalogeropulos
Michael Olowokandi	Michael Olowokandi
Suleiman Frangieh	Suleiman Frangieh
Josef Tošovský	Josef Tošovský
Asiteeki-Tanoanu	Macrofamilia azteco-tañoana
2697 Albina	(2697) Albina
High We Exalt Thee, Realm of the Free	Himno nacional de Sierra Leona
Chester Himes	Chester Himes
Giuseppe Zanardelli	Giuseppe Zanardelli
Dimitar Kutrovsky	Dimitar Kutrovsky
Estanislau Figueras	Estanislao Figueras
José Miguel Gómez	José Miguel Gómez
Onyekachi Apam	Onyekachi Apam
Juan José Flores	Juan José Flores
Jaime Paz Zamora	Jaime Paz Zamora
Don Knotts	Don Knotts
Emperor Go-Kōgon	Emperador Go-Kōgon
Emperor Kōmyō	Emperador Kōmyō
ISO 3166-2:GR	ISO 3166-2:GR
Agbègbè Dar es Salaam	Región de Dar es-Salam
Benjamin Banneker	Benjamin Banneker
Yıldırım Akbulut	Yıldırım Akbulut
Manuel Amador Guerrero	Manuel Amador Guerrero
Mariano Ospina Pérez	Mariano Ospina Pérez
Carrot Top	Carrot Top
Cinepak	Cinepak
D. M. Jayaratne	Disanayaka Mudiyanselage Jayaratne
Eusebio Ayala	Eusebio Ayala
Takelot 2k	Takelot II
Faustin 1k ilẹ̀ Hàítì	Faustino I
Venancio Flores	Venancio Flores
Kriangsak Chomanan	Kriangsak Chomanan
Michael Ogio	Michael Ogio
Souleymane Ndéné Ndiaye	Souleymane Ndéné Ndiaye
Sobekhotep 2k	Sebekhotep II
Moses Blah	Moses Blah
Emilio Aceval	Emilio Aceval
Willy Telavi	Willy Telavi
Manuel de la Peña y Peña	Manuel de la Peña y Peña
Danny Philip	Danny Philip
José María Castro Madriz	José María Castro Madriz
Márcio Melo	Márcio Melo
Joaquín Chapaprieta	Joaquín Chapaprieta
Manuel Portela Valladares	Manuel Portela
Antonio Maura	Antonio Maura
Manuel García-Prieto, 1st Marquis of Alhucemas	Manuel García Prieto
Segismundo Moret	Segismundo Moret
Miguel Ángel Rodríguez	Miguel Ángel Rodríguez Echeverría
Dámaso Berenguer, 1st Count of Xauen	Dámaso Berenguer
Sobekemsaf 1k	Sobekemsaf I
3325 TARDIS	(3325) TARDIS
1956 Artek	(1956) Artek
10028 Bonus	(10028) Bonus
9291 Alanburdick	(9291) Alanburdick
16459 Barth	(16459) Barth
Ìdíje Wimbledon 1976 − Àwọn Obìnrin Ẹnìkan	Anexo:Campeonato de Wimbledon 1976 (individual femenino)
ISO/IEC 80000	ISO/IEC 80000
STS-27	STS-27
Anselmo Alliegro y Milá	Anselmo Alliegro y Milá
Kwasi Wiredu	Kwasi Wiredu
Ìtàn ilẹ̀ Rùwándà	Historia de Ruanda
Open Amẹ́ríkà 1988 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Estados Unidos 1988 (individual femenino)
2762 Fowler	(2762) Fowler
Brooklyn Nets	Brooklyn Nets
Centavo Ìlàòrùn Timor	Centavos de dólar de Timor Oriental
5668 Foucault	(5668) Foucault
Kánúrí	Pueblo kanuri
Kwame Anthony Appiah	Kwame Anthony Appiah
Warri	Warri
Daniel Oduber Quirós	Daniel Oduber Quirós
5113 Kohno	(5113) Kohno
Stream Control Transmission Protocol	Stream Control Transmission Protocol
Open Austrálíà 1993 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 1993 (individual femenino)
Àsìá ilẹ̀ Karachay-Cherkessia	Bandera de Karacháyevo-Cherkesia
Àmì ọ̀pá àṣẹ ilẹ̀ Wallis àti Futuna	Escudo de Wallis y Futuna
Europe (orin-ìyìn)	Europa (himno)
Agbègbè Baltiki	Región báltica
Alfredo González Flores	Alfredo González Flores
Nkulunkulu Mnikati wetibusiso temaSwati	Nkulunkulu Mnikati wetibusiso temaSwati
Òkòwò ilẹ̀ Áfríkà	Economía de África
3000 Leonardo	(3000) Leonardo
2763 Jeans	(2763) Jeans
2755 Avicenna	(2755) Avicena
59239 Alhazen	(59239) Alhazen
9446 Cicero	Cicerón (asteroide)
STS-41-B	STS-41-B
2933 Amber	(2933) Amber
6469 Armstrong	(6469) Armstrong
359 Georgia	(359) Georgia
Àtòjọ àwọn onítẹ́nìs ATP ẹnìkan onípò kínní	Anexo:Tenistas número 1 en el ranking ATP individual
Owerri	Owerri
6032 Nobel	(6032) Nobel
Washington Beltrán	Washington Beltrán Mullin
Ìfòlókè 992 Dana Air	Vuelo 992 de Dana Air
2761 Eddington	(2761) Eddington
2519 Annagerman	(2519) Annagerman
Baskin-Robbins	Baskin Robbins
Jẹ́ọ́gráfì ilẹ̀ Swásílándì	Geografía de Suazilandia
2739 Taguacipa	(2739) Taguacipa
Ìṣe Òfin àwọn Ẹ̀tọ́ Aráàlú 1964	Ley de Derechos Civiles de 1964
2526 Alisary	(2526) Alisary
8000 Isaac Newton	(8000) Isaac Newton
Hammadid	Hamaditas
Joint United Nations Programme on HIV/AIDS	Programa Conjunto de las Naciones Unidas sobre el VIH/sida
Alexandros Diomidis	Alexandros Diomidis
Àmì ọ̀pá àṣẹ ilẹ̀ Saint Barthélemy	Escudo de San Bartolomé (Francia)
Jẹ́ọ́gráfì ilẹ̀ Nìjẹ̀r	Geografía de Níger
MPEG-1 Audio Layer II	MP2
5065 Johnstone	(5065) Johnstone
Open Austrálíà 2006 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 2006 (individual femenino)
ISO 3166-2:SE	ISO 3166-2:SE
Open Amẹ́ríkà 1993 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Estados Unidos 1993 (individual femenino)
10089 Turgot	(10089) Turgot
Clovis 3k	Clodoveo III
Jẹ́ọ́gráfì ilẹ̀ Nàìjíríà	Geografía de Nigeria
2250 Stalingrad	(2250) Stalingrad
Ernest Hollings	Ernest Hollings
Martín Carrera	Martín Carrera
30828 Bethe	(30828) Bethe
ISO/IEC 8859-15	ISO 8859-15
Shorten	Shorten
9885 Linux	(9885) Linux
José de la Mar	José de La Mar
9965 GNU	(9965) GNU
Ìtàn ilẹ̀ Djìbútì	Historia de Yibuti
Àmì ọ̀pá àṣẹ ilẹ̀ Màkáù	Escudo de Macao
10060 Amymilne	(10060) Amymilne
4000 Hipparchus	(4000) Hipparchus
ISO 3166-2:YE	ISO 3166-2:YE
Victorino de la Plaza	Victorino de la Plaza
Antonio González de Aguilar, 8th Marquis of la Vega de Armijo	Antonio Aguilar y Correa
Antonio Arenas	Antonio Arenas Merino
Nwankwo Kanu	Nwankwo Kanu
Ìdíje Wimbledon 1971 − Àwọn Obìnrin Ẹnìkan	Anexo:Campeonato de Wimbledon 1971 (individual femenino)
Ilẹ̀ Kálìfù Sókótó	Califato de Sokoto
STS-41-G	STS-41-G
Juan Lindolfo Cuestas	Juan Lindolfo Cuestas
(6781) 1990 OD	(6781) 1990 OD
Àsìá ilẹ̀ Tuva	Bandera de Tuvá
842 Kerstin	(842) Kerstin
Tomás Romero Pereira	Tomás Romero Pereira
Antonio Flores Jijón	Antonio Flores Jijón
Antonio Guzmán Blanco	Antonio Guzmán Blanco
Independência total	Independência total
10068 Dodoens	(10068) Dodoens
1942 Jablunka	(1942) Jablunka
Arnulfo Arias	Arnulfo Arias Madrid
10090 Sikorsky	(10090) Sikorsky
António Pinto Soares	Antonio Pinto Soares
Dirac (codec)	Dirac (códec)
Àmì ọ̀pá àṣẹ ilẹ̀ Mayotte	Escudo de Mayotte
Antonio Starabba, Marchese di Rudinì	Antonio Starabba
Charles Rivière-Hérard	Charles Rivière-Hérard
Jay-Jay Okocha	Augustine Okocha
Open Amẹ́ríkà 1976 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Estados Unidos 1976 (individual femenino)
10011 Avidzba	(10011) Avidzba
STS-51-C	STS-51-C
2770 Tsvet	(2770) Tsvet
Open Amẹ́ríkà 1996 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Estados Unidos 1996 (individual femenino)
Nọ́mbà aláìníìpín	Número irracional
Àkójọ àwọn Ààrẹ ilẹ̀ Dómíníkì Olómìnira	Presidente de la República Dominicana
VP6	VP6
Abergavenny	Abergavenny
Roland Burris	Roland Burris
Àwọn Erékùṣù Matsu	Islas Matsu
Àsìá ilẹ̀ Chechnya	Bandera de Chechenia
Antti Tulenheimo	Antti Tulenheimo
2784 Domeyko	(2784) Domeyko
10088 Digne	(10088) Digne
Ìṣèlú ilẹ̀ Sao Tome àti Principe	Gobierno y política de Santo Tomé y Príncipe
Serzh Sargsyan	Serzh Sargsián
Àsìá ilẹ̀ Chuvashia	Bandera de Chuvasia
3286 Anatoliya	(3286) Anatoliya
Julio Acosta García	Julio Acosta García
10055 Silcher	(10055) Silcher
Ìṣèlú ilẹ̀ Siẹrra Léònè	Política de Sierra Leona
128036 Rafaelnadal	(128036) Rafaelnadal
Hamilton Green	Hamilton Green
Jean-Baptiste Riché	Jean-Baptiste Riché
Apapa	Apapa
Denis Golovanov	Denís Golovánov
Apple Lossless	Apple Lossless
Àwọn álótrópù kárbọ̀nù	Alótropos del carbono
Dolby Digital	Dolby Digital (AC-3)
Ìfrìkíyà	Ifriqiya
United Nations Population Fund	Fondo de Población de las Naciones Unidas
Salve, Oh Patria	Salve, oh patria
Orin-ìyìn Orílẹ̀-èdè Paragúáì	Himno nacional del Paraguay
Arauca, Arauca	Arauca (Arauca)
Ntare 5k ilẹ̀ Bùrúndì	Charles Ndizeye
Open Austrálíà 1999 − Àwọn Obìnrin Ẹnìkan	Anexo:Abierto de Australia 1999 (individual femenino)
Orin-ìyìn Orílẹ̀-èdè Sìmbábúè	Himno nacional de Zimbabue
Juan Manuel Frutos	Juan Manuel Frutos
STS-129	STS-129
33157 Pertile	(33157) Pertile
STS-92	STS-92
22570 Harleyzhang	(22570) Harleyzhang
Àsìá ilẹ̀ àwọn Azores	Bandera de las Azores
Ricardo Jiménez Oreamuno	Ricardo Jiménez Oreamuno
Epameinontas Deligeorgis	Epameinontas Deligeorgis
Yunifásítì ìlú Pula	Universidad Yurai Dobrila de Pula
Kyriakoulis Mavromichalis	Kiriakulis Mavromichalis
Florencio García Goyena	Florencio García Goyena
A. N. R. Robinson	Arthur Robinson
Elena Vesnina	Yelena Vesniná
4917 Yurilvovia	(4917) Yurilvovia
Ìdíje Wimbledon 1973 − Àwọn Obìnrin Ẹnìkan	Anexo:Campeonato de Wimbledon 1973 (individual femenino)
Resource reservation protocol	Protocolo de reserva de recursos
Augusto Tasso Fragoso	Augusto Fragoso
1957 Angara	(1957) Angara
2572 Annschnell	(2572) Annschnell
Ààrẹ ilẹ̀ Ẹ́gíptì	Anexo:Gobernantes de Egipto
8933 Kurobe	(8933) Kurobe
