افريقا	África
اېف-۱۴	Grumman F-14 Tomcat
ويټامين	Vitamina
تورات	Torá
كرم	Brassica oleracea var. capitata
متل	Proverbio
هينداره	Espejo
لرغونې پاړسي	Persa antiguo
عربان	Pueblo árabe
براډ پېت	Brad Pitt
کړکۍ	Ventana
اکدي ژبه	Idioma acadio
څارندوی	Policía
ولسي جرگه	Parlamento
اوساکا	Osaka
د کېمبرېج پوهنتون	Universidad de Cambridge
اجرايي قوه	Poder ejecutivo
تعمید غسل	Bautismo
ډډون	Inflación
سابندي	Asma
عمر خيام	Omar Jayam
وله	Salix
محمد علي کلي	Muhammad Ali
خاوره	Suelo
اينځر	Ficus carica
ليکوال	Escritor
د توهوکو سونامي او رېږدله ۲۰۱۱	Terremoto y tsunami de Japón de 2011
واتسلاف هاول	Václav Havel
د ورېښم لار	Ruta de la seda
جېن آسټن	Jane Austen
کوردي ژبه	Idioma kurdo
زرۍ	Milenio
علمی نوم	Nomenclatura binomial
هنرېک ايبسن	Henrik Ibsen
ماموت	Mammuthus
څلورڅنډی	Cuadrilátero
د سرکوزي والگی	Gripe porcina
اوزون	Ozono
جذام	Lepra
مخ (اناتومي)	Cara
خپلواکي	Independencia
ښوون	Olea europaea
سليمان	Salomón
یاهو!	Yahoo!
کرښه (مېچپوهنه)	Recta
فرعون	Faraón
کلاشېنکوف اې کې ۴۷	AK-47
څپه	Onda
د وینې سره کرویات	Eritrocito
سند	Sind
فرانسېس بیکن	Francis Bacon
معمولي مندته	Prunus armeniaca
نيکول کېډمېن	Nicole Kidman
هايکو	Haiku
عثمان بن عفان	Uthman Ibn Affan
وگړشمېرنه	Demografía
ځمکواکي	Feudalismo
اوبړۍ	Alga
نتالي پورټمېن	Natalie Portman
هېرټا مولر	Herta Müller
مکډونالډز	McDonald's
يوکوهوما	Yokohama
گړپوهنه	Morfología lingüística
ويليم فاکنر	William Faulkner
هندواڼه	Citrullus lanatus
پخلی	Cocción
د حماس اسلامي غورځنگ	Hamás
آيت الله روح الله خميني	Ruhollah Jomeini
ليزر	Láser
تبه	Fiebre
تيد	Teide
کوچنی وټه	Microeconomía
رجب طيب اردوغان	Recep Tayyip Erdoğan
خزدکپوهنه	Entomología
تبر	Hacha
علي بن ابي طالب	Ali Ibn Abi Talib
گورجی سپی	Setter
لویه وټه	Macroeconomía
انسولين	Insulina
بازارموندنه	Mercadotecnia
سرشمېرنه	Censo (estadística)
ابن رشد	Averroes
لسيزه	Década
بادام	Prunus dulcis
څښاک	Bebida
نيانډرټال	Homo neanderthalensis
الهي کمېډي	Divina comedia
ووب	Tejido (biología)
پروېز مشرف	Pervez Musharraf
لوط	Lot (bíblico)
دهاډرونو ستر تعجیل کوونکي ماشین	Gran colisionador de hadrones
يحيی	Juan el Bautista
دیلما روسف	Dilma Rousseff
ساندرا بللاک	Sandra Bullock
جراحي	Cirugía
بياتي	Tijera
نفرتيتي	Nefertiti
لمونځ	Oración (religión)
سکايپ	Skype
غږپوهنه	Fonología
هارولډ پينټر	Harold Pinter
د حزب الله اسلامی غورځنگ	Hezbolá
باو	Sífilis
د آشور واکمني	Asiria
ودانۍ	Edificio
سوني	Sony
باريس ولاديميروويچ پاسترناک	Borís Pasternak
کونستانتين اېدواردوويچ تسيولکوفسکي	Konstantín Tsiolkovski
سينما	Sala de cine
بودجه	Presupuesto
څپواټن	Longitud de onda
داوود	David
کنگل هاکي	Hockey sobre hielo
کوردستان	Kurdistán
د موس مقياس	Escalas de dureza
بواسيرونه	Hemorroides
سلواغه (مياشت)	Bahmán
ليندۍ (مياشت)	Azar (calendario persa)
مرغومی (مياشت)	Dey
کب (مياشت)	Esfand
هېنريک سېنکېويچ	Henryk Sienkiewicz
ککرۍ پتنگ	Acherontia atropos
كوكايين	Cocaína
فینیکیان	Fenicia
شهادت	Shahada
تله (مياشت)	Mehr
د بابل ځوړند بڼ	Jardines Colgantes de Babilonia
حاکميت	Soberanía
خديجه بنت خويلد	Jadiya
ام سلمه هند بنت ابي اميه	Umm Salama Hind bint Abi Umayya
نیلي نهنگ	Balaenoptera musculus
څېړنه	Investigación
سولي پرودممه	Sully Prudhomme
اوبپوهنه	Hidrología
بوکر	Cono (geometría)
د مورنۍ ژبې نړيواله ورځ	Día Internacional de la Lengua Materna
سهيونېزم	Sionismo
د طالبانو اسلامي غورځنگ	Talibán
اناکزیمېنډر	Anaximandro
کورکمن	Curcuma longa
د مسلمانانو د شمېر له مخې د هېوادونو لړليک	Anexo:Islam por país
ځنگلي پيشو	Felis chaus
عبدالله گل	Abdullah Gül
ختيځپوهنه	Orientalismo
کرېشنا	Krishna
ساباوري	Animismo
ليکچه	Cuaderno
مالیه	Finanzas
وچکالي	Sequía
تور مرچ	Piper nigrum
ياقوت	Rubí
کشمير	Cachemira (región)
ټولپوښتنه	Referéndum
كپېړ	Crocodylidae
مولانا جلال الدين محمد بلخي	Yalal ad-Din Muhammad Rumi
کارغه	Corvus
پلزن	Pilsen
توکمپوهنه	Etnología
مټ	Brazo
زمرد	Esmeralda
وحشي پيشو	Felis silvestris
شکرخوره	Trochilidae
فدراسيون	Federación
شونډکيز چرگ	Meleagris
انسلم	Anselmo de Canterbury
حامد کرزی	Hamid Karzai
یان هوس	Jan Hus
کورني آلو	Prunus domestica
اندرس بېرينگ برېويک	Anders Breivik
شينټاغی	Coraciidae
احمد سلمان رشدي	Salman Rushdie
افسانه	Leyenda
داریوش ۱	Darío I
توت	Morus (planta)
اېنټروپي	Entropía
هرات	Herāt (ciudad)
کودتا	Golpe de Estado
کندهار	Kandahar
تړمه ييزه پراختیا	Coeficiente de dilatación
غشی	Flecha
غږتاندی	Micrófono
ابن عربي	Ibn Arabi
وری (مياشت)	Farvardín
توراڼه	Dicrurus macrocercus
اپيم	Opio
وږی (مياشت)	Shahrivar
اوسيريس	Osiris
ازاد بازار	Mercado libre
احمد شاه دراني	Ahmed Sah Abdali
اسراييل لرغونتون	Museo de Israel
جي اس ام	Sistema global para las comunicaciones móviles
غويی (مياشت)	Ordibehesht
زمری (مياشت)	Mordad
غبرگولی (مياشت)	Jordad
اېشواريه رای	Aishwarya Rai
چنگاښ (مياشت)	Tir (calendario persa)
نوغپوهنه	Genealogía
مېلټون فرايډمېن	Milton Friedman
بانکنوټ	Papel moneda
نړيواله جنايي محکمه	Corte Penal Internacional
رادار	Radar
د اسلامي همکاريو سازمان	Organización para la Cooperación Islámica
سياسي وټه	Economía política
د بابل واکمني	Imperio babilónico
جبران خليل جبران	Gibran Jalil Gibran
خټکی	Melón verde
روبي وېليمز	Robbie Williams
د سږو سرطان	Cáncer de pulmón
مهايانا	Mahāyāna
امريتسر	Amritsar
اس ـ ۳۰۰	S-300
مير تشيال تمځی	Mir (estación espacial)
لنډه کيسه	Cuento
د لبنان جگړه ۲۰۰۶	Guerra del Líbano de 2006
گرځندويي	Turismo
شاعر	Poeta
بادي توربین	Aerogenerador
يو گونديز حکومت	Unipartidismo
مصري ژبه	Lenguas egipcias
هارون	Aarón
ایبولا ناروغۍ	Enfermedad por el virus del Ébola
ژونځمکپوهنه	Biogeografía
غونډ	Regimiento
سور كانگرو	Macropus rufus
هارپي	Harpia harpyja
ابسيډين	Obsidiana
وېشنيزه:حکومت	Categoría:Gobierno
د کيلو کلاس اوبتل	Clase Kilo
سپايس گرلز	Spice Girls
مېزپاسی سولگر	Computadora de escritorio
پاراستامول	Paracetamol
عبدالله بن عبدالعزیز آل سعود	Abdalá bin Abdelaziz
سيد على خامنه‌اى	Alí Jamenei
امام علي رحمانوف	Emomali Rahmon
اودو فوګت	Udo Voigt
اسلام کريموف	Islom Karimov
گيودو ويسترويلي	Guido Westerwelle
پښتو ژبه	Idioma pastún
عرب سمندرگی	Mar Arábigo
گرمټ	Taladradora
دیو جانس کلبی	Diógenes de Sinope
کورنت توغندی	9M133 Kornet
هېرويين	Heroína
کوفین	Cafeína
اندروجن	Andrógeno
سيمټيکس	Semtex
راوړنې	Importación
ببرک کارمل	Babrak Karmal
حفيظ الله امين	Jafizulá Amín
يوسف عبدالله القرضاوي	Yusuf al-Qaradawi
تريخی	Vesícula biliar
انتوني هوپکينز	Anthony Hopkins
مرکزي بانک	Banco central
جيپور	Jaipur
سيبري پړانگ	Panthera tigris altaica
القلويد	Alcaloide
آدم	Adán
یوسيف ۲	José II de Austria
کریستوف والڅ	Christoph Waltz
عبدالاحد مومند	Abdul Ahad Mohmand
ښاري انجنيري	Ingeniería civil
وړانگپوهنه	Radiología
اليگارشي	Oligarquía
زړه گراف	Electrocardiograma
د افغانستان رپی	Bandera de Afganistán
ايسيس	Isis
ځوانکې	Acné
اېترنټ	Ethernet
چکوتره	Citrus maxima
بشري پوهنې	Humanidades
ټپوس	Milvus migrans
نهنگی شارک	Rhincodon typus
بېنډۍ	Abelmoschus esculentus
د سلطان احمد جومات	Mezquita Azul
اټومي بټۍ	Reactor nuclear
مايکروسافټ اوټلوک	Microsoft Outlook
بنگالي پړانگ	Panthera tigris tigris
مالداري	Ganadería
معمولي کپر (کب)	Cyprinus carpio
اولوموڅ	Olomouc
مورفين	Morfina
د صرافی ماشین	Cajero automático
نخود	Cicer arietinum
نوح	Noé
والټ وايټمېن	Walt Whitman
غاښۍ	Tenedor
چوپسټېک	Palillos
د خوړو او کرهڼې سازمان	Organización de las Naciones Unidas para la Alimentación y la Agricultura
براشوف	Brașov
زنه	Barbilla
قطبي گيدړ	Alopex lagopus
سياستوال	Político
شپږڅنډی	Hexágono
د افغانستان جگړه (۱۹۷۹-۱۹۸۹)	Guerra de Afganistán (1978-1992)
ختيځ هند کمپنۍ	Compañía Británica de las Indias Orientales
الكساندر نيكولاېويچ رومانوف	Alejandro II de Rusia
اسکلېپيوس	Asclepio
ژان اېف کوستو	Jacques-Yves Cousteau
وزير (حکومت)	Ministro
گرو نانک	Gurú Nanak
کانپوهنه	Mineralogía
شېنگن تړون	Acuerdo de Schengen
سابه خوړونکي	Vegetarianismo
امپيدوکلېس	Empédocles
اوېستا	Avesta
ستر جنرال	General
شاه جهان	Sha Jahan
شېر شاه سوري	Sher Shah Suri
خوشحال خان خټک	Jushal Jan Jattak
د الله نومونه	99 nombres de Dios
د ساسانيانو واکمني	Imperio sasánida
هوروس	Horus
راټکو مېلادېچ	Ratko Mladić
انځورگري	Dibujo
پرېژه	Divorcio
باليووډ	Bollywood
اېف – ۱۶	Lockheed Martin F-16 Fighting Falcon
کلوژ-ناپوکا	Cluj-Napoca
مرزا حسين علي بهاالله	Baha'ullah
نېغ انسان	Homo erectus
ماهر انسان	Homo habilis
هاډرون	Hadrón
سوسن	Convallaria majalis
اينو	Ainu
تسپود	Inflamación
بايوم	Bioma
لروين	Prismáticos
گبين مچۍ	Apis (género)
آوسټرالوپیتهېکوس	Australopithecus
نړېواله جگړه	Guerra mundial
روي شنکر	Ravi Shankar (músico)
چندرۍ	Humulus lupulus
کرښی	Regla graduada
قضايي قوه	Poder judicial
ماگنوس کارلسن	Magnus Carlsen
جگجيت سېنگ	Jagjit Singh
خاښۍ	Horca (herramienta)
ايالت	Estado federado
کندوز	Qundūz
انجه	Ferula assafoetida
مارشال	Mariscal
انټيکولينرجيک	Anticolinérgico
مالي کړکېچ	Crisis financiera
هزاره گان	Hazara
سليكان ډای اکسايډ	Óxido de silicio (IV)
کورکورکه	Streptopelia chinensis
د وېلسن ناروغي	Enfermedad de Wilson
ابن قيم الجوزي	Ibn Qayyim Al-Jawziyya
الكساندر الكساندروويچ رومانوف	Alejandro III de Rusia
بلخ ولايت	Provincia de Balj
مشهد	Mashhad
رنځورپالنه	Enfermería
ټولنیزه ولسواکي	Socialdemocracia
د ستنې طب	Acupuntura
سفارت	Embajador
کجير	Buitre
عقيق	Ágata (mineral)
اپلاتون او دولت	República (Platón)
ارستوکراسي	Aristocracia
زکات	Azaque
ميرمشاه	Miranshah
گيورگې ژوکوف	Gueorgui Zhúkov
د اوبو چينه	Manantial
بڼ پالنه	Jardinería
وېليم جېمز	William James
غوڅندۍ	Sierra (herramienta)
سورلنډی	Chacal
د موسم بدلون	Cambio climático
واټن	Distancia
کوباني	Kobane
پراگماتيزم	Pragmatismo
وړکتون	Educación preescolar
ابن ميمون	Maimónides
شين یاقوت	Zafiro
پينځڅنډی	Pentágono
ټوټالېټر	Totalitarismo
کوچيان	Nómada
درملپوهنه	Farmacología
د زیات شوي ارزښت ورکړېنه	Impuesto al valor agregado
خټنه	Viscosidad
لوي سپين شارک	Carcharodon carcharias
د جمشید پلاز	Persépolis
انتراکس	Carbunco
خشايارشا	Jerjes I
مزار شريف	Mazar-e Sarif
مېگ ۲۹	Mikoyan MiG-29
د ذرو تعجيل کوونکي ماشين	Acelerador de partículas
ډیمېټروډون	Dimetrodon
سپاینوسور	Spinosaurus
بېیپیاوساوروس	Beipiaosaurus
خلافت	Califato
معمولي آلوبالو	Prunus cerasus
زغوپرواژی	Plaguicida
ډومنيک ډي وېلپين	Dominique de Villepin
د قم ولايت	Provincia de Qom
گڼرسنۍ	Multimedia
کوروند	Corindón
سریښ	Adhesivo
والي	Gobernador
توکمکښنه	Etnografía
کرما په هندويزم کې	Karma
آيورويدا	Ayurveda
د جال تړونونه	Protocolo de comunicaciones
جوليوس روبرټ اوپنهايمر	Robert Oppenheimer
باختر	Bactriana
هېروگليف	Jeroglíficos egipcios
ولاديمير ولاديميروويچ ماياکوفسکي	Vladímir Mayakovski
د هند پېښليک	Historia de la India
مستعمره	Colonia administrativa
ملخوزه	Trigonella foenum-graecum
اخوان المسلمون	Hermanos Musulmanes
تومور	Tumor
الياس	Elías
طاعون	Peste
د سېټريک اسيد څرخ	Ciclo de Krebs
دهرما	Dharma
ټاسماني شيطان	Sarcophilus harrisii
توپاز	Topacio
۹×۱۹ مرمی	9 × 19 mm Parabellum
براخاوخېنیوس	Brachauchenius
آندروختونوس اوسترالیس	Androctonus australis
قادريه	Qadiriyya
ابد	Eternidad
میرمېسیا پیلوسولا	Myrmecia pilosula
زابل ولايت	Provincia de Zābul
زکريا	Zacarías (padre de Juan el Bautista)
مسراشمیت مې-۲۶۲	Messerschmitt Me 262
ازاد شعر	Verso libre
شگموښی	Papel de lija
ايليوشين-۷۶	Ilyushin Il-76
زينب بنت خزيمه	Zaynab bint Khuzayma
زينب بنت جحش	Zaynab bint Jahsh
هربرټ سپېنسر	Herbert Spencer
زلمی رسول	Zalmai Rassoul
سارک	Asociación Sudasiática para la Cooperación Regional
يوسف	José (patriarca)
د لويديځ سلاوي ژبې	Lenguas eslavas occidentales
اروپايي صنوبر	Picea abies
شين صنوبر	Picea pungens
چمبل	Viola (género)
پولي ونيل کلورايډ	Policloruro de vinilo
نانگه	Ribes rubrum
قبطيان	Copto
نارنج	Citrus × aurantium
اناناس	Ananas
کاجول	Kajol
ايگلا	9K38 Igla
ځنگلي مېږی	Formica rufa
مېگ ۳۱	Mikoyan MiG-31
پښيميسل اوتاکار ۲	Otakar II de Bohemia
رودلف ۲ هابسبورگ	Rodolfo II del Sacro Imperio Romano Germánico
ميانې	Du l-qa'da
عبد العزيز بن عبدالرحمن بن فيصل آل سعود	Abdelaziz bin Saud
دېوالي	Quiebra
بوغمه	Edema
محمد ظاهر شاه	Mohammed Zahir Shah
ډگر جنرال	Teniente general
البرخت فون والدشتاین	Albrecht von Wallenstein
امير امان الله خان	Amanulá Khan
سکندر مرزا	Iskander Mirza
عمران خان	Imran Khan
یان لوگزامبورگ	Juan I de Bohemia
روهتاس	Fuerte de Rohtas
جيارډيا لامبليا	Giardia lamblia
ميل می ۸	Mil Mi-8
مېسرشمېت بي اف ۱۰۹	Messerschmitt Bf 109
مسراشمیت بي اف ۱۱۰	Messerschmitt Bf 110
یوزي	Uzi
ريچارډ هولبروک	Richard Holbrooke
ميل می ۲۴	Mil Mi-24
ايساف	Fuerza Internacional de Asistencia para la Seguridad
ټې-۷۲	T-72
یونکرس یو ۸۸	Junkers Ju 88
کارل ۴	Carlos IV de Luxemburgo
مېگ ۲۳	Mikoyan-Gurevich MiG-23
ارهنډه	Ricinus communis
اېرو ال-۳۹ الباتروس	Aero L-39 Albatros
نېښ لرونکي بوټي	Urtica dioica
ټېنوفووير	Tenofovir
د آلمان ملي دموکراتیک گوند	Partido Nacionaldemócrata de Alemania
رشقه	Medicago sativa
لتا منگېشکر	Lata Mangeshkar
سره غوړیانه	Lilium martagon
ادميرال پتنگ	Vanessa atalanta
فيض آباد (بدخشان)	Fayzābād
ځريځه	Carthamus tinctorius
محمد رفيع	Mohammad Rafi
گزک بوټي	Plantago lanceolata
ال – ۴۱۰	LET L-410 Turbolet
غوماشی	Anopheles
د افغانستان ولايتونه	Provincias de Afganistán
تاووس پتنگ	Inachis io
جوهي چاولا	Juhi Chawla
پريانکا چوپړا	Priyanka Chopra
ويديا بالان	Vidya Balan
لاکهيډ مارتين آر کيو ۱۷۰ سېنټينل	Lockheed Martin RQ-170 Sentinel
ناصر الدين شاه قاجار	Nasereddín Sah Kayar
سپما گڼون	Cuenta de ahorro
د اس وې ډې دراگونوف ټوپک	Fusil de francotirador Dragunov
یرژي پوديېبراد	Jorge de Podiebrad
د ځمکې گړۍ	La hora del planeta
رام	Rama (dios indio)
محمد علی جناح	Muhammad Ali Jinnah
وچکۍ تبه (محرقه)	Tifus
اتره	Tronco (anatomía)
توت خوره	Fringillidae
شاتوت	Morus nigra
سنځله	Elaeagnus
ښاريتوب	Proceso de urbanización
غونجېدنه (وټپوهنه)	Deflación
خپلپالنه	Nepotismo
باور کارټ	Tarjeta de crédito
پامير	Cordillera del Pamir
وېلنی	Mentha longifolia
سيسۍ	Lagopus
سرطانپوهنه	Oncología
گلايکوليسېز	Glucólisis
شکودا فابيا	Škoda Fabia
گایوس واليریوس کاتولوس	Gayo Valerio Catulo
بلوچستان (پاکستان)	Baluchistán
غالۍ	Alfombra
موزيکپوهنه	Musicología
ليندۍ	Capricornio (astrología)
ابسه	Absceso
گانډۍ	Colmena
کدو	Calabaza gigante
د کرمان ولايت	Provincia de Kermán
بدخشان ولايت	Provincia de Badajshán
لیکاڼۍ	Pluma (escritura)
اتڅنډی	Octógono
مچ	Musca domestica
وړانديز (وټپوهنه)	Oferta y demanda
پارلماني حکومت	Parlamentarismo
برغټ	Otocolobus manul
نگوس	Estereotipo
تېمور شاه دراني	Timur Shah Durrani
نورستان ولايت	Provincia de Nūristān
محمد قسيم فهيم	Mohammed Fahim
ډولومیت	Dolomita
جابر بن حیان	Ŷabir ibn Hayyan
بورقه	Burka
کرايووا	Craiova
کورکوری	Streptopelia turtur
روحانيت	Espiritualidad
انافلاکسي	Anafilaxia
د اسلام انبیاء	Profetas del islam
لاسپېله	Guante
محمد زکريا رازي	Al-Razi
مېترونيدازول	Metronidazol
گرافېن	Grafeno
رنځېږن	Agente biológico patógeno
ليکپاکټ	Sobre
کانفدراسيون	Confederación
ټي اېن ټي	Trinitrotolueno
چېکيان	Checos
بغلان ولايت	Provincia de Baghlan
ابټ آباد	Abbottabad
بدن	Cuerpo (anatomía)
يزد ولايت	Provincia de Yazd
قم	Qom (Irán)
توماس اېډورډ لارېنس	Thomas Edward Lawrence
بيولوژيکي وسلې	Arma biológica
ټېغکه	Laniidae
عباس ۱	Abás el Grande
باميان ولايت	Provincia de Bamiyan
ای اچ ۶۴ آباچی	Boeing AH-64 Apache
لمرگلی	Helianthus annuus
د سهېلي خراسان ولايت	Jorasán del Sur
پېښه	Accidente
کرمان	Kermán
احمديت	Comunidad Ahmadía
د اگرې کلا	Fuerte de Agra
د مذهب خپلواكي	Libertad de culto
تيتر	Numididae
ځانگړواله	Individualismo
بادغيس ولايت	Provincia de Bādgīs
قبة الصخرة جومات	Cúpula de la Roca
اشرف غني احمدزی	Ashraf Ghani Ahmadzai
رېبز	Escoba
ټوپولف ټو-۱۵۴	Túpolev Tu-154
نړیواله پېغله	Miss Mundo
آټوکراسي	Autocracia
خواړه ساتنه	Conserva
مارگريت ميتچېل	Margaret Mitchell
آرگېنين	Arginina
سوخوی سو ٢٧	Sukhoi Su-27
ام۱ آبرامس	M1 Abrams
غزني	Gazni (ciudad)
وختتېری	Entretenimiento
کندهار ولايت	Provincia de Kandahar
کاپيسا ولايت	Provincia de Kāpīsā
هلمند ولايت	Provincia de Helmand
فارياب ولايت	Provincia de Fāryāb
محراب	Mihrab
د الازهر پوهنتون	Universidad de al-Azhar
بوتل پزی څوڅ	Tursiops truncatus
اوسېلوسکوپ	Osciloscopio
توحيد	Tawhid
بي-٥٢ سټراټوفورټرېس	Boeing B-52 Stratofortress
کوډيين	Codeína
قبله	Alquibla
فتح علي شاه قاجار	Fath Alí Sah
بېديانۍ پيشو	Felis margarita
تانبه:تاریخ	Portal:Historia
واتسلاف ۱	Wenceslao I de Bohemia
د اسلام پنځه بنسټونه	Pilares del islam
زوی	Hijo
سکاره	Carbón vegetal
شنقار	Falco rusticolus
د ژونکې تيوري	Teoría celular
فولېرېن	Fullereno
نېکروسېز	Necrosis
د واشنگټن څلی	Monumento a Washington
آنتونوف-۲۲۵	Antonov An-225
وييپوهنه	Lexicología
ننگرهار ولايت	Provincia de Nangarhar
درونکښ	Grúa (máquina)
روژه	Sawm
کاني اوبه	Agua mineral
نولۍ	Mustela putorius furo
لگښت ساتنې تگلاره	Proteccionismo
آنتیستنس	Antístenes
مرکزي حکومت	Estado unitario
د پاکستان په شمال لویدیځ کې جگړه	Guerra en el noroeste de Pakistán
اسماني کتابونه او صحيفې	Libro sagrado
ژبساپوهنه	Psicolingüística
اوبزمکپوهنه	Hidrogeología
د مزلو د اړتیاوو د مرتبو سلسله	Pirámide de Maslow
د بازار وټه	Economía de mercado
اپیکوریزم	Epicureísmo
اورمازده	Ahura Mazda
درملنه	Tratamiento (medicina)
اريايان	Arios
يعقوب کندي	Al-Kindi
گورجېس	Gorgias
سياسي فلسفه	Filosofía política
جوهر دوداییف	Dzhojar Dudáyev
ايوب	Job (Biblia)
د افغانستان ولسي لاره	Himno Nacional de Afganistán
ستورمزلي	Exploración espacial
اېکونومېسټ	The Economist
تورگوت اوزال	Turgut Özal
نورتورپ گرومان بي ۲ سپېريټ	Northrop Grumman B-2 Spirit
لمريز لېږديز کليز	Calendario persa
فراه ولايت	Provincia de Farāh
غزني ولايت	Provincia de Gazni
وړانگدرملنه	Radioterapia
کوټه	Habitación
شاپ	Supositorio
پوهنځی	Facultad universitaria
نکوټي يانا ټیبېکم	Nicotiana tabacum
بلوچستان	Beluchistán
سيد حسن نصرالله	Hasan Nasrallah
دايکندي ولايت	Provincia de Daikondi
پنجشېر ولايت	Provincia de Panjshīr
زړه نابری	Insuficiencia cardíaca
ټوپولف ټو-۹۵	Túpolev Tu-95
بلخ	Balj
امونيم نايټرېټ	Nitrato de amonio
آسيايي زمري	Panthera leo persica
کامبوجيه ۲	Cambises II
سرپل ولايت	Provincia de Sar-e Pul
پکتيا ولايت	Provincia de Paktiyā
خوارزم	Corasmia
بهرونه	Exportación
ايټا جېمز	Etta James
كنسرټ	Concierto
هرات ولايت	Provincia de Herāt
سمنگان ولايت	Provincia de Samangān
نيمروز ولايت	Provincia de Nimruz
روزگان ولايت	Provincia de Urūzgān
جوزجان ولايت	Provincia de Jawzjān
ميدان وردگ ولايت	Provincia de Vardak
کورکوړۍ	Meropidae
شننيزه فلسفه	Filosofía analítica
سېموېل کولټ	Samuel Colt
جلالکوټ	Jalalabad
خيبر پښتونخوا	Jaiber Pajtunjuá
سينوسايټس	Rinosinusitis
موکشا	Moksha (hinduismo)
اسماعيل	Ismael
نسخوږی	Dolor abdominal
زينت امان	Zeenat Aman
لسڅنډی	Decágono
چينايي فلسفه	Filosofía china
بوينگ بي ۲۹	Boeing B-29 Superfortress
کرينه کپور	Kareena Kapoor
بوينگ بي ۱۷ فلاينگ فورټرېس	Boeing B-17 Flying Fortress
اسيډوسېز	Acidosis
واسلين	Vaselina
اوبي ژرنده	Molino de agua
فلېپيني عقاب	Pithecophaga jefferyi
لغمان ولايت	Provincia de Laġmān
مولتان	Multan
کوټه (ښار)	Quetta
پکتيکا ولايت	Provincia de Paktīkā
خوست ولايت	Provincia de Jost
کيفيت	Calidad
د لوی اختر مياشت	Du l-hiyya
بريدمن	Teniente
علي اکبر هاشمي رفسنجاني	Akbar Hashemí Rafsanyaní
ايمن الظواهري	Aymán al-Zawahirí
غور ولايت	Provincia de Ġawr
تخار ولايت	Provincia de Tahār
کندوز ولايت	Provincia de Qundūz
د پاکستان د خلکو گوند	Partido del Pueblo Pakistaní
د اتریش د خلک ګوند	Partido Popular Austríaco
ايبوپروفېن	Ibuprofeno
کارسک گيدړ	Vulpes corsac
ابهيشېک بچچن	Abhishek Bachchan
سالنډي	Disnea
کونړ ولايت	Provincia de Kunar
پروان ولايت	Provincia de Parwān
آيت	Aleya
قول اردو	Cuerpo de ejército
ايمفيسېما	Enfisema pulmonar
احمد ياسين	Ahmed Yasín
برهان الدين رباني	Burhanuddin Rabbani
پريټي زېنتا	Preity Zinta
صحابه	Sahaba
سمایلوډون	Smilodon
اوڅنډی	Heptágono
د افغانستان پېښليک	Historia de Afganistán
کابل ولايت	Provincia de Kabul
ټېډ	TED
آندری کاراطايف	Andréi Korotáyev
سلطان محمود غزنوي	Mahmud de Gazni
د زړه ارېتميا	Trastornos del ritmo cardíaco
پینټریټ	Pent
اسلامي هنر	Arte islámico
اسلامپالنه	Islamismo
پوښتنه	Pregunta
هیکسوجن	RDX
ميناتو	Minato (Tokio)
وزيرستان	Waziristán
اوښلن لوگی	Gas lacrimógeno
کوستا کونکورديا	Costa Concordia
د زړه ناروغۍ	Cardiopatía
ابو حنيفه (امام اعظم)	Abu Hanifah
مرکاوا شوبله	Merkava
جوهر	Esencia
ټوپولف ټو-۱۶۰	Túpolev Tu-160
شيطاني آيات	Los versos satánicos
خيبر دره	Paso Jáiber
شاپور ۱	Sapor I
سيلدينافيل	Sildenafilo
تکبیر	Al·lahu-àkbar
مالي کال	Año fiscal
سوخوی سو-۲۵	Sukhoi Su-25
پرولاکټين	Prolactina
ټانگتوره	Datura
تیسفون	Ctesifonte
ډېلي ټيليگراف	The Daily Telegraph
سټرېپټومايسين	Estreptomicina
هندي څمڅه منگور	Naja naja
ټې-۹۰	T-90
نادر شاه افشار	Nader Shah
د بوټي هورمون	Fitohormona
ټېټراسايکلين	Tetraciclina
اسلامي فلسفه	Filosofía islámica
سبسيډي	Subsidio
د پراگ کلا	Castillo de Praga
آنتونوف-۱۲۴	Antonov An-124
هود	Hud (profeta)
خړانکه	Anthus
ملا محمد عمر	Mohammad Omar
فريد الدين عطار	Farid al Din Attar
د خدای پاک مياشت	Rayab
کړنی سېک	Potencial de acción
امام احمد بن حنبل	Ahmad bin Hanbal
سوخوی پک فا	Sukhoi PAK FA
احمد ظاهر	Ahmad Zahir
ابو الکلام آزاد	Abul Kalam Azad
ام کيو-۱ پرېډاټور	General Atomics MQ-1 Predator
زېباک ولسوالۍ	Distrito de Zebak
کوږوږ	Zigzag
زيډووډين	Zidovudina
بديع الزمان سعيد نورسي	Said Nursî
گلروزنه	Floricultura
افغانۍ	Afgani afgano
مېگ ۲۵	Mikoyan-Gurevich MiG-25
د سږو اوندنه خنډيزه ناروغي	Enfermedad pulmonar obstructiva crónica
احمد شاه مسعود	Ahmad Sah Masud
داسو میراژ- ۲۰۰۰	Dassault Mirage 2000
نهڅنډی	Eneágono
آزاد کشمير	Azad Cachemira
اوبسپی	Lutrinae
چينايي دوديزه درملگري	Medicina china tradicional
گېلگېت بالتستان	Gilgit-Baltistán
بلوڅان	Baluchi
ټراک	Sylvia borin
کېټ وېنسلېټ	Kate Winslet
نيوموتوراکس	Neumotórax
اورو لانکاسټر	Avro 683 Lancaster
رمضان بشردوست	Ramazan Bashardost
زين العابدين بن علي	Zine El Abidine Ben Ali
