Африк	África
Карл Циглер	Karl Ziegler
Кристоф Вальц	Christoph Waltz
Ли Марвин	Lee Marvin
Крис Каман	Chris Kaman
Вильхельм Эмиль Мессершмитт	Willy Messerschmitt
Даниэль Дидави	Daniel Didavi
Барилгын инженерийн салбар	Ingeniería civil
Бенуа Ассу-Экотто	Benoît Assou-Ekotto
Роми Шнайдер	Romy Schneider
Франц Фибёк	Franz Viehböck
Марлис Шильд	Marlies Schild
Николь Хосп	Nicole Hosp
Енисей мөрөн	Río Yeniséi
Вальтер Скотт	Walter Scott
LTE Сүлжээ	Long Term Evolution
Цусны сийвэн	Plasma (sangre)
Жон Милтон	John Milton
Хөдөлгөөн	Movimiento (física)
Армен үндэстэн	Pueblo armenio
Аргентины хөлбөмбөгийн шигшээ баг	Selección de fútbol de Argentina
Констанца хот	Constanza (Rumania)
Олс (ургамал)	Cannabis (género)
2014 оны Хөлбөмбөгийн ДАШТ	Copa Mundial de Fútbol de 2014
Объект хандалтат програмчлал	Programación orientada a objetos
Дебрецен	Debrecen
Ормузын хоолой	Estrecho de Ormuz
Морз	Código morse
Оросын иргэний дайн	Guerra Civil Rusa
Нохой шогшир	Alcedo atthis
Оманы булан	Golfo de Omán
Алтан Орд	Horda de Oro
Эмма Гольдман	Emma Goldman
Жозе Моуринью	José Mourinho
Озоны давхарга	Capa de ozono
Програмчлал	Programación
Чиба-кэн	Prefectura de Chiba
Казахууд	Kazajo (etnia)
Prison Break	Prison Break
Шарлиз Терон	Charlize Theron
Интеграл	Integración
Сам хорхой	Caridea
Федерико Маркетти	Federico Marchetti
Урал гол	Río Ural
Хориотой хот	Ciudad Prohibida
Жоржо Кьеллини	Giorgio Chiellini
Бенгал	Bengala
Хар элээ	Milvus migrans
Халиман аврага загас	Rhincodon typus
Хоббит - Санаандгүй Аялал	El hobbit: un viaje inesperado
Курилийн арлууд	Islas Kuriles
Жулианна Мур	Julianne Moore
Шинэ Газар	Nueva Zembla
Айчи	Prefectura de Aichi
Анна Ахматова	Anna Ajmátova
Мирослав Клозе	Miroslav Klose
Анаксимен	Anaxímenes
Microsoft Access	Microsoft Access
Дэнзэн Норгай	Tenzing Norgay
И Минь-ху	Lee Min-ho
Харри Поттэр ба Фениксийн бүлгэм	Harry Potter y la Orden del Fénix
Интернасьонал (хөлбөмбөгийн баг)	Sport Club Internacional
Габриэла Мистрал	Gabriela Mistral
1997 оны Азийн санхүүгийн хямрал	Crisis financiera asiática
Жон Траволта	John Travolta
Бенгалын бар	Panthera tigris tigris
Кейт Бланшетт	Cate Blanchett
Програм хангамжийн инженерчлэл	Ingeniería de software
Галын хана	Cortafuegos (informática)
Булуу цагаан	Cyprinus carpio
Жүгдэрдэмидийн Гүррагчаа	Zhugderdemidiyn Gurragcha
Увс нуур	Lago Uvs
Полимер	Polímero
Цөмийн физик	Física nuclear
Кашалот	Physeter macrocephalus
АТМ	Cajero automático
Харрисон Форд	Harrison Ford
Аравтын тооллын систем	Sistema de numeración decimal
TCP/IP	Familia de protocolos de Internet
Кельтийн тэнгис	Mar Céltico
Пирс Броснан	Pierce Brosnan
Себастьян Юнг	Sebastian Jung
Пирмин Швеглер	Pirmin Schwegler
Петрийн аяга	Placa de Petri
Шарль Огюстен де Кулон	Charles-Augustin de Coulomb
Мүрасаки Шикибү	Murasaki Shikibu
Агаарын даралт	Presión atmosférica
Моника Беллуччи	Monica Bellucci
Альфонсо I	Alfonso I de Aragón
Акита	Prefectura de Akita
Сантус хот	Santos
Амстердамын Аякс	Ajax de Ámsterdam
Гривна	Grivna
Аллотропи	Alotropía
Хоолны хэрэгсэл	Cubertería
Женерал Моторс	General Motors
Сэм Уортингтон	Sam Worthington
Монгол орны загас	Jean-Baptiste Lamarck
Брашов	Brașov
Хатанга гол	Río Játanga
Өвлийн олимп	Juegos olímpicos de invierno
Тунамал чулуулаг	Roca sedimentaria
Лептон	Leptón
Бундеслиг	Bundesliga (Alemania)
Дизайн	Diseño
Гөлтгөнө	Yeso (mineral)
Иран-Иракийн дайн	Guerra Irán-Irak
Егор Гайдар	Yegor Gaidar
Цагаан үнэг	Alopex lagopus
Арван зургаатын тооллын систем	Sistema hexadecimal
Сокотра олтриг	Socotra
Сапармурат Ниязов	Saparmyrat Nyýazow
Шүрэн тэнгис	Mar del Coral
Урлагийн музей (Сан-Паоло)	Museo de Arte de São Paulo
Рокки 5	Rocky V
Хятадын түүх	Historia de China
Давид Вилья	David Villa
Зургаан өнцөгт	Hexágono
Барбаросса ажиллагаа	Operación Barbarroja
Тимор арал	Timor
Афганы дайн 1979-1989 он	Guerra de Afganistán (1978-1992)
Кулоны хууль	Ley de Coulomb
Усан мандал	Hidrosfera
Гояния	Goiânia
Кандел	Candela
Мезозой эрин	Era Mesozoica
Кируна	Kiruna
Галил	Galilea
Өмхий хүрэн	Mephitidae
Брага	Braga
Хард рок	Hard rock
Ибараки	Prefectura de Ibaraki
Дуррес	Durrës
Селена Гомес	Selena Gomez
Чулуун мандал	Litosfera
Фортран	Fortran
II Иоханн Штраус	Johann Strauss (hijo)
Гэрийн хулгана	Mus musculus
Мосул хот	Mosul
Сибиу	Sibiu
Түрэг	Pueblos túrquicos
Жэймс Ватсон	James Dewey Watson
Робин Уильямс	Robin Williams
Шингэн кристалан дэлгэц	Pantalla de cristal líquido
Эрдэс судлал	Mineralogía
Шенгений гэрээ	Acuerdo de Schengen
Оригами	Origami
Большевик	Bolchevique
Тимишоара хот	Timișoara
Авеста	Avesta
Жон Терри	John George Terry
Бразил улсын хөлбөмбөгийн шигшээ баг	Selección de fútbol de Brasil
Месут Озиль	Mesut Özil
Гэри Олдман	Gary Oldman
Сюзан Бойл	Susan Boyle
Ли Каттермол	Lee Cattermole
Дэнни Роуз	Danny Rose
Себастиан Ларссон	Sebastian Larsson
Изабела арал (Эквадор)	Isla Isabela
Шах Жахан	Sha Jahan
Уэс Браун	Wes Brown
Македоны эзэнт гүрэн	Reino de Macedonia
Турк үндэстэн	Turcos
Лабрадорын хойг	Península del Labrador
Нико Кранчар	Niko Kranjčar
Карл Ландштайнер	Karl Landsteiner
Мартин Штранцль	Martin Stranzl
Огторгуйн байршлын систем	Coordenadas celestes
Тусгаар тогтнолын өдөр (Америкийн Нэгдсэн Улс)	Día de la Independencia de los Estados Unidos
Александр Литвиненко	Aleksandr Litvinenko
II Ласло	Ladislao II de Hungría
Чанчүнь хот	Changchun
Гирин хот	Ciudad de Jilin
Бярне Строуструп	Bjarne Stroustrup
Жон Бэкус	John Backus
Сергей Брин	Serguéi Brin
Сэймур Крэй	Seymour Cray
Эхүд Олмерт	Ehud Ólmert
Луи Брайль	Louis Braille
Хилари Суонк	Hilary Swank
Алтанзул цэцэг	Tulipa
Баримтат кино	Documental
Равалпинди	Rawalpindi
Аньс	Vaccinium vitis-idaea
Гэрээ	Contrato
OSI загвар	Modelo OSI
Орадя хот	Oradea
Бен Дэвис (хөлбөмбөгчин)	Ben Davies
Люк Шоу	Luke Shaw
Новокузнецк	Novokuznetsk
Оскар Моргенштерн	Oskar Morgenstern
Федерация цамхаг	Federation Towers - Vostok Tower
Тетрохромат	Tetracromatismo
Адриано Коррейа	Adriano Correia
Караурус	Karaurus
Rockstar Games	Rockstar Games
Хар хирс	Diceros bicornis
Тим Роббинс	Tim Robbins
Антонио Рюдигер	Antonio Rüdiger
Тяньаньмэний талбайд 1989 онд болсон хядлага	Protestas de la Plaza de Tiananmén de 1989
Клуж-Напока хот	Cluj-Napoca
Бахайчууд	Baha'ullah
Фүкүда Ясүо	Yasuo Fukuda
Атом масс	Número másico
Адрон	Hadrón
Тоос сорогч	Aspiradora
Нарсныхан	Pinaceae
Цахилгаан (хувцас)	Cremallera (indumentaria)
Вайнона Райдер	Winona Ryder
Вольфсбург (хөлбөмбөгийн баг)	VfL Wolfsburgo
Манти	Manto terrestre
Боруссиа Мёнхенгладбах	Borussia Mönchengladbach
Үрэвсэл	Inflamación
Рональд Росс	Ronald Ross
Мүнь Гынь-ён	Moon Geun Young
Сигурни Уивер	Sigourney Weaver
Хайлуур жонш	Fluorita
Нарва	Narva
Харри Поттэр ба Галт хундага (кино)	Harry Potter y el cáliz de fuego (película)
Харри Поттэр ба Фениксийн бүлгэм (кино)	Harry Potter y la Orden del Fénix (película)
Харри Поттэр ба Нууцат өрөө (кино)	Harry Potter y la cámara secreta (película)
Фрэнсис Виллиам Астон	Francis Aston
Снорри Стурлусон	Snorri Sturluson
Пярну	Pärnu
Аларик I	Alarico I
Харри Поттэр ба Гүн ухаантны чулуу (кино)	Harry Potter y la piedra filosofal (película)
Харри Поттэр ба Азкабаны хоригдол (кино)	Harry Potter y el prisionero de Azkaban (película)
Дайан Китон	Diane Keaton
Михаил Таль	Mijaíl Tal
Мезон	Mesón
Хамгийн бага ерөнхий хуваагдагч	Mínimo común múltiplo
Товчлол	Abreviatura
Ашигт малтмалын орд	Mena (minería)
Анри Муассан	Henri Moissan
Ак-Довурак	Ak-Dovurak
Хосе Марти	José Martí
Женнифер Коннелли	Jennifer Connelly
Маколей Калкин	Macaulay Culkin
Олигополи	Oligopolio
Асбест	Asbesto
Филиппиний хотууд	Localidades de Filipinas
Бабушкин балгас	Bábushkin
Цагаантны хөдөлгөөн	Movimiento Blanco
Марио Гёце	Mario Götze
Эдриен Броуди	Adrien Brody
Киноварь	Cinabrio
Харилцан анхны тоонууд	Números primos entre sí
Байер Леверкузен	Bayer 04 Leverkusen
Кёльн (хөлбөмбөгийн баг)	F. C. Colonia
Симон ван дер Мер	Simon van der Meer
Лорд Хау арал	Isla de Lord Howe
Эд Харрис	Ed Harris
Ландо (Ромын пап)	Landón
Владимир Комаров	Vladímir Mijáilovich Komarov
Теодорик	Teodorico el Grande
Далан	Dique
Шатрын их мастер	Gran Maestro Internacional
Симон Амманн	Simon Ammann
Гитлерийг хорлох 1944 оны 7 сарын 20-ны үйлдэл	Atentado del 20 de julio de 1944
Холли Хантер	Holly Hunter
Кевин Клайн	Kevin Kline
Уго Алмейда	Hugo Almeida
Дөрвөн дагалдагчийн бичсэн Сайн Мэдээ	Evangelios sinópticos
Шүүгээ	Armario
Жоан Бернардо Виейра	João Bernardo Vieira
Жон Кьюзак	John Cusack
Жюльет Бинош	Juliette Binoche
Штефан Кисслинг	Stefan Kießling
Жон Гришам	John Grisham
Самбо	Sambo
Жерар Депардьё	Gérard Depardieu
Ален Делон	Alain Delon
Хайч, чулуу, даавуу	Piedra, papel o tijera
Бам, Иран	Bam
Хойд Солонгос вон	Won norcoreano
Магнус Карлсен	Magnus Carlsen
Вийр Заара хоёр	Veer-Zaara
Осет ястан	Osetios
Андреа Барзальи	Andrea Barzagli
Мануэль Нойер	Manuel Neuer
Марк	Evangelio de Marcos
Данх	Caldera (cocina)
Маркус Русенберг	Markus Rosenberg
Кундуз хот	Qundūz
Байт харваа	Tiro con arco
2011/2012 оны Германы хөлбөмбөгийн лиг	1. Bundesliga 2011/12
Мэри Стинбёрген	Mary Steenburgen
Кэсон	Kaesong
Кристофер Ллойд	Christopher Lloyd
Чонжинь	Ch'ŏngjin
Умар Хуанхэ	Hwanghae del Norte
Умар Пёнъань	P'yŏngan del Norte
Хамхөн	Hamhung
Умар Хамгён	Hamgyŏng del Norte
Өмнө Хамгён	Hamgyŏng del Sur
Воньсань	Wŏnsan
Өмнө Пёнъань	P'yŏngan del Sur
Нампу	Namp'o
Талас аймаг	Provincia de Talas
Матс Хуммельс	Mats Hummels
Маршалл Уоррен Ниренберг	Marshall Warren Nirenberg
Мухаммед Атта	Mohamed Atta
Виллиам Жиок	William Francis Giauque
Шатрын хөлөг	Tablero de ajedrez
Цусны ийлдэс	Suero sanguíneo
2010-11 оны Германы Бундеслиг	1. Bundesliga 2010/11
Эдвард Кэлвин Кэндалл	Edward Calvin Kendall
Жулиус Аксельрод	Julius Axelrod
Гуннар Нордаль	Gunnar Nordahl
Хамсаатан (кино)	Collateral
Ихэр анхны тоонууд	Números primos gemelos
Хематокрит	Hematocrito
Свен Крамер	Sven Kramer
Чарльз Дюк	Charles M. Duke
Улаан алчууртны бослого	Revuelta de los Turbantes Rojos
Микель Гонсалес	Mikel González
Сливен аймаг	Provincia de Sliven
Карим Аль-Ахмади	Karim El Ahmadi
2012-2013 оны НБА-гийн улирал	Temporada 2012-13 de la NBA
Шарль Н’Зогбия	Charles N'Zogbia
Стивен Айрлэнд	Stephen Ireland
Сидоны Антипатер	Antípatro de Sidón
Альберто Палоски	Alberto Paloschi
Холимог тулааны урлаг	Artes marciales mixtas
Олимпийн хоккейн тэмцээн	Hockey sobre hielo en los Juegos Olímpicos
Лоик Реми	Loïc Rémy
Тахт-и-Сулейман	Tajt-e Soleimán
Хайко Вестерман	Heiko Westermann
Иван Ракитич	Ivan Rakitić
Шилка	Río Shilka
Хазара	Hazara
Вернер Арбер	Werner Arber
Дакота Фэннинг	Dakota Fanning
Гөлөг тойрог	Prefectura autónoma tibetana de Golog
Дежуан Блэр	DeJuan Blair
Цахиурын исэл	Óxido de silicio (IV)
Корча	Korçë
Ронни Тюриаф	Ronny Turiaf
Карлос Санчес Морено	Carlos Alberto Sánchez
Ухаа хөгт	Glareola maldivarum
Венсан Абубакар	Vincent Aboubakar
Григорий Перельман	Grigori Perelmán
Малкольм Макдауэлл	Malcolm McDowell
CSI: Crime Scene Investigation	CSI: Crime Scene Investigation
Йоанн Гуркюфф	Yoann Gourcuff
Людвиг Пайшер	Ludwig Paischer
Тооцон бодох шинжлэх ухаан	Computación científica
Дэлхийн байгаль хамгаалах сан	Fondo Mundial para la Naturaleza
Виктор Ан	Viktor Ahn
Кевин Трапп	Kevin Trapp
Каролины арлууд	Islas Carolinas
Бразилын тэгш өндөрлөг	Meseta brasileña
Серхио Агуэро	Sergio Agüero
Утай	Monte Wutai
Балх аймаг	Provincia de Balj
Супер компьютер	Supercomputadora
Мэдээллийн систем	Sistema de información
2009/2010 оны Германы хөлбөмбөгийн лиг	1. Bundesliga 2009/10
2008/2009 оны Германы хөлбөмбөгийн лиг	1. Bundesliga 2008/09
Дээгүүр өнгөрөх баяр	Pésaj
Алиша Кийз	Alicia Keys
Профессор	Profesor
Пол Пирс	Paul Pierce
Зүү эмчилгээ (зүү тавих)	Acupuntura
Хийн гариг	Gigante gaseoso
Лос Анжелес Лэйкерс	Los Angeles Lakers
Элчин сайд	Embajador
Хулио Иглесиас	Julio Iglesias
Марко Штреллер	Marco Streller
Хакан Якин	Hakan Yakın
Диего Бенальо	Diego Benaglio
Мишлин Кальми-Рэй	Micheline Calmy-Rey
Рене Зеллвегер	Renée Zellweger
Америкийн хар баавгай	Ursus americanus
Манж үсэг бичиг	Alfabeto manchú
Планкийн тогтмол	Constante de Planck
Шарль Эдуар Гийом	Charles Edouard Guillaume
Майкл Кейн	Michael Caine
Далайд гарцгүй улс	Estado sin litoral
Дууны хурд	Velocidad del sonido
Уэсли Шнайдер	Wesley Sneijder
Бялдаржуулал	Culturismo
Нильс Хенрик Абель	Niels Henrik Abel
Хэт дамжуулагч	Superconductividad
Скорпионс	Scorpions
Азимут	Acimut
Цахилгаан дамжуулагч	Conductor eléctrico
Данте Амарал	Dante Amaral
Азийн хар баавгай	Ursus thibetanus
Kara	Kara (banda)
Георгий Жуков	Gueorgui Zhúkov
Булаг (усан мандал)	Manantial
Тихуана	Tijuana
Леопольдо Галтьери	Leopoldo Galtieri
Ума Турман	Uma Thurman
Зөвлөлт Холбоот Улсын Маршал	Mariscal de la Unión Soviética
Чад нуур	Lago Chad
Помпей	Cneo Pompeyo Magno
Симон Миньоле	Simon Mignolet
Алина Думитру	Alina Dumitru
Ямагата-кэн	Prefectura de Yamagata
Эдвард Нортон	Edward Norton
Акко	Acre (Israel)
Танжер	Tánger
Ёл	Gypaetus barbatus
Фрейзер Кэмпбелл	Fraizer Campbell
Конкуйстадор	Conquistadores españoles
Дэвид Мейлер	David Meyler
Warner Bros.	Warner Bros.
Коннор Уикем	Connor Wickham
Филиппо Инзаги	Filippo Inzaghi
Гран Торино	Gran Torino
Хүүхдийн цэцэрлэг	Educación preescolar
Лукас Пиазон	Lucas Piazón
Халзан бүргэд	Haliaeetus leucocephalus
VII Александр (Ромын пап)	Alejandro VII
Даниэль Карвахаль	Dani Carvajal
Канагава	Prefectura de Kanagawa
Сербүүд	Serbios
Сеад Колашинац	Sead Kolašinac
Ногтруу	Syrrhaptes paradoxus
Эрчис	Río Irtish
Чикаго Буллз	Chicago Bulls
Абстракт урлаг	Arte abstracto
Сайтама аймаг	Prefectura de Saitama
Хөрстэй гариг	Planeta terrestre
Тийн ялгалын ай	Caso (gramática)
I Баязид	Bayezid I
Порту (хөлбөмбөгийн баг)	Fútbol Club Oporto
Уэмбли цэнгэлдэх хүрээлэн	Estadio de Wembley (2007)
Ялта хот	Yalta
Гладиатор (2000 оны кино)	Gladiator
Пол Мартин	Paul Martin (político)
Хуш	Cedrus
Брайан Малрони	Brian Mulroney
Зунгааралт	Viscosidad
Яспер Силлессен	Jasper Cillessen
Вермахт	Wehrmacht
Майкл Оуэн	Michael Owen
Тоби Алдервейрелд	Toby Alderweireld
Нагано	Nagano
Арафурын тэнгис	Mar de Arafura
Антони Ле Таллек	Anthony Le Tallec
Дейли Блинд	Daley Blind
Чехийн сагсан бөмбөгийн үндэсний шигшээ баг	Selección de baloncesto de la República Checa
Микаэл Жан	Michaëlle Jean
Харольд Вильсон	Harold Wilson
Макс Крузе	Max Kruse
Аврага цагаан загас	Carcharodon carcharias
Поль Погба	Paul Pogba
Кармело Антони	Carmelo Anthony
Энэтхэгийн хуваагдал	Partición de la India
Эгэл сойр	Tetrao urogallus
Персеполь	Persépolis
Жоэл Велтман	Joël Veltman
Маттиас Гинтер	Matthias Ginter
Руслана	Ruslana
Ихэр (орд)	Géminis (astrología)
Гургалдай хөхзоот	Tarsiger cyanurus
Ниш	Niš
Вивьен Ли	Vivien Leigh
Хью Жекман	Hugh Jackman
Марио Балотелли	Mario Balotelli
Кевин Фолланд	Kevin Volland
Маноло Габбьядини	Manolo Gabbiadini
Рассел Кроу	Russell Crowe
Хотны бүгээхэй	Athene noctua
Хуаннань тойрог	Prefectura autónoma tibetana de Huangnan
Атласын нуруу	Atlas (cordillera)
Намуу цэцэг	Papaver rhoeas
Креационизм	Creacionismo
Мазар-и-Шариф	Mazar-e Sarif
МиГ-29	Mikoyan MiG-29
I Николай	Nicolás I de Rusia
Зөвлөлт-Германы харилцан үл довтлолцох гэрээ	Pacto Ribbentrop-Mólotov
Коизүми Жүн-Ичироо	Jun'ichirō Koizumi
Курскийн тулалдаан	Batalla de Kursk
Менахем Бегин	Menájem Beguín
Чу Инь-сон	Jo In-sung
Тракстан Хэйр	Truxton Hare
Эгэл шар шувуу	Bubo bubo
Юкатаны хойг	Península de Yucatán
Нахчыван	República Autónoma de Najicheván
Геодези	Geodesia
Пол Крюгман	Paul Krugman
Агаарын бохирдол	Contaminación atmosférica
Сүүлт од	Meteoro (astronomía)
Онигоо	Chiste
Хэрд Арал ба Макдоналд Арлууд	Islas Heard y McDonald
Днестр	Dniéster
Мэдээллийн онол	Teoría de la información
Сэвэгзарам	Lens culinaris
Тони Кроос	Toni Kroos
Эскимосууд	Esquimal
Фарад	Faradio
Бофортын тэнгис	Mar de Beaufort
Гянжа	Ganja (Azerbaiyán)
Вакаяма	Prefectura de Wakayama
Шига	Prefectura de Shiga
Нью Йорк Никс	New York Knicks
Бостон Сэлтикс	Boston Celtics
Александр Алехин	Alexander Alekhine
Намибийн цөл	Desierto del Namib
Ким Бейсингер	Kim Basinger
Тиморын тэнгис	Mar de Timor
Оаксака де Хуарез	Oaxaca de Juárez
Дартс	Dardos
Графын онол	Teoría de grafos
Цахилгаан үүсгүүр	Generador eléctrico
ERP	Sistema de planificación de recursos empresariales
Тарни	Mantra
Капибара	Hydrochoerus hydrochaeris
Цахилгааны болон Элетроникийн Инженерүүдийн Хүрээлэн	IEEE
Тарвага	Marmota
Германы музей	Deutsches Museum
Анатолий Карпов	Anatoli Kárpov
Аден хот	Adén
Сэрүүн шаахай	Sandalia
Биткоин	Bitcoin
Хенри Кавендиш	Henry Cavendish
Хамгийн их ерөнхий хуваагч	Máximo común divisor
Данийн хөлбөмбөгийн үндэсний шигшээ баг	Selección de fútbol de Dinamarca
Скиф	Pueblos escitas
Тина Төрнэр	Tina Turner
Оран	Orán
Кендрик Перкинс	Kendrick Perkins
Parachutes	Parachutes
Жо Жонсон	Joe Johnson
Абэ Шинзоо	Shinzō Abe
Карл Урбан	Karl Urban
Фермагийн их теорем	Último teorema de Fermat
Де-юре	De iure
Тирасполь	Tiráspol
Пала гөрөөс	Aepyceros melampus
Цөөвөр чоно	Cuon alpinus
Асоо Тароо	Tarō Asō
Наоми Уоттс	Naomi Watts
Цахилгаан хэлхээ	Circuito
GTA	Grand Theft Auto
Гренландын тэнгис	Mar de Groenlandia
Lisp	Lisp
Торонто Рэпторс	Toronto Raptors
Олимпик Марсель	Olympique de Marsella
Даллас Маверикс	Dallas Mavericks
Вячеслав Молотов	Viacheslav Mólotov
Бөгтөр халим	Megaptera novaeangliae
Цахилгаан шат	Ascensor
Адам Сэндлер	Adam Sandler
Шота Руставели	Shota Rustaveli
Антропоморфизм	Antropomorfismo
Латви латс	Lats letón
Альберто Фүжимори	Alberto Fujimori
Сьюзан Сарандон	Susan Sarandon
Виллем Баренц	Willem Barents
PR	Relaciones públicas
Патра	Patras
Энэтхэгийн философи	Historia de la India
Казино	Casino de juego
Клинтон Дэвиссон	Clinton Joseph Davisson
Митоз хуваагдал	Mitosis
Болгар үндэстэн	Búlgaros
Лев Ландау	Lev Landáu
Жэйк Жилленхол	Jake Gyllenhaal
Хот улс	Ciudad-estado
Захидал	Carta
Эшли Коул	Ashley Cole
Хурга майлахаа болино (кино)	The Silence of the Lambs (película)
Нүцгэн үртэн	Gymnospermae
Эшмор ба Картьер Арлууд	Islas Ashmore y Cartier
Дифракц	Difracción (física)
Яаралтай анхны тусламж	Primeros auxilios
Кочи-кэн	Prefectura de Kōchi
Аустерлицийн тулалдаан	Batalla de Austerlitz
Мэжик Жонсон	Magic Johnson
Поло	Polo (deporte)
Ардебиль муж	Provincia de Ardebil
Луханск	Lugansk
Катыний хядлага	Masacre de Katyn
Атомын цахилгаан станц	Central nuclear
Мишима Юкио	Yukio Mishima
Бүх ертөнцийн таталцлын хууль	Ley de gravitación universal
AJAX	AJAX
Хорват улсын хөлбөмбөгийн шигшээ баг	Selección de fútbol de Croacia
Балхаш	Baljash (lago)
Чуэ Мину	Choi Minho
Шяуляй	Šiauliai
Хоселу	Joselu
Галуутнуур хот	Gusinooziorsk
Коктейль	Cóctel
Форрест Гамп	Forrest Gump (película)
Давхрага зүй	Estratigrafía
Аналитик геометр	Geometría analítica
Мүраками Харүки	Haruki Murakami
Вакцин	Vacuna
Хөхүүл ханиад	Tos ferina
Шампанск	Champán
Хавьер Бардем	Javier Bardem
Фрэйзер арал	Isla Fraser
Уругвай улсын хөлбөмбөгийн шигшээ баг	Selección de fútbol de Uruguay
Грек улсын хөлбөмбөгийн шигшээ баг	Selección de fútbol de Grecia
Өвлийн дайн	Guerra de Invierno
Лукас Подольски	Lukas Podolski
Ном зүй	Bibliografía
Оросын хот суурин	Anexo:Ciudades de Rusia por población
Габриэль Агбонлахор	Gabriel Agbonlahor
Ольмек	Olmeca
Гүүгл Орчуулагч	Google Translate
Ессентуки	Yessentuki
Бага Кьюба Гудинг	Cuba Gooding, Jr.
Софийн ЦСКА	PFC CSKA Sofia
Захаамин балгас	Zakámensk
Жеймс Харден	James Harden
Андре Игудала	Andre Iguodala
Мауро Икарди	Mauro Icardi
Виссан Бен Йеддер	Wissam Ben Yedder
Аркадиуш Милик	Arkadiusz Milik
Изобар процесс	Proceso isobárico
Halo 3	Halo 3
2007 оны хөлбөмбөгийн багийн дэлхийн аварга шалгаруулах тэмцээн	Copa Mundial de Clubes de la FIFA 2007
Майкл Китон	Michael Keaton
Пак Гынь-хе	Park Geun-hye
Филадельфи Севенти Сиксерс	Philadelphia 76ers
Тасманийн онгон зэлүүд нутаг	Reserva natural de Tasmania
Радамель Фалькао	Radamel Falcao García
Пётр Столыпин	Piotr Stolypin
Уранчимэгийн Мөнх-Эрдэнэ	Uranchimegiin Mönkh-Erdene
Нельсон Пруденчио	Nelson Prudêncio
Забид	Zabid
Микаэла Шиффрин	Mikaela Shiffrin
Забуль аймаг	Provincia de Zābul
Бөх (2008 оны кино)	El luchador
Зак Рэндольф	Zach Randolph
Үндэсний Фашист Нам	Partido Nacional Fascista
Голд-Кост	Gold Coast (Australia)
МЕ262	Messerschmitt Me 262
Шадар гурван цэрэг	Los tres mosqueteros
Тоон зурхай	Numerología
Себастьян Кель	Sebastian Kehl
Лаврентий Берия	Lavrenti Beria
Кимчи	Kimchi
Михаил Николаевич Тухачевский	Mijaíl Tujachevski
ИЛ-76	Ilyushin Il-76
Неймар	Neymar
Хар тоншуул	Dryocopus martius
Ойн шийхнүүхэй	Anthus trivialis
Шүдний суулгац	Implante dental
Шүдэт халим	Odontoceti
Левски баг	PFC Levski Sofia
Зайсан толгой	Monumento de Zaisan
Залхуу баавгай	Melursus ursinus
Викторийн их цөл	Gran Desierto de Victoria
Манж үндэстэн	Manchú
Апеннины хойг	Península itálica
Буурцаг	Legumbre
One Direction	One Direction
Нил цэцэг	Viola (género)
Улиангар	Populus tremula
Умардын Зөвлөл	Consejo Nórdico
Европ лийр	Pyrus communis
Холбох програм хангамж	Middleware
Олон тоо	Plural
Миралем Пьянич	Miralem Pjanić
Эмма Стоун	Emma Stone
Ацикловир	Aciclovir
Эгшиг зохицох ёс	Armonía vocálica
Швейцари нарс	Pinus cembra
Монгол улс 2012 оны Зуны Олимпийн наадамд	Mongolia en los Juegos Olímpicos de Londres 2012
Монгол улс Ванкуверын олимпт	Mongolia en los Juegos Olímpicos de Vancouver 2010
Монгол улс Саппорогийн олимпод	Mongolia en los Juegos Olímpicos de Sapporo 1972
Монгол улс Солт-Лэйк Ситийн олимпод	Mongolia en los Juegos Olímpicos de Salt Lake City 2002
Монгол улс Турины олимпод	Mongolia en los Juegos Olímpicos de Turín 2006
Коло Туре	Kolo Touré
Яргуй	Pulsatilla
Флорес арал (Индонез)	Isla de Flores (Indonesia)
Эдип хаан	Edipo rey
Кевин Нолан	Kevin Nolan
Хайме Эскаланте	Jaime Escalante
Грекийн хот-улсууд	Polis
Сильвериус	Silverio
Сахалт далайн хав	Erignathus barbatus
Cтефан Cессеньон	Stéphane Sessegnon
Стивен Флетчер	Steven Fletcher
Давид Де Хеа	David de Gea
Уинстон Рид	Winston Reid
Жей Кей Симмонс	J.K. Simmons
Ивица Олич	Ivica Olić
Миг-21	Mikoyan-Gurevich MiG-21
Архитектурын инженерчлэл	Ingeniería de la edificación
КАТ-ТҮН	KAT-TUN
Гун Ли	Gong Li
Жин Хэкмен	Gene Hackman
Мартин Демичелис	Martín Demichelis
Компьютер график	Computación gráfica
Холбоотон гурван гүрний удирдагчдын Тегераны уулзалт	Conferencia de Teherán
Якуб Блашиковский	Jakub Błaszczykowski
Кевин-Принс Боатенг	Kevin-Prince Boateng
Холбоотон гурван гүрний удирдагчдын Подстамын уулзалт	Conferencia de Potsdam
Барс танк	Panzer VI Tiger
Вэстлайф	Westlife
Неонацизм	Neonazismo
Жером Боатенг	Jérôme Boateng
Роберт Левандовский	Robert Lewandowski
Хольгер Бадштубер	Holger Badstuber
Жонни Вайсмюллер	Johnny Weissmüller
Москвагийн тулалдаан	Batalla de Moscú
Францын тулалдаан	Batalla de Francia
Нэгдсэн Орос	Rusia Unida
Тусламж:Ахисан түвшинд эх засварлах талаар	Ayuda:Cómo se edita una página
Аксель Витсель	Axel Witsel
Мөнгө угаах	Lavado de dinero
