ఆఫ్రికా	África
జోసెఫ్ లూయిస్ లెగ్రాంజ్	Joseph-Louis de Lagrange
సీసా	Botella
చింత	Tamarindus indica
ఏంజెల్ జలపాతము	Salto Ángel
కార్న్	Korn
ఓం పురి	Om Puri
లిబరేషన్ టైగర్స్ ఆఫ్ తమిళ్ ఈలం	Tigres de Liberación del Eelam Tamil
బెంగాల్	Bengala
ముంగిస	Herpestidae
పాట్నా	Patna
రూపాయి	Rupia india
బెండకాయ	Abelmoschus esculentus
డైనమైట్	Dinamita
టెన్సింగ్ నార్కే	Tenzing Norgay
పలభా యంత్రము	Reloj de sol
స్పుత్నిక్	Sputnik 1
హ్యారీ పాటర్ అండ్ ది ఆర్డర్ ఆఫ్ ది ఫినిక్స్	Harry Potter y la Orden del Fénix
అన్నే బోలీన్	Ana Bolena
గబ్రియేలా మిస్ట్రాల్	Gabriela Mistral
అణు రియాక్టరు	Reactor nuclear
జేమ్స్ చాడ్విక్	James Chadwick
మైక్రోసాఫ్ట్ ఔట్లుక్	Microsoft Outlook
పశు పోషణ	Ganadería
కేట్ బ్లాంచెట్	Cate Blanchett
జుడాస్ ఇస్కారియట్	Judas Iscariote
ఈక	Pluma
జలచక్రం	Ciclo hidrológico
హోమియోపతీ వైద్య విధానం	Homeopatía
ఫిరంగి	Cañón (artillería)
అణుపుంజము	Polímero
మార్ఫిన్	Morfina
సిమెన్స్ AG	Siemens AG
ఆటోమేటెడ్ టెల్లర్ మెషీన్	Cajero automático
ఎకరం	Acre (unidad de superficie)
బ్రెట్ హార్ట్	Bret Hart
శనగలు	Cicer arietinum
పాల కూర	Spinacia oleracea
సిట్రస్	Citrus
పియర్స్ బ్రోస్నన్	Pierce Brosnan
పాస్కల్(కంప్యూటర్)	Pascal (lenguaje de programación)
తుమ్మ	Acacia
ఫాస్ట్ ఫుడ్	Comida rápida
వాతావరణ పీడనం	Presión atmosférica
మోనికా బెల్లూచి	Monica Bellucci
గొంగళి పురుగు	Oruga (larva)
చెంచా	Cuchara
నొప్పి	Dolor
జిబ్రయీల్	Arcángel Gabriel
కాంచెన్‌జంగా	Kanchenjunga
కొమ్ము	Cuerno
భాషా భాగాలు	Categoría gramatical
స్టీవెన్ సీగల్	Steven Seagal
ఆహార మరియు వ్యవసాయ సంస్థ	Organización de las Naciones Unidas para la Alimentación y la Agricultura
ఉత్ప్రేరకాలు	Catálisis
అవక్షేపణ రాయి	Roca sedimentaria
రక్త పీడనం	Presión sanguínea
గడ్డం	Barbilla
చిత్రం స్కానర్	Escáner de computadora
పేరు	Nombre
సొకొట్రా	Socotra
నారాయణ్ కార్తికేయన్	Narain Karthikeyan
రాజకీయవేత్త	Político
చైనా చరిత్ర	Historia de China
షడ్భుజి	Hexágono
పుట్ట గొడుగు	Seta
భారత జాతీయగీతం	Jana-Gana-Mana
టవర్ వంతెన	Puente de la Torre
షార్లోట్టేస్ వెబ్ 2: విల్బుర్స్ గ్రేట్ అడ్వెంచర్	Charlotte's Web 2: Wilbur's Great Adventure
శ్రీనివాస రామానుజన్	Srinivasa Aiyangar Ramanujan
ఈస్టిండియా కంపెనీ	Compañía Británica de las Indias Orientales
పైకప్పు	Cubierta (construcción)
అలీనోద్యమం	Movimiento de Países No Alineados
కెప్లర్ గ్రహ గమన నియమాలు	Leyes de Kepler
స్పాంజ్‌బాబ్ స్క్వేర్ పాంట్స్	Bob Esponja
శిలావరణం	Litosfera
ఉరుము	Trueno
ఫోర్ట్రాన్	Fortran
టైఫాయిడ్	Fiebre tifoidea
నైట్రిక్ ఆమ్లం	Ácido nítrico
గియాకోమో కాసనోవా	Giacomo Casanova
గురునానక్	Gurú Nanak
ఎరువు	Fertilizante
లైసోసోము	Lisosoma
జేమ్స్‌ వాట్సన్‌	James Dewey Watson
సున్తీ	Circuncisión
ఒరిగమి	Origami
జేమ్స్ డీన్	James Dean
జీన్స్ (వస్త్రం)	Pantalón vaquero
కర్మాగారము	Fábrica
స్పార్టకస్	Espartaco
మెగాడెత్	Megadeth
జాన్ టెర్రీ	John George Terry
సభ్యోక్తి	Eufemismo
జుడాస్ ప్రీస్ట్	Judas Priest
వేడి నీటి బుగ్గ	Géiser
మరాఠా సామ్రాజ్యం	Imperio maratha
జహాంగీర్	Jahangir
షాజహాన్	Sha Jahan
సిమ్లా	Shimla
పైథాన్ సాఫ్ట్‌వేర్ ఫౌండేషన్	Python Software Foundation
ఆదిల్‌షాహీ వంశము	Sultanato de Bijapur
ఋతుచక్రం	Ciclo sexual femenino
గౌడ	Gouda
HCard	HCard
రాతప్రతులు	Manuscrito
శబ్ద కాలుష్యం	Contaminación acústica
వర్గం:బార్‌కోడ్‌లు	Categoría:Códigos de barras
మూస:Cite book	Plantilla:Cita libro
జేమ్స్ గోస్లింగ్	James Gosling
ఆలిస్'స్ ఎడ్వెన్చర్స్ ఇన్ వండర్‌ల్యాండ్	Las aventuras de Alicia en el país de las maravillas
ఎరిక్ ఇ. ష్మిత్	Eric Schmidt
సర్జీ బ్రిన్	Serguéi Brin
డా.రాజ్ రెడ్డి	Raj Reddy
సుభాష్ కాక	Subhash Kak
విలియం హార్వే	William Harvey
లూయీ బ్రెయిలీ	Louis Braille
రేఖాచిత్రం	Dibujo
కోడి గుడ్డు	Huevo (alimento)
విడాకులు	Divorcio
బాలీవుడ్	Bollywood
తులిప్	Tulipa
డాక్యుమెంటరీ చిత్రం	Documental
ఈము	Dromaius novaehollandiae
ఓ.ఎస్.ఐ నమూనా	Modelo OSI
ద హూ	The Who
సీమస్ హీనీ	Seamus Heaney
బాబ్ హోప్	Bob Hope
పొద్దుతిరుగుడు నూనె	Aceite de girasol
ఖాన్ అకాడమీ	Khan Academy
పాంథియోన్, రోమ్	Panteón de Agripa
ఫాల్కిర్క్ చక్రము	Rueda de Falkirk
తలగడ	Almohada
నవాడా	Distrito de Nawada
పుర్నియా	Distrito de Purnia
రోహ్తాస్	Distrito de Rohtas
షెవొహార్	Distrito de Sheohar
పశ్చిమ చంపారణ్	Distrito de Pashchim Champaran
వైశాలి	Distrito de Vaishali
సివన్	Distrito de Siwan
సీతామర్హి	Distrito de Sitamarhi
శరన్	Distrito de Saran
బస్తర్ జిల్లా	Distrito de Bastar
బిలాస్‌పూర్	Distrito de Bilaspur (Chhattisgarh)
దుర్గ్	Distrito de Durg
ధమ్తారి	Distrito de Dhamtari
దంతేవాడ	Distrito de Dantewada
పౌండ్ (పరిమాణం)	Libra (unidad de masa)
ఇతర పదాల మొదటి అక్షరాల నుండి పుట్టిన పదం (ఏక్రానిం) మరియు ఇనీష్యలిజం	Acrónimo
ప్రోటోజోవా	Protozoo
మెకానికల్ ఇంజనీరింగ్	Ingeniería mecánica
ఇంటి పేర్లు	Apellido
గంట (పరికరం)	Campana (instrumento)
స్వైన్ ఫ్లూ	Pandemia de gripe A (H1N1) de 2009-2010
ఎస్టర్	Éster
ఆల్డిహైడు	Aldehído
డీప్ పర్పుల్	Deep Purple
రాక్షస గూళ్లు	Dolmen
వాక్యూమ్ క్లీనర్	Aspiradora
బలిపీఠము	Altar
ఇగ్లూ	Iglú
తేయాకు	Camellia sinensis
కలుపు మొక్క	Maleza
సెగవ్యాధి	Gonorrea
ప్రయోగం	Experimento
ఉలిపిరి కాయలు	Verruga
రోనాల్డ్ రాస్	Ronald Ross
ఇవాంజెలిస్టా టొర్రిసెల్లి	Evangelista Torricelli
డాక్టర్ నో	Dr. No (película)
కనిష్ఠ సామాన్య గుణిజం	Mínimo común múltiplo
సోడియమ్ హైడ్రాక్సైడ్	Hidróxido de sodio
ఖనిజాలు	Mena (minería)
తేనెటీగ	Apis (género)
హారియట్ టబ్‌మన్	Harriet Tubman
కేసరము	Estambre
ఈథరు	Éter (química)
వి ఫర్ వెండెట్టా	V de Vendetta
రవి శంకర్	Ravi Shankar (músico)
మూలవాసులు	Indígena
చార్లీ షీన్	Charlie Sheen
తెలుగు వచనములు	Número gramatical
రాతినార	Asbesto
పల్ప్ ఫిక్షన్ (చలన చిత్రం)	Pulp Fiction
పంటి చిగురు	Encía
జాన్ బోర్గ్	Björn Borg
పౌర్ణమి	Plenilunio
రాబర్ట్‌ ఎడ్వర్డ్స్‌	Robert Edwards
రేడియో పౌనఃపున్య గుర్తింపు	RFID
సిడ్నీ షెల్డన్	Sidney Sheldon
గోమేదికం	Granate (mineral)
పరుగు (రన్)	Carrera a pie
సీలియేటా	Ciliophora
మజ్జిగ	Suero de mantequilla
మాగ్నస్ కార్ల్‌సన్	Magnus Carlsen
వీర్-జారా	Veer-Zaara
జగ్జీత్ సింగ్	Jagjit Singh
రాజేష్ ఖన్నా	Rajesh Khanna
కాపర్ సల్ఫేట్	Sulfato de cobre (II)
మంగలి	Barbero
మెగా	Mega
పుష్ప రక్షక పత్రం	Sépalo
ది బోర్న్ అల్టిమేటం (చలనచిత్రం)	The Bourne Ultimatum
పక్షవాతం	Parálisis
రాబర్ట్ లుకాస్	Robert Lucas
పూరేకు	Pétalo
నోబెల్ పూలు	Cymbidium goeringii
హరగోవింద్ ఖొరానా	Har Gobind Khorana
అగ్నిమాపక శాఖ	Bombero
మధ్య ఢిల్లీ	Distrito de Delhi central
నార్త్ గోవా	Distrito de Goa del Norte
పరీక్ష నాళిక	Tubo de ensayo
సౌత్ గోవా	Distrito de Goa del Sur
వినోద భరితమైన విలువిద్యా ప్రదర్శనలు	Tiro con arco
ధ్యానం	Meditación
గిగా-	Giga
టెరా-	Tera (prefijo)
ఎ. ఆర్. రెహమాన్	A. R. Rahman
ఇంక్‌జెట్ ప్రింటర్	Impresora de inyección
దేశాల జాబితా – తలసరి నామినల్ జి.డి.పి. క్రమంలో	Anexo:Países por PIB (nominal) per cápita
రోటరీ క్లబ్	Rotary International
యుగళగీతం	Dúo
ఇంగువ	Ferula assafoetida
మాలకాకి	Corvus macrorhynchos
హుసైన్ ఇబ్న్ అలీ	Husayn ibn Ali
మన్మథుడు	Kámadeva
రాధ	Radha
రినైటిస్‌	Rinitis
సంగమగ్రామ మాధవుడు	Madhava de Sangamagrama
బాట్‌మాన్ (1989 చిత్రం)	Batman (película de 1989)
రామన్ మెగసెసే	Ramón Magsaysay
చుండ్రు	Caspa
ఆక్సి అసిటిలిన్ వెల్డింగు	Oxicorte
గ్రాండ్ కేనియన్	Gran Cañón
మాగ్నోలియేసి	Magnoliaceae
కోల్డు వెల్డింగు	Soldadura en frío
క్లోనింగ్	Clonación
అమేడియో మొడిగ్లియాని	Amedeo Modigliani
భీమ్‌సేన్ జోషి	Bhimsen Joshi
సమాచార వ్యవస్థలు	Sistema de información
మెలోప్సిట్టాసిని	Melopsittacus undulatus
శ్రీ కృష్ణదేవ రాయలు	Krishna Deva Raya
అవస్థాపన సౌకర్యాలు	Infraestructura urbana
అలీసియా కీస్	Alicia Keys
ఆక్యుపంక్చర్	Acupuntura
హిల్లరీ డఫ్	Hilary Duff
వొడఫోన్	Vodafone
హెర్మన్ రోషాక్	Hermann Rorschach
రాబందు	Buitre
గోల్డ్ ఫిష్	Carassius auratus
వెనెస్సా హడ్జెన్స్	Vanessa Hudgens
ఫ్లాస్టిక్ కాలుష్యం	Estrés
భూపరివేష్టిత దేశం	Estado sin litoral
ఆవిష్కరణ	Invento
రాయల్ సొసైటీ	Royal Society
జకాత్	Azaque
స్కార్పియన్స్ (బ్యాండ్)	Scorpions
కిస్ (బ్యాండ్)	Kiss
శివ పురాణము	Shivá-purana
డయాబెటిస్ మెల్లిటస్ రకం 1	Diabetes mellitus tipo 1
వాషింగ్ మెషీన్	Lavadora
ధరిత్రి దినోత్సవం	Día de la Tierra
రుచి	Gusto
ప్లాటీహెల్మింథిస్	Platyhelminthes
స్లమ్‌డాగ్ మిలియనీర్	Slumdog Millionaire
సాల్మా హాయక్	Salma Hayek
కమలాపండు	Citrus reticulata
రంపం	Sierra (herramienta)
సముద్రమట్టం	Nivel del mar
ఇమామ్	Imán (religión)
ఎడ్వర్డ్ నార్టన్	Edward Norton
దూరం	Distancia
హన్నా మోంటానా	Hannah Montana
వ్యావహారికసత్తావాదం	Pragmatismo
కిండర్ గార్టెన్ (బాల విహార్)	Educación preescolar
కండర సంకోచము	Contracción muscular
మంగళూరు	Mangalore
ఫోలిక్ ఆమ్లం	Ácido fólico
వాంతి	Vómito
పెర్ల్ నౌకాశ్రయం	Pearl Harbor
అలో	Aloe
బిగ్ బ్రదర్ (TV సిరీస్)	Big Brother (programa de televisión)
బాంబు	Bomba (explosivo)
గర్భాదానము	Fecundación
సిరా	Tinta
నీలమణి	Zafiro
పెనం	Sartén
శుక్లము	Catarata
పంచభుజి	Pentágono
మైక్రోవేవ్ ఓవెన్	Horno de microondas
లెవీ స్ట్రాస్ అండ్ కో.	Levi Strauss & Co.
కొలెస్టరాల్‌	Grasa
గిట్ట	Pezuña
నైరూప్య కళ	Arte abstracto
క్యూబా క్షిపణి సంక్షోభం	Crisis de los misiles en Cuba
ఇంద్రుడు	Indra
బయోఇన్ఫర్మేటిక్స్	Bioinformática
రొమ్ము కాన్సర్	Cáncer de mama
పునర్జన్మ	Reencarnación
జాన్ నాష్	John Forbes Nash
భారతదేశ విభజన	Partición de la India
ట్రఫాల్గర్ స్క్వేర్	Trafalgar Square
చంద్రశేఖరేంద్ర సరస్వతి స్వామి	Patrick White
బోను	Jaula
రక్త విరేచనాలు	Disentería
దుగోంగ్	Dugong dugon
హ్యూ జాక్‌మన్	Hugh Jackman
యతి (ఒక వింత జీవి)	Yeti
తొడ	Muslo
అడోబీ ఫోటోషాప్	Adobe Photoshop
లండన్ వంతెన	Puente de Londres
గండభేరుండము	Grifo
మక్‌బెత్	Macbeth
జార్జ్ మైకేల్	George Michael
సృష్ఠివాదం	Creacionismo
స్థానికీకరణ	Localización de idiomas
భ్రాంతి	Alucinación
పొగ	Humo
కీచురాయి	Cicadidae
చూయింగ్ గమ్	Goma de mascar
దాలియా	Dahlia
కెలోరి	Caloría
అనుమస్తిష్కము	Cerebelo
హారూన్ రషీద్	Harún al-Rashid
టాక్సోప్లాస్మా	Toxoplasma gondii
ఎయిర్ ఫ్రాన్స్	Air France
సైంటాలజీ	Cienciología
పాల్ క్రుగ్మాన్	Paul Krugman
అన్నా కోర్నికోవా	Anna Kournikova
వాయు కాలుష్యం	Contaminación atmosférica
అనస్థీషియా	Anestesia
డిటర్మినిజం	Determinismo
ఛలోక్తి	Chiste
కోబాల్	COBOL
టామ్ మరియు జెర్రీ	Tom y Jerry
ఆదర్శధామం	Utopía
వెబ్ 2.0	Web 2.0
వెల్డింగ్	Soldadura
ప్రొపేన్	Propano
గొల్లభామ (కీటకం)	Mantodea
విమ్	Vim
సంభాషణ	Diálogo
సాసేజ్ (నంజుడు కూర)	Salchicha
లక్ష్మి	Laksmí
ఫ్లోరా (వృక్ష జాతులు)	Flora
యునైటెడ్ స్టేట్స్ లైబ్రరీ ఆఫ్ కాంగ్రెస్	Biblioteca del Congreso de Estados Unidos
హిజ్రత్	Hégira
వ్యాపార సంస్థ వనరుల ప్రణాళికా రచన	Sistema de planificación de recursos empresariales
మంత్రం	Mantra
సోఫా	Sofá
కార్యకర్త	Emprendedor
బూమరాంగ్	Búmeran
భారతదేశం యొక్క రాష్ట్రాలు మరియు కేంద్రపాలిత ప్రాంతాలు	Estados y territorios de la India
సముచిత వినియోగం	Fair use
నల్లమందు	Papaver somniferum
స్మిత్‌సోనియన్ సంస్థ	Instituto Smithsoniano
పతకం	Medalla
లినక్స్ పంపకం	Distribución Linux
జలాశయము	Embalse
పిండోత్పత్తి	Embriología
క్రిస్ ఏంజెల్	Criss Angel
తువ్వాలు	Toalla
హెన్రీ కేవిండిష్	Henry Cavendish
అంటువ్యాధి	Enfermedad infecciosa
హెపటైటిస్	Hepatitis
అత్తరు	Perfume
అనోరెక్సియా నెర్వోసా	Anorexia nerviosa
గరిష్ఠ సామాన్య భాజకం	Máximo común divisor
బైపోలార్ డిజార్డర్	Trastorno bipolar
హంఫ్రీ డేవీ	Humphry Davy
యవ్వనం	Adolescencia
రబ్బరు	Hule
గవర్నరు	Gobernador
కాళికాదేవి	Kali
సానియా మీర్జా	Sania Mirza
నైట్రోసోమానాస్	Nitrosomonas
నిసీరియా	Neisseria
స్టైలిడియేసి	Stylidiaceae
స్టెమోనేసి	Stemonaceae
లేడీ స్లిప్పర్ పూలు	Cypripedioideae
ప్రోటియస్	Proteus (bacteria)
ఎర్సీనియా	Yersinia
ఆర్గోఫిల్లేసి	Argophyllaceae
సిట్రుల్లస్	Citrullus
పండుగ	Festival
వృక్క సిర	Venas renales
ఆయుర్వేదం	Ayurveda
డేవిస్ కప్	Copa Davis
షోరియా	Shorea
గట్టిఫెరె	Clusiaceae
ఎసిటోబాక్టర్	Acetobacter
అభివృద్ధి చెందిన దేశం	País desarrollado
అమర్త్యా సేన్	Amartya Sen
ఎలక్ట్రాన్ సూక్ష్మదర్శిని	Microscopio electrónico
రీసైక్లింగ్	Reciclaje
రేసుకుక్కలు	Cuon alpinus
విటెక్స్	Vitex
జీలకర్ర	Cuminum cyminum
విగ్నా	Vigna
అబూటిలాన్	Abutilon
యమునా నది	Río Yamuna
ఫ్యాక్స్	Fax
థామస్ హార్డీ	Thomas Hardy
హత్య	Asesinato
మదరసా	Madraza
టిరోకార్పస్	Pterocarpus
డిస్లెక్సియా	Dislexia
డునెడిన్	Dunedin
గిలక (హెర్నియా)	Hernia
గౌటు	Gota (enfermedad)
కాలు	Pata
భారతదేశ చరిత్ర	Historia de la India
విద్యుదయస్కాంత వర్ణపటం	Espectro electromagnético
అసిటిలిన్	Acetileno
మెంతులు	Trigonella foenum-graecum
ఫిలాంథేసి	Phyllanthaceae
ముస్లిం బ్రదర్‌హుడ్	Hermanos Musulmanes
పచ్చకామెర్లు	Ictericia
వీపు	Espalda
తెగలు	Tribu
ప్రోసోపిస్	Prosopis
వర్ణాంధత్వం	Daltonismo
వివృతబీజాలు	Gymnospermae
దంత క్షయం	Caries
ప్లేగు	Peste
పార్శ్వపు తలనొప్పి	Migraña
వివర్తనం	Difracción (física)
యాంటి ఆక్సిడెంట్	Antioxidante
జిహోలార్నిస్	Jeholornis
కొరినీబాక్టీరియమ్	Corynebacterium
ప్రధమచికిత్స	Primeros auxilios
అంగస్తంభన	Erección
రాచెల్ వీజ్	Rachel Weisz
సొలనేసి	Solanaceae
మాజిక్ జాన్సన్	Magic Johnson
బ్యుటేన్	Butano
టూత్ బ్రష్	Cepillo de dientes
పోలో	Polo (deporte)
కాండం	Tallo
ధర్మము	Dharma
వృశ్చిక రాశి	Escorpio (astrología)
న్యూటన్ విశ్వగురుత్వాకర్షణ సిద్ధాంతం	Ley de gravitación universal
అజాక్స్ (ప్రోగ్రామింగ్)	AJAX
తక్కెడ	Balanza
పంపు	Bomba hidráulica
పరాగసంపర్కము	Polinización
టర్రిటోప్సిస్ నూట్రికోలా	Turritopsis nutricula
మార్టినా హింగిస్	Martina Hingis
టీకా	Vacuna
కార్బాక్సిలిక్ ఆమ్లం	Ácido carboxílico
కోరింత దగ్గు	Tos ferina
క్విన్ ఆఫ్ ఆండీస్	Puya raimondii
లాలాజల గ్రంధులు	Glándula salival
ఏడాకుల చెట్టు	Alstonia scholaris
సెలాస్ట్రేసి	Celastraceae
ఒల్మెక్ నాగరికత	Olmeca
రషోమాన్	Rashōmon (película)
అగ్ని శ్వాస	Tragafuegos
ఖాదరియా	Qadiriyya
తెల్లబూరుగ	Ceiba pentandra
యుగాంతం	Fenómeno de 2012
స్వేచ్ఛా పతనం	Caída libre
గోల్డ్ కోస్ట్, క్వీన్స్‌‌ల్యాండ్	Gold Coast (Australia)
సొక్రాటియా ఎక్సోర్హిజా	Socratea exorrhiza
సంఖ్యాశాస్త్రము	Numerología
ఎన్క్రిప్షన్	Cifrado (criptografía)
పట్టభద్రుడు	Posgrado
అగ్ని క్షిపణులు	Agni (misil)
సూది	Aguja (costura)
పేకాట	Juego de naipes
పాలిథిలిన్	Polietileno
గున్నంగి	Salvadora persica
డెంటల్ ఇంప్లాంట్	Implante dental
ముద్రణా యంత్రం	Imprenta
భారతీయ నాగ జెముడు	Opuntia ficus-indica
హెర్బర్ట్ స్పెన్సర్	Herbert Spencer
పెపావరేసి	Papaveraceae
పైసమ్	Pisum
దక్షిణాసియా ప్రాంతీయ సహకార మండలి	Asociación Sudasiática para la Cooperación Regional
కన్వాల్వులేసి	Convolvulaceae
అంబెల్లిఫెరె	Apiaceae
రానన్కులేసి	Ranunculaceae
రూటేసి	Rutaceae
గోదురు కప్ప	Bufo bufo
కామంచి	Solanum nigrum
బ్రాందీ	Brandy
శిక్షాస్మృతి	Derecho penal
ద్రావణం	Disolvente
సొలానమ్	Solanum
యుఫోర్బియా	Euphorbia
నింఫియా	Nymphaea
గుర్‌దాస్‌పూర్	Distrito de Gurdaspur
2002 ఆయిలర్	(2002) Euler
దేవదారు	Cedrus deodara
తెల్ల కలువ	Nymphaea alba
చేదు నారింజ	Citrus × aurantium
హౌ ఐ మెట్ యువర్ మదర్	How I Met Your Mother
అనానాస్	Ananas
కాజోల్	Kajol
కన్వాల్వులస్	Convolvulus
కోలా పానీయాలు	Gaseosa
బంతిపువ్వు	Tagetes
చాపం	Arco (geometría)
సుబ్రహ్మణ్య చంద్రశేఖర్	Subrahmanyan Chandrasekhar
ఓషో	Osho (Bhagwan Shri Rajnísh)
నక్షత్రశాల	Planetario
ఇంద్రజాలం	Ilusionismo
అండాశయం (మొక్కలు)	Ovario (botánica)
అత్తిపత్తి	Mimosa pudica
కంచె	Alambrada
పూతకొమ్మ	Panícula
కబడ్డీ	Kabaddi
నింఫియేసి	Nymphaeaceae
కుకుమిస్	Cucumis
టైఫేసి	Typhaceae
పాట్ బుకానన్	Pat Buchanan
గురుదత్	Guru Dutt
సమాచార ఉపగ్రహము	Satélite de comunicaciones
మాదీఫలం	Citrus medica
హెక్సేను	Hexano
జార్జ్ కార్లిన్	George Carlin
ఆక్టేన్	Octano
ప్లేబోయ్	Playboy
ఫ్రాంకెన్‌స్టెయిన్	Frankenstein o el moderno Prometeo
సాల్మొనెల్లా	Salmonella
చోళ సామ్రాజ్యము	Dinastía Chola
సింహిక	Esfinge (mitología)
కంద	Amorphophallus paeoniifolius
ఫ్రెడెరిక్ సాంజెర్	Frederick Sanger
వాయు పురాణము	Vaiú-purana
వికీపీడియా:దిద్దుబాట్లు ఎలా చెయ్యాలి	Ayuda:Cómo se edita una página
బిపి	BP
ఫ్రెంచ్ ఫ్రైస్	Papas fritas
టాటా నానో	Tata Nano
తుఫాను నర్గిస్	Ciclón Nargis
నోరు మరియు కాలి వ్యాధి	Glosopeda
ఆల్వా మిర్థాల్	Alva Myrdal
గున్నార్ మిర్థాల్	Gunnar Myrdal
బహుమతి ప్రదాత	Patrocinio (publicidad)
రవికె	Blusa
లైఫ్ అఫ్ పై	Life of Pi (película)
ఫ్రూట్ సలాడ్	Macedonia de frutas
కొరడా	Látigo
జట్రోఫా	Jatropha
ఇన్గ్లోరియస్ బాస్టర్డ్స్ (2005)	Inglourious Basterds
కాట్ స్టీవెన్స్	Cat Stevens
2000వ దశకం చివర్లో మాంద్యం	Crisis económica de 2008-2015
ఇటాలో కాల్వినో	Italo Calvino
నార్మన్ బోర్లాగ్	Norman E. Borlaug
ఇమ్రాన్ ఖాన్ నియాజి	Imran Khan
వోయెజర్	Voyager (desambiguación)
చిదంబరం	Chidambaram
మొక్కల నర్సరీ	Vivero (jardinería)
సెసేమ్ స్ట్రీట్	Sesame Street
స్థితిశక్తి	Energía potencial
వీలునామా	Testamento
కంపాన్యులేసి	Campanulaceae
డయోనియా	Dionaea muscipula
గన్నేరు	Nerium oleander
సైపరేసి	Cyperaceae
చినువ అచెబె	Chinua Achebe
ఆముదము	Ricinus communis
భారజలం	Agua pesada
ఎకోనిటమ్	Aconitum
లాలాజలం	Saliva
అమరాంథేసి	Amaranthaceae
ఇరిడేసి	Iridaceae
జిరానియేసి	Geraniaceae
బెర్బెరిడేసి	Berberidaceae
లైనేసి	Linaceae
టెనొఫవిర్	Tenofovir
లైత్రేసి	Lythraceae
హైడ్రోకారిడే	Hydrocharitaceae
వయోలేసి	Violaceae
నేత్ర కోటరం	Cavidad orbitaria
రామ్నేసి	Rhamnaceae
తక్షశిల	Taxila
అల్ఫాల్ఫా	Medicago sativa
ప్లంబజినేసి	Plumbaginaceae
డ్రోసిరేసి	Droseraceae
గ్లాడియోలస్	Gladiolus
అరిస్టోలోకియా	Aristolochia
పింఛను	Pensión
నిక్టాజినేసి	Nyctaginaceae
మన్నా డే	Manna Dey
యుక్కా	Yucca
కారణ శాస్త్రం	Etiología
జె.బి.ఎస్‌. హాల్డేన్‌	John Burdon Sanderson Haldane
లెవీ స్ట్రాస్	Levi Strauss
తోటకూర	Amaranthus
లతా మంగేష్కర్	Lata Mangeshkar
సర్వేపల్లి రాధాకృష్ణన్	Sarvepalli Radhakrishnan
కాఫియా	Coffea
ఆర్టిమీసియా	Artemisia (planta)
అరిస్టోలోకియేసి	Aristolochiaceae
పైపరేసి	Piperaceae
మూసేసి	Musaceae
బ్రొమిలియేసి	Bromeliaceae
డిజిటాలిస్	Digitalis
రబ్బరు చెట్టు	Hevea brasiliensis
ఆగ్జాలిడేసి	Oxalidaceae
మాల్వేసి	Malvaceae
మిర్టేసి	Myrtaceae
రూబియేసి	Rubiaceae
థియేసి	Theaceae
మోరేసి	Moraceae
యుఫోర్బియేసి	Euphorbiaceae
అనకార్డియేసి	Anacardiaceae
కుసుమ	Carthamus tinctorius
కారికేసి	Caricaceae
ముహమ్మద్ రఫీ	Mohammad Rafi
పియూష గ్రంధి	Hipófisis
బ్రాసికేసి	Brassicaceae
ఇంగ్లీష్ విల్లో	Salix alba
వెర్బినేసి	Verbenaceae
పోకచెట్టు	Areca catechu
కాగితంపూలు	Bougainvillea
సమబాహు త్రిభుజం	Triángulo equilátero
హానిమాన్	Samuel Hahnemann
ప్యూమా ఏజీ	Puma (marca)
హైబిస్కస్	Hibiscus
సాల్వియా	Salvia
ఆస్పరాగేసి	Asparagaceae
లాథిరస్	Lathyrus
జెన్షియనేసి	Saccifoliaceae saccifolium
నికోబార్ జిల్లా	Islas Nicobar
గుడ్‌విల్‌ (అకౌంటింగ్‌)	Fondo de comercio
జోసెఫ్ డాల్టన్ హుకర్	Joseph Dalton Hooker
మార్టిన్ లూథర్ 95 చర్చనీయాంశాలు	Las 95 tesis
సంరక్షకుడు (లీగల్)	Curador (derecho)
నిశ్చితార్థం	Esponsales
చార్లెస్ లూసిన్ బొనపార్టే	Charles Lucien Bonaparte
ద బాయ్ ఇన్ ద స్ట్రిప్డ్ పైజమాస్	El niño con el pijama de rayas (película)
జుబిన్ మెహతా	Zubin Mehta
వస	Acorus calamus
గ్వాలియర్	Gwalior
ఎరుపుమణిచెట్టు	Berberis vulgaris
బెగోనియా	Begonia
ఫైసాలిస్	Physalis
పురీషనాళం	Recto
బ్రహ్మ మల్లిక	Adansonia digitata
జుహీ చావ్లా	Juhi Chawla
ప్రియాంక చోప్రా	Priyanka Chopra
మెలియేసి	Meliaceae
సపోటేసి	Sapotaceae
హనుమ ఫలం	Annona cherimola
నాగజెముడు	Opuntia
విద్యా బాలన్	Vidya Balan
నర్గిస్ దత్	Nargis Dutt
దీపిక పడుకోన్	Deepika Padukone
కొండముచ్చు	Papio
నక్షత్ర ఫలం చెట్టు	Averrhoa carambola
ఆహారపు గొలుసు	Cadena trófica
తమలపాకు	Piper betle
మందార	Hibiscus rosa-sinensis
కుట్ర సిద్ధాంతం	Teoría conspirativa
పైపర్	Piper
జెట్ లీ	Jet Li
ఎక్సైజ్ సుంకం	Impuestos especiales
దూర విద్య	Educación a distancia
అన్నపూర్ణ శిఖరం	Annapurna
